# Latin-1 Supplement 00080 - 000FF
00A0	nbspace	NO-BREAK SPACE
00A1	exclamdown	INVERTED EXCLAMATION MARK
00A2	cent	CENT SIGN
00A3	sterling	POUND SIGN
00A4	currency	CURRENCY SIGN
00A5	yen	YEN SIGN
00A6	brokenbar	BROKEN BAR
00A7	section	SECTION SIGN
00A8	dieresis	DIAERESIS
00A9	copyright	COPYRIGHT SIGN
00AA	ordfeminine	FEMININE ORDINAL INDICATOR
00AB	guillemetleft	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00AC	logicalnot	NOT SIGN
00AD	hyphensoft	SOFT HYPHEN
00AE	registered	REGISTERED SIGN
00AF	macron	MACRON
00B0	degree	DEGREE SIGN
00B1	plusminus	PLUS-MINUS SIGN
00B2	two.superior	SUPERSCRIPT TWO
00B3	three.superior	SUPERSCRIPT THREE
00B4	acute	ACUTE ACCENT
00B5	mu.math	MICRO SIGN
00B6	paragraph	PILCROW SIGN
00B7	periodcentered	MIDDLE DOT
00B8	cedilla	CEDILLA
00B9	one.superior	SUPERSCRIPT ONE
00BA	ordmasculine	MASCULINE ORDINAL INDICATOR
00BB	guillemetright	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BC	onequarter	VULGAR FRACTION ONE QUARTER
00BD	onehalf	VULGAR FRACTION ONE HALF
00BE	threequarters	VULGAR FRACTION THREE QUARTERS
00BF	questiondown	INVERTED QUESTION MARK
00C0	Agrave	LATIN CAPITAL LETTER A WITH GRAVE
00C1	Aacute	LATIN CAPITAL LETTER A WITH ACUTE
00C2	Acircumflex	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3	Atilde	LATIN CAPITAL LETTER A WITH TILDE
00C4	Adieresis	LATIN CAPITAL LETTER A WITH DIAERESIS
00C5	Aring	LATIN CAPITAL LETTER A WITH RING ABOVE
00C6	AE	LATIN CAPITAL LETTER AE
00C7	Ccedilla	LATIN CAPITAL LETTER C WITH CEDILLA
00C8	Egrave	LATIN CAPITAL LETTER E WITH GRAVE
00C9	Eacute	LATIN CAPITAL LETTER E WITH ACUTE
00CA	Ecircumflex	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB	Edieresis	LATIN CAPITAL LETTER E WITH DIAERESIS
00CC	Igrave	LATIN CAPITAL LETTER I WITH GRAVE
00CD	Iacute	LATIN CAPITAL LETTER I WITH ACUTE
00CE	Icircumflex	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF	Idieresis	LATIN CAPITAL LETTER I WITH DIAERESIS
00D0	Eth	LATIN CAPITAL LETTER ETH
00D1	Ntilde	LATIN CAPITAL LETTER N WITH TILDE
00D2	Ograve	LATIN CAPITAL LETTER O WITH GRAVE
00D3	Oacute	LATIN CAPITAL LETTER O WITH ACUTE
00D4	Ocircumflex	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5	Otilde	LATIN CAPITAL LETTER O WITH TILDE
00D6	Odieresis	LATIN CAPITAL LETTER O WITH DIAERESIS
00D7	multiply	MULTIPLICATION SIGN
00D8	Oslash	LATIN CAPITAL LETTER O WITH STROKE
00D9	Ugrave	LATIN CAPITAL LETTER U WITH GRAVE
00DA	Uacute	LATIN CAPITAL LETTER U WITH ACUTE
00DB	Ucircumflex	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC	Udieresis	LATIN CAPITAL LETTER U WITH DIAERESIS
00DD	Yacute	LATIN CAPITAL LETTER Y WITH ACUTE
00DE	Thorn	LATIN CAPITAL LETTER THORN
00DF	germandbls	LATIN SMALL LETTER SHARP S
00E0	agrave	LATIN SMALL LETTER A WITH GRAVE
00E1	aacute	LATIN SMALL LETTER A WITH ACUTE
00E2	acircumflex	LATIN SMALL LETTER A WITH CIRCUMFLEX
00E3	atilde	LATIN SMALL LETTER A WITH TILDE
00E4	adieresis	LATIN SMALL LETTER A WITH DIAERESIS
00E5	aring	LATIN SMALL LETTER A WITH RING ABOVE
00E6	ae	LATIN SMALL LETTER AE
00E7	ccedilla	LATIN SMALL LETTER C WITH CEDILLA
00E8	egrave	LATIN SMALL LETTER E WITH GRAVE
00E9	eacute	LATIN SMALL LETTER E WITH ACUTE
00EA	ecircumflex	LATIN SMALL LETTER E WITH CIRCUMFLEX
00EB	edieresis	LATIN SMALL LETTER E WITH DIAERESIS
00EC	igrave	LATIN SMALL LETTER I WITH GRAVE
00ED	iacute	LATIN SMALL LETTER I WITH ACUTE
00EE	icircumflex	LATIN SMALL LETTER I WITH CIRCUMFLEX
00EF	idieresis	LATIN SMALL LETTER I WITH DIAERESIS
00F0	eth	LATIN SMALL LETTER ETH
00F1	ntilde	LATIN SMALL LETTER N WITH TILDE
00F2	ograve	LATIN SMALL LETTER O WITH GRAVE
00F3	oacute	LATIN SMALL LETTER O WITH ACUTE
00F4	ocircumflex	LATIN SMALL LETTER O WITH CIRCUMFLEX
00F5	otilde	LATIN SMALL LETTER O WITH TILDE
00F6	odieresis	LATIN SMALL LETTER O WITH DIAERESIS
00F7	divide	DIVISION SIGN
00F8	oslash	LATIN SMALL LETTER O WITH STROKE
00F9	ugrave	LATIN SMALL LETTER U WITH GRAVE
00FA	uacute	LATIN SMALL LETTER U WITH ACUTE
00FB	ucircumflex	LATIN SMALL LETTER U WITH CIRCUMFLEX
00FC	udieresis	LATIN SMALL LETTER U WITH DIAERESIS
00FD	yacute	LATIN SMALL LETTER Y WITH ACUTE
00FE	thorn	LATIN SMALL LETTER THORN
00FF	ydieresis	LATIN SMALL LETTER Y WITH DIAERESIS
