# Spacing Modifier Letters 002B0 - 002FF
02B0	hsupmod	MODIFIER LETTER SMALL H
02B1	hhooksupmod	MODIFIER LETTER SMALL H WITH HOOK
02B2	jsupmod	MODIFIER LETTER SMALL J
02B3	rsupmod	MODIFIER LETTER SMALL R
02B4	rturnedsupmod	MODIFIER LETTER SMALL TURNED R
02B5	rhookturnedsupmod	MODIFIER LETTER SMALL TURNED R WITH HOOK
02B6	Rsupinvertedmod	MODIFIER LETTER SMALL CAPITAL INVERTED R
02B7	wsupmod	MODIFIER LETTER SMALL W
02B8	ysupmod	MODIFIER LETTER SMALL Y
02B9	primemod	MODIFIER LETTER PRIME
02BA	primedblmod	MODIFIER LETTER DOUBLE PRIME
02BB	commaturnedmod	MODIFIER LETTER TURNED COMMA
02BC	apostrophemod	MODIFIER LETTER APOSTROPHE
02BD	commareversedmod	MODIFIER LETTER REVERSED COMMA
02BE	ringhalfrightmod	MODIFIER LETTER RIGHT HALF RING
02BF	ringhalfleftmod	MODIFIER LETTER LEFT HALF RING
02C0	glottalstopmod	MODIFIER LETTER GLOTTAL STOP
02C1	glottalstopreversedmod	MODIFIER LETTER REVERSED GLOTTAL STOP
02C2	arrowheadleftmod	MODIFIER LETTER LEFT ARROWHEAD
02C3	arrowheadrightmod	MODIFIER LETTER RIGHT ARROWHEAD
02C4	arrowheadupmod	MODIFIER LETTER UP ARROWHEAD
02C5	arrowheaddownmod	MODIFIER LETTER DOWN ARROWHEAD
02C6	circumflex	MODIFIER LETTER CIRCUMFLEX ACCENT
02C7	caron	CARON
02C8	verticallinemod	MODIFIER LETTER VERTICAL LINE
02C9	macronmod	MODIFIER LETTER MACRON
02CA	acutemod	MODIFIER LETTER ACUTE ACCENT
02CB	gravemod	MODIFIER LETTER GRAVE ACCENT
02CC	verticallinelowmod	MODIFIER LETTER LOW VERTICAL LINE
02CD	macronlowmod	MODIFIER LETTER LOW MACRON
02CE	gravelowmod	MODIFIER LETTER LOW GRAVE ACCENT
02CF	acutelowmod	MODIFIER LETTER LOW ACUTE ACCENT
02D0	colontriangularmod	MODIFIER LETTER TRIANGULAR COLON
02D1	colontriangularhalfmod	MODIFIER LETTER HALF TRIANGULAR COLON
02D2	ringhalfrightcentredmod	MODIFIER LETTER CENTRED RIGHT HALF RING
02D3	ringhalfleftcentredmod	MODIFIER LETTER CENTRED LEFT HALF RING
02D4	tackupmod	MODIFIER LETTER UP TACK
02D5	tackdownmod	MODIFIER LETTER DOWN TACK
02D6	plussignmod	MODIFIER LETTER PLUS SIGN
02D7	minussignmod	MODIFIER LETTER MINUS SIGN
02D8	breve	BREVE
02D9	dotaccent	DOT ABOVE
02DA	ring	RING ABOVE
02DB	ogonek	OGONEK
02DC	tilde	SMALL TILDE
02DD	hungarumlaut	DOUBLE ACUTE ACCENT
02DE	rhotichookmod	MODIFIER LETTER RHOTIC HOOK
02DF	crossmod	MODIFIER LETTER CROSS ACCENT
02E0	gammasupmod	MODIFIER LETTER SMALL GAMMA
02E1	lsupmod	MODIFIER LETTER SMALL L
02E2	ssupmod	MODIFIER LETTER SMALL S
02E3	xsupmod	MODIFIER LETTER SMALL X
02E4	glottalstopsupreversedmod	MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
02E5	tonebarextrahighmod	MODIFIER LETTER EXTRA-HIGH TONE BAR
02E6	tonebarhighmod	MODIFIER LETTER HIGH TONE BAR
02E7	tonebarmidmod	MODIFIER LETTER MID TONE BAR
02E8	tonebarlowmod	MODIFIER LETTER LOW TONE BAR
02E9	tonebarextralowmod	MODIFIER LETTER EXTRA-LOW TONE BAR
02EA	yintonemod	MODIFIER LETTER YIN DEPARTING TONE MARK
02EB	yangtonemod	MODIFIER LETTER YANG DEPARTING TONE MARK
02EC	voicingmod	MODIFIER LETTER VOICING
02ED	unaspiratedmod	MODIFIER LETTER UNASPIRATED
02EE	apostrophedblmod	MODIFIER LETTER DOUBLE APOSTROPHE
02EF	arrowheaddownlowmod	MODIFIER LETTER LOW DOWN ARROWHEAD
02F0	arrowheaduplowmod	MODIFIER LETTER LOW UP ARROWHEAD
02F1	arrowheadleftlowmod	MODIFIER LETTER LOW LEFT ARROWHEAD
02F2	arrowheadrightlowmod	MODIFIER LETTER LOW RIGHT ARROWHEAD
02F3	ringlowmod	MODIFIER LETTER LOW RING
02F4	gravemiddlemod	MODIFIER LETTER MIDDLE GRAVE ACCENT
02F5	gravedblmiddlemod	MODIFIER LETTER MIDDLE DOUBLE GRAVE ACCENT
02F6	acutedblmiddlemod	MODIFIER LETTER MIDDLE DOUBLE ACUTE ACCENT
02F7	tildelowmod	MODIFIER LETTER LOW TILDE
02F8	colonraisedmod	MODIFIER LETTER RAISED COLON
02F9	tonehighbeginmod	MODIFIER LETTER BEGIN HIGH TONE
02FA	tonehighendmod	MODIFIER LETTER END HIGH TONE
02FB	tonelowbeginmod	MODIFIER LETTER BEGIN LOW TONE
02FC	tonelowendmod	MODIFIER LETTER END LOW TONE
02FD	shelfmod	MODIFIER LETTER SHELF
02FE	shelfopenmod	MODIFIER LETTER OPEN SHELF
02FF	arrowleftlowmod	MODIFIER LETTER LOW LEFT ARROW
