# Combining Diacritical Marks 00300 - 0036F
0300	gravecmb	COMBINING GRAVE ACCENT
0301	acutecmb	COMBINING ACUTE ACCENT
0302	circumflexcmb	COMBINING CIRCUMFLEX ACCENT
0303	tildecmb	COMBINING TILDE
0304	macroncmb	COMBINING MACRON
0305	overlinecmb	COMBINING OVERLINE
0306	brevecmb	COMBINING BREVE
0307	dotaccentcmb	COMBINING DOT ABOVE
0308	dieresiscmb	COMBINING DIAERESIS
0309	hookabovecmb	COMBINING HOOK ABOVE
030A	ringabovecmb	COMBINING RING ABOVE
030B	hungarumlautcmb	COMBINING DOUBLE ACUTE ACCENT
030C	caroncmb	COMBINING CARON
030D	verticallineabovecmb	COMBINING VERTICAL LINE ABOVE
030E	dblverticallineabovecmb	COMBINING DOUBLE VERTICAL LINE ABOVE
030F	gravedoublecmb	COMBINING DOUBLE GRAVE ACCENT
0310	candrabinducmb	COMBINING CANDRABINDU
0311	invertedbrevecmb	COMBINING INVERTED BREVE
0312	commaturnedabovecmb	COMBINING TURNED COMMA ABOVE
0313	turnedabovecmb	COMBINING COMMA ABOVE
0314	reversedcommaabovecmb	COMBINING REVERSED COMMA ABOVE
0315	turnedcommaabovecmb	COMBINING COMMA ABOVE RIGHT
0316	gravebelowcmb	COMBINING GRAVE ACCENT BELOW
0317	acutebelowcmb	COMBINING ACUTE ACCENT BELOW
0318	lefttackbelowcmb	COMBINING LEFT TACK BELOW
0319	righttackbelowcmb	COMBINING RIGHT TACK BELOW
031A	leftangleabovecmb	COMBINING LEFT ANGLE ABOVE
031B	horncmb	COMBINING HORN
031C	halfleftringbelowcmb	COMBINING LEFT HALF RING BELOW
031D	uptackbelowcmb	COMBINING UP TACK BELOW
031E	downtackbelowcmb	COMBINING DOWN TACK BELOW
031F	plusbelowcmb	COMBINING PLUS SIGN BELOW
0320	minusbelowcmb	COMBINING MINUS SIGN BELOW
0321	palatalizedhookbelowcmb	COMBINING PALATALIZED HOOK BELOW
0322	retroflexhookbelowcmb	COMBINING RETROFLEX HOOK BELOW
0323	dotbelowcmb	COMBINING DOT BELOW
0324	dieresisbelowcmb	COMBINING DIAERESIS BELOW
0325	ringbelowcmb	COMBINING RING BELOW
0326	commaaccentbelowcmb	COMBINING COMMA BELOW
0327	cedillacmb	COMBINING CEDILLA
0328	ogonekcmb	COMBINING OGONEK
0329	verticallinebelowcmb	COMBINING VERTICAL LINE BELOW
032A	bridgebelowcmb	COMBINING BRIDGE BELOW
032B	dblarchinvertedbelowcmb	COMBINING INVERTED DOUBLE ARCH BELOW
032C	caronbelowcmb	COMBINING CARON BELOW
032D	circumflexbelowcmb	COMBINING CIRCUMFLEX ACCENT BELOW
032E	belowbrevecmb	COMBINING BREVE BELOW
032F	invertedbelowbrevecmb	COMBINING INVERTED BREVE BELOW
0330	tildebelowcmb	COMBINING TILDE BELOW
0331	macronbelowcmb	COMBINING MACRON BELOW
0332	lowlinecmb	COMBINING LOW LINE
0333	lowlinedoublecmb	COMBINING DOUBLE LOW LINE
0334	tildeoverlaycmb	COMBINING TILDE OVERLAY
0335	overlaystrokeshortcmb	COMBINING SHORT STROKE OVERLAY
0336	overlaystrokelongcmb	COMBINING LONG STROKE OVERLAY
0337	solidusshortoverlaycmb	COMBINING SHORT SOLIDUS OVERLAY
0338	soliduslongoverlaycmb	COMBINING LONG SOLIDUS OVERLAY
0339	halfrightringbelowcmb	COMBINING RIGHT HALF RING BELOW
033A	invertedbridgebelowcmb	COMBINING INVERTED BRIDGE BELOW
033B	squarebelowcmb	COMBINING SQUARE BELOW
033C	seagullbelowcmb	COMBINING SEAGULL BELOW
033D	xabovecmb	COMBINING X ABOVE
033E	tildeverticalcmb	COMBINING VERTICAL TILDE
033F	dbloverlinecmb	COMBINING DOUBLE OVERLINE
0340	gravetonecmb	COMBINING GRAVE TONE MARK
0341	acutetonecmb	COMBINING ACUTE TONE MARK
0342	perispomenicmb	COMBINING GREEK PERISPOMENI
0343	koroniscmb	COMBINING GREEK KORONIS
0344	dialytikatonoscmb	COMBINING GREEK DIALYTIKA TONOS
0345	iotasubcmb	COMBINING GREEK YPOGEGRAMMENI
0346	bridgeabovecmb	COMBINING BRIDGE ABOVE
0347	equalbelowcmb	COMBINING EQUALS SIGN BELOW
0348	dblverticallinebelowcmb	COMBINING DOUBLE VERTICAL LINE BELOW
0349	leftanglebelowcmb	COMBINING LEFT ANGLE BELOW
034A	nottildeabovecmb	COMBINING NOT TILDE ABOVE
034B	homotheticabovecmb	COMBINING HOMOTHETIC ABOVE
034C	almostequalabovecmb	COMBINING ALMOST EQUAL TO ABOVE
034D	arrowleftrightbelowcmb	COMBINING LEFT RIGHT ARROW BELOW
034E	arrowupbelowcmb	COMBINING UPWARDS ARROW BELOW
034F	graphemejoinercmb	COMBINING GRAPHEME JOINER
0350	arrowheadrightabovecmb	COMBINING RIGHT ARROWHEAD ABOVE
0351	halfleftringabovecmb	COMBINING LEFT HALF RING ABOVE
0352	fermatacmb	COMBINING FERMATA
0353	xbelowcmb	COMBINING X BELOW
0354	arrowheadleftbelowcmb	COMBINING LEFT ARROWHEAD BELOW
0355	arrowheadrightbelowcmb	COMBINING RIGHT ARROWHEAD BELOW
0356	arrowheadrightarrowheadupbelowcmb	COMBINING RIGHT ARROWHEAD AND UP ARROWHEAD BELOW
0357	halfrightringabovecmb	COMBINING RIGHT HALF RING ABOVE
0358	dotrightabovecmb	COMBINING DOT ABOVE RIGHT
0359	asteriskbelowcmb	COMBINING ASTERISK BELOW
035A	doubleringbelowcmb	COMBINING DOUBLE RING BELOW
035B	zigzagabovecmb	COMBINING ZIGZAG ABOVE
035C	doublebelowbrevecmb	COMBINING DOUBLE BREVE BELOW
035D	doublebrevecmb	COMBINING DOUBLE BREVE
035E	macrondoublecmb	COMBINING DOUBLE MACRON
035F	macrondoublebelowcmb	COMBINING DOUBLE MACRON BELOW
0360	tildedoublecmb	COMBINING DOUBLE TILDE
0361	inverteddoublebrevecmb	COMBINING DOUBLE INVERTED BREVE
0362	arrow right doublebelowcmb	COMBINING DOUBLE RIGHTWARDS ARROW BELOW
0363	acmb	COMBINING LATIN SMALL LETTER A
0364	ecmb	COMBINING LATIN SMALL LETTER E
0365	icmb	COMBINING LATIN SMALL LETTER I
0366	ocmb	COMBINING LATIN SMALL LETTER O
0367	ucmb	COMBINING LATIN SMALL LETTER U
0368	ccmb	COMBINING LATIN SMALL LETTER C
0369	dcmb	COMBINING LATIN SMALL LETTER D
036A	hcmb	COMBINING LATIN SMALL LETTER H
036B	mcmb	COMBINING LATIN SMALL LETTER M
036C	rcmb	COMBINING LATIN SMALL LETTER R
036D	tcmb	COMBINING LATIN SMALL LETTER T
036E	vcmb	COMBINING LATIN SMALL LETTER V
036F	xcmb	COMBINING LATIN SMALL LETTER X
