# Armenian 00530 - 0058F
0531	Aybarmn	ARMENIAN CAPITAL LETTER AYB
0532	Benarmn	ARMENIAN CAPITAL LETTER BEN
0533	Gimarmn	ARMENIAN CAPITAL LETTER GIM
0534	Daarmn	ARMENIAN CAPITAL LETTER DA
0535	Echarmn	ARMENIAN CAPITAL LETTER ECH
0536	Zaarmn	ARMENIAN CAPITAL LETTER ZA
0537	Eharmn	ARMENIAN CAPITAL LETTER EH
0538	Etarmn	ARMENIAN CAPITAL LETTER ET
0539	Toarmn	ARMENIAN CAPITAL LETTER TO
053A	Zhearmn	ARMENIAN CAPITAL LETTER ZHE
053B	Iniarmn	ARMENIAN CAPITAL LETTER INI
053C	Liwnarmn	ARMENIAN CAPITAL LETTER LIWN
053D	Xeharmn	ARMENIAN CAPITAL LETTER XEH
053E	Caarmn	ARMENIAN CAPITAL LETTER CA
053F	Kenarmn	ARMENIAN CAPITAL LETTER KEN
0540	Hoarmn	ARMENIAN CAPITAL LETTER HO
0541	Jaarmn	ARMENIAN CAPITAL LETTER JA
0542	Ghadarmn	ARMENIAN CAPITAL LETTER GHAD
0543	Cheharmn	ARMENIAN CAPITAL LETTER CHEH
0544	Menarmn	ARMENIAN CAPITAL LETTER MEN
0545	Yiarmn	ARMENIAN CAPITAL LETTER YI
0546	Nowarmn	ARMENIAN CAPITAL LETTER NOW
0547	Shaarmn	ARMENIAN CAPITAL LETTER SHA
0548	Voarmn	ARMENIAN CAPITAL LETTER VO
0549	Chaarmn	ARMENIAN CAPITAL LETTER CHA
054A	Peharmn	ARMENIAN CAPITAL LETTER PEH
054B	Jheharmn	ARMENIAN CAPITAL LETTER JHEH
054C	Raarmn	ARMENIAN CAPITAL LETTER RA
054D	Seharmn	ARMENIAN CAPITAL LETTER SEH
054E	Vewarmn	ARMENIAN CAPITAL LETTER VEW
054F	Tiwnarmn	ARMENIAN CAPITAL LETTER TIWN
0550	Reharmn	ARMENIAN CAPITAL LETTER REH
0551	Coarmn	ARMENIAN CAPITAL LETTER CO
0552	Yiwnarmn	ARMENIAN CAPITAL LETTER YIWN
0553	Piwrarmn	ARMENIAN CAPITAL LETTER PIWR
0554	Keharmn	ARMENIAN CAPITAL LETTER KEH
0555	Oharmn	ARMENIAN CAPITAL LETTER OH
0556	Feharmn	ARMENIAN CAPITAL LETTER FEH
0559	ringhalfleftarmn	ARMENIAN MODIFIER LETTER LEFT HALF RING
055A	apostrophearmn	ARMENIAN APOSTROPHE
055B	emphasismarkarmn	ARMENIAN EMPHASIS MARK
055C	exclamarmn	ARMENIAN EXCLAMATION MARK
055D	commaarmn	ARMENIAN COMMA
055E	questionarmn	ARMENIAN QUESTION MARK
055F	abbreviationmarkarmn	ARMENIAN ABBREVIATION MARK
0560	turnedaybarmn	ARMENIAN SMALL LETTER TURNED AYB
0561	aybarmn	ARMENIAN SMALL LETTER AYB
0562	benarmn	ARMENIAN SMALL LETTER BEN
0563	gimarmn	ARMENIAN SMALL LETTER GIM
0564	daarmn	ARMENIAN SMALL LETTER DA
0565	echarmn	ARMENIAN SMALL LETTER ECH
0566	zaarmn	ARMENIAN SMALL LETTER ZA
0567	eharmn	ARMENIAN SMALL LETTER EH
0568	etarmn	ARMENIAN SMALL LETTER ET
0569	toarmn	ARMENIAN SMALL LETTER TO
056A	zhearmn	ARMENIAN SMALL LETTER ZHE
056B	iniarmn	ARMENIAN SMALL LETTER INI
056C	liwnarmn	ARMENIAN SMALL LETTER LIWN
056D	xeharmn	ARMENIAN SMALL LETTER XEH
056E	caarmn	ARMENIAN SMALL LETTER CA
056F	kenarmn	ARMENIAN SMALL LETTER KEN
0570	hoarmn	ARMENIAN SMALL LETTER HO
0571	jaarmn	ARMENIAN SMALL LETTER JA
0572	ghadarmn	ARMENIAN SMALL LETTER GHAD
0573	cheharmn	ARMENIAN SMALL LETTER CHEH
0574	menarmn	ARMENIAN SMALL LETTER MEN
0575	yiarmn	ARMENIAN SMALL LETTER YI
0576	nowarmn	ARMENIAN SMALL LETTER NOW
0577	shaarmn	ARMENIAN SMALL LETTER SHA
0578	voarmn	ARMENIAN SMALL LETTER VO
0579	chaarmn	ARMENIAN SMALL LETTER CHA
057A	peharmn	ARMENIAN SMALL LETTER PEH
057B	jheharmn	ARMENIAN SMALL LETTER JHEH
057C	raarmn	ARMENIAN SMALL LETTER RA
057D	seharmn	ARMENIAN SMALL LETTER SEH
057E	vewarmn	ARMENIAN SMALL LETTER VEW
057F	tiwnarmn	ARMENIAN SMALL LETTER TIWN
0580	reharmn	ARMENIAN SMALL LETTER REH
0581	coarmn	ARMENIAN SMALL LETTER CO
0582	yiwnarmn	ARMENIAN SMALL LETTER YIWN
0583	piwrarmn	ARMENIAN SMALL LETTER PIWR
0584	keharmn	ARMENIAN SMALL LETTER KEH
0585	oharmn	ARMENIAN SMALL LETTER OH
0586	feharmn	ARMENIAN SMALL LETTER FEH
0587	ech_yiwnarmn	ARMENIAN SMALL LIGATURE ECH YIWN
0588	yiwithstrokearmn	ARMENIAN SMALL LETTER YI WITH STROKE
0589	periodarmn	ARMENIAN FULL STOP
058A	hyphenarmn	ARMENIAN HYPHEN
058D	rightfacingeternitysignarmn	RIGHT-FACING ARMENIAN ETERNITY SIGN
058E	leftfacingeternitysignarmn	LEFT-FACING ARMENIAN ETERNITY SIGN
058F	dramsignarmn	ARMENIAN DRAM SIGN
