# Hebrew 00590 - 005FF
0591	etnahta:hb	HEBREW ACCENT ETNAHTA
0592	segolta:hb	HEBREW ACCENT SEGOL
0593	shalshelet:hb	HEBREW ACCENT SHALSHELET
0594	zaqefQatan:hb	HEBREW ACCENT ZAQEF QATAN
0595	zaqefGadol:hb	HEBREW ACCENT ZAQEF GADOL
0596	tifcha:hb	HEBREW ACCENT TIPEHA
0597	revia:hb	HEBREW ACCENT REVIA
0598	zarqa:hb	HEBREW ACCENT ZARQA
0599	pashta:hb	HEBREW ACCENT PASHTA
059A	yetiv:hb	HEBREW ACCENT YETIV
059B	tevir:hb	HEBREW ACCENT TEVIR
059C	azla:hb	HEBREW ACCENT GERESH
059D	gereshMuqdam:hb	HEBREW ACCENT GERESH MUQDAM
059E	SheneGerishin:hb	HEBREW ACCENT GERSHAYIM
059F	qarneFarah:hb	HEBREW ACCENT QARNEY PARA
05A0	telishaGedolah:hb	HEBREW ACCENT TELISHA GEDOLA
05A1	pazer:hb	HEBREW ACCENT PAZER
05A2	atnachHafukh:hb	HEBREW ACCENT ATNAH HAFUKH
05A3	munach:hb	HEBREW ACCENT MUNAH
05A4	mahpach:hb	HEBREW ACCENT MAHAPAKH
05A5	mercha:hb	HEBREW ACCENT MERKHA
05A6	merchaKefulah:hb	HEBREW ACCENT MERKHA KEFULA
05A7	darga:hb	HEBREW ACCENT DARGA
05A8	qadma:hb	HEBREW ACCENT QADMA
05A9	telishaQetannah:hb	HEBREW ACCENT TELISHA QETANA
05AA	yerachBenYomo:hb	HEBREW ACCENT YERAH BEN YOMO
05AB	ole:hb	HEBREW ACCENT OLE
05AC	iluy:hb	HEBREW ACCENT ILUY
05AD	dehi:hb	HEBREW ACCENT DEHI
05AE	tsinnorit:hb	HEBREW ACCENT ZINOR
05AF	masoraCircle:hb	HEBREW MARK MASORA CIRCLE
05B0	sheva:hb	HEBREW POINT SHEVA
05B1	hatafSegol:hb	HEBREW POINT HATAF SEGOL
05B2	hatafPatah:hb	HEBREW POINT HATAF PATAH
05B3	hatafQamats:hb	HEBREW POINT HATAF QAMATS
05B4	hiriq:hb	HEBREW POINT HIRIQ
05B5	tsere:hb	HEBREW POINT TSERE
05B6	segol:hb	HEBREW POINT SEGOL
05B7	patah:hb	HEBREW POINT PATAH
05B8	qamats:hb	HEBREW POINT QAMATS
05B9	holam:hb	HEBREW POINT HOLAM
05BA	holamHaser:hb	HEBREW POINT HOLAM HASER FOR VAV
05BB	qubuts:hb	HEBREW POINT QUBUTS
05BC	dagesh:hb	HEBREW POINT DAGESH OR MAPIQ
05BD	meteg:hb	HEBREW POINT METEG
05BE	maqaf:hb	HEBREW PUNCTUATION MAQAF
05BF	rafe:hb	HEBREW POINT RAFE
05C0	paseq:hb	HEBREW PUNCTUATION PASEQ
05C1	shinDot:hb	HEBREW POINT SHIN DOT
05C2	sinDot:hb	HEBREW POINT SIN DOT
05C3	sofPasuq:hb	HEBREW PUNCTUATION SOF PASUQ
05C4	dotupper:hb	HEBREW MARK UPPER DOT
05C5	dotlower:hb	HEBREW MARK LOWER DOT
05C6	nunHafukha:hb	HEBREW PUNCTUATION NUN HAFUKHA
05C7	qamatsQatan:hb	HEBREW POINT QAMATS QATAN
05D0	alef:hb	HEBREW LETTER ALEF
05D1	bet:hb	HEBREW LETTER BET
05D2	gimel:hb	HEBREW LETTER GIMEL
05D3	dalet:hb	HEBREW LETTER DALET
05D4	he:hb	HEBREW LETTER HE
05D5	vav:hb	HEBREW LETTER VAV
05D6	zayin:hb	HEBREW LETTER ZAYIN
05D7	het:hb	HEBREW LETTER HET
05D8	tet:hb	HEBREW LETTER TET
05D9	yod:hb	HEBREW LETTER YOD
05DA	finalkaf:hb	HEBREW LETTER FINAL KAF
05DB	kaf:hb	HEBREW LETTER KAF
05DC	lamed:hb	HEBREW LETTER LAMED
05DD	finalmem:hb	HEBREW LETTER FINAL MEM
05DE	mem:hb	HEBREW LETTER MEM
05DF	finalnun:hb	HEBREW LETTER FINAL NUN
05E0	nun:hb	HEBREW LETTER NUN
05E1	samekh:hb	HEBREW LETTER SAMEKH
05E2	ayin:hb	HEBREW LETTER AYIN
05E3	finalpe:hb	HEBREW LETTER FINAL PE
05E4	pe:hb	HEBREW LETTER PE
05E5	finaltsadi:hb	HEBREW LETTER FINAL TSADI
05E6	tsadi:hb	HEBREW LETTER TSADI
05E7	qof:hb	HEBREW LETTER QOF
05E8	resh:hb	HEBREW LETTER RESH
05E9	shin:hb	HEBREW LETTER SHIN
05EA	tav:hb	HEBREW LETTER TAV
05EF	yodtriangle:hb	HEBREW YOD TRIANGLE
05F0	vav_vav:hb	HEBREW LIGATURE YIDDISH DOUBLE VAV
05F1	vav_yod:hb	HEBREW LIGATURE YIDDISH VAV YOD
05F2	yod_yod:hb	HEBREW LIGATURE YIDDISH DOUBLE YOD
05F3	geresh:hb	HEBREW PUNCTUATION GERESH
05F4	gershayim:hb	HEBREW PUNCTUATION GERSHAYIM
