# Arabic 00600 - 006FF
0600	arnumbersign	ARABIC NUMBER SIGN
0601	Sanah	ARABIC SIGN SANAH
0602	footnote	ARABIC FOOTNOTE MARKER
0603	Safha	ARABIC SIGN SAFHA
0604	samvat	ARABIC SIGN SAMVAT
0605	numbermarkabove	ARABIC NUMBER MARK ABOVE
0606	arcuberoot	ARABIC-INDIC CUBE ROOT
0607	arfourthroot	ARABIC-INDIC FOURTH ROOT
0608	ray	ARABIC RAY
0609	permille	ARABIC-INDIC PER MILLE SIGN
060A	arperthousand	ARABIC-INDIC PER TEN THOUSAND SIGN
060B	afghani	AFGHANI SIGN
060C	arcomma	ARABIC COMMA
060D	dateseparator	ARABIC DATE SEPARATOR
060E	poeticverse	ARABIC POETIC VERSE SIGN
060F	misra	ARABIC SIGN MISRA
0610	HonSAW	ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM
0611	HonAA	ARABIC SIGN ALAYHE ASSALLAM
0612	HonRA	ARABIC SIGN RAHMATULLAH ALAYHE
0613	aHonRAA	ARABIC SIGN RADI ALLAHOU ANHU
0614	takhallus	ARABIC SIGN TAKHALLUS
0615	tahabove	ARABIC SMALL HIGH TAH
0616	alefLamYehabove	ARABIC SMALL HIGH LIGATURE ALEF WITH LAM WITH YEH
0617	zainabove	ARABIC SMALL HIGH ZAIN
0618	fathasmall	ARABIC SMALL FATHA
0619	dammasmall	ARABIC SMALL DAMMA
061A	kasrasmall	ARABIC SMALL KASRA
061B	arsemicolon	ARABIC SEMICOLON
061C	mark	ARABIC LETTER MARK
061E	tripledot	ARABIC TRIPLE DOT PUNCTUATION MARK
061F	arquestion	ARABIC QUESTION MARK
0620	kashmiriyeh	ARABIC LETTER KASHMIRI YEH
0621	hamza	ARABIC LETTER HAMZA
0622	alefmadda	ARABIC LETTER ALEF WITH MADDA ABOVE
0623	alefhamza	ARABIC LETTER ALEF WITH HAMZA ABOVE
0624	wawhamza	ARABIC LETTER WAW WITH HAMZA ABOVE
0625	alefhamzabelow	ARABIC LETTER ALEF WITH HAMZA BELOW
0626	yehhamza	ARABIC LETTER YEH WITH HAMZA ABOVE
0627	alef	ARABIC LETTER ALEF
0628	beh	ARABIC LETTER BEH
0629	tehmarbuta	ARABIC LETTER TEH MARBUTA
062A	teh	ARABIC LETTER TEH
062B	theh	ARABIC LETTER THEH
062C	jeem	ARABIC LETTER JEEM
062D	hah	ARABIC LETTER HAH
062E	khah	ARABIC LETTER KHAH
062F	dal	ARABIC LETTER DAL
0630	thal	ARABIC LETTER THAL
0631	reh	ARABIC LETTER REH
0632	zain	ARABIC LETTER ZAIN
0633	seen	ARABIC LETTER SEEN
0634	sheen	ARABIC LETTER SHEEN
0635	sad	ARABIC LETTER SAD
0636	dad	ARABIC LETTER DAD
0637	tah	ARABIC LETTER TAH
0638	zah	ARABIC LETTER ZAH
0639	arain	ARABIC LETTER AIN
063A	ghain	ARABIC LETTER GHAIN
063B	kehehtwodotsabove	ARABIC LETTER KEHEH WITH TWO DOTS ABOVE
063C	kehehthreedotsbelow	ARABIC LETTER KEHEH WITH THREE DOTS BELOW
063D	yehfarsiinvertedV	ARABIC LETTER FARSI YEH WITH INVERTED V
063E	yehfarsitwodotsabove	ARABIC LETTER FARSI YEH WITH TWO DOTS ABOVE
063F	yehfarsithreedotsabove	ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
0640	kashida	ARABIC TATWEEL
0641	feh	ARABIC LETTER FEH
0642	qaf	ARABIC LETTER QAF
0643	kaf	ARABIC LETTER KAF
0644	lam	ARABIC LETTER LAM
0645	meem	ARABIC LETTER MEEM
0646	noon	ARABIC LETTER NOON
0647	heh	ARABIC LETTER HEH
0648	waw	ARABIC LETTER WAW
0649	alefmaksura	ARABIC LETTER ALEF MAKSURA
064A	yeh	ARABIC LETTER YEH
064B	fathatan	ARABIC FATHATAN
064C	dammatan	ARABIC DAMMATAN
064D	kasratan	ARABIC KASRATAN
064E	fatha	ARABIC FATHA
064F	damma	ARABIC DAMMA
0650	kasra	ARABIC KASRA
0651	shadda	ARABIC SHADDA
0652	sukun	ARABIC SUKUN
0653	madda	ARABIC MADDAH ABOVE
0654	hamzaabove	ARABIC HAMZA ABOVE
0655	hamzabelow	ARABIC HAMZA BELOW
0656	subscriptalef	ARABIC SUBSCRIPT ALEF
0657	inverteddamma	ARABIC INVERTED DAMMA
0658	marknoonghunna	ARABIC MARK NOON GHUNNA
0659	zwarakay	ARABIC ZWARAKAY
065A	vowelVabove	ARABIC VOWEL SIGN SMALL V ABOVE
065B	vowelinvertedVabove	ARABIC VOWEL SIGN INVERTED SMALL V ABOVE
065C	voweldotbelow	ARABIC VOWEL SIGN DOT BELOW
065D	dammareversed	ARABIC REVERSED DAMMA
065E	fathatwodotsdots	ARABIC FATHA WITH TWO DOTS
065F	wavyhamzabelow	ARABIC WAVY HAMZA BELOW
0660	arzero	ARABIC-INDIC DIGIT ZERO
0661	arone	ARABIC-INDIC DIGIT ONE
0662	artwo	ARABIC-INDIC DIGIT TWO
0663	arthree	ARABIC-INDIC DIGIT THREE
0664	arfour	ARABIC-INDIC DIGIT FOUR
0665	arfive	ARABIC-INDIC DIGIT FIVE
0666	arsix	ARABIC-INDIC DIGIT SIX
0667	arseven	ARABIC-INDIC DIGIT SEVEN
0668	areight	ARABIC-INDIC DIGIT EIGHT
0669	arnine	ARABIC-INDIC DIGIT NINE
066A	arpercent	ARABIC PERCENT SIGN
066B	ardecimalseparator	ARABIC DECIMAL SEPARATOR
066C	thousandsseparator	ARABIC THOUSANDS SEPARATOR
066D	fivepointedstar	ARABIC FIVE POINTED STAR
066E	dotlessbeh	ARABIC LETTER DOTLESS BEH
066F	dotlessqaf	ARABIC LETTER DOTLESS QAF
0670	alefabove	ARABIC LETTER SUPERSCRIPT ALEF
0671	alefwasla	ARABIC LETTER ALEF WASLA
0672	alefwavyhamza	ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE
0673	alefwavyhamzabelow	ARABIC LETTER ALEF WITH WAVY HAMZA BELOW
0674	highhamza	ARABIC LETTER HIGH HAMZA
0675	alefhighhamza	ARABIC LETTER HIGH HAMZA ALEF
0676	wawhighhamza	ARABIC LETTER HIGH HAMZA WAW
0677	uhamza	ARABIC LETTER U WITH HAMZA ABOVE
0678	yehhighhamza	ARABIC LETTER HIGH HAMZA YEH
0679	tteh	ARABIC LETTER TTEH
067A	tteheh	ARABIC LETTER TTEHEH
067B	beeh	ARABIC LETTER BEEH
067C	tehring	ARABIC LETTER TEH WITH RING
067D	tehdownthreedotsabove	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
067E	peh	ARABIC LETTER PEH
067F	teheh	ARABIC LETTER TEHEH
0680	beheh	ARABIC LETTER BEHEH
0681	hahhamza	ARABIC LETTER HAH WITH HAMZA ABOVE
0682	hahtwodotsvertical	ARABIC LETTER HAH WITH TWO DOTS VERTICAL ABOVE
0683	nyeh	ARABIC LETTER NYEH
0684	dyeh	ARABIC LETTER DYEH
0685	hahthreedotsabove	ARABIC LETTER HAH WITH THREE DOTS ABOVE
0686	tcheh	ARABIC LETTER TCHEH
0687	tcheheh	ARABIC LETTER TCHEHEH
0688	ddal	ARABIC LETTER DDAL
0689	dalring	ARABIC LETTER DAL WITH RING
068A	daldotbelow	ARABIC LETTER DAL WITH DOT BELOW
068B	daldotbelowtahsmall	ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH
068C	dahal	ARABIC LETTER DAHAL
068D	ddahal	ARABIC LETTER DDAHAL
068E	dul	ARABIC LETTER DUL
068F	daldownthreedotsabove	ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
0690	dalfourdotsabove	ARABIC LETTER DAL WITH FOUR DOTS ABOVE
0691	rreh	ARABIC LETTER RREH
0692	rehVabove	ARABIC LETTER REH WITH SMALL V
0693	rehring	ARABIC LETTER REH WITH RING
0694	rehdotbelow	ARABIC LETTER REH WITH DOT BELOW
0695	rehVbelow	ARABIC LETTER REH WITH SMALL V BELOW
0696	rehdotbelowdotabove	ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE
0697	rehtwodotsabove	ARABIC LETTER REH WITH TWO DOTS ABOVE
0698	jeh	ARABIC LETTER JEH
0699	rehfourdotsabove	ARABIC LETTER REH WITH FOUR DOTS ABOVE
069A	seendotbelowdotabove	ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
069B	seenthreedotsbelow	ARABIC LETTER SEEN WITH THREE DOTS BELOW
069C	seenthreedotsbelowthreedotsabove	ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE
069D	sadtwodotsbelow	ARABIC LETTER SAD WITH TWO DOTS BELOW
069E	sadthreedotsabove	ARABIC LETTER SAD WITH THREE DOTS ABOVE
069F	tahthreedotsabove	ARABIC LETTER TAH WITH THREE DOTS ABOVE
06A0	ainthreedotsabove	ARABIC LETTER AIN WITH THREE DOTS ABOVE
06A1	dotlessfeh	ARABIC LETTER DOTLESS FEH
06A2	fehdotbelowright	ARABIC LETTER FEH WITH DOT MOVED BELOW
06A3	fehdotbelow	ARABIC LETTER FEH WITH DOT BELOW
06A4	veh	ARABIC LETTER VEH
06A5	fehthreedotsbelow	ARABIC LETTER FEH WITH THREE DOTS BELOW
06A6	peheh	ARABIC LETTER PEHEH
06A7	qafdotabove	ARABIC LETTER QAF WITH DOT ABOVE
06A8	qafthreedotsabove	ARABIC LETTER QAF WITH THREE DOTS ABOVE
06A9	keheh	ARABIC LETTER KEHEH
06AA	kafswash	ARABIC LETTER SWASH KAF
06AB	kafring	ARABIC LETTER KAF WITH RING
06AC	kafdotabove	ARABIC LETTER KAF WITH DOT ABOVE
06AD	ng	ARABIC LETTER NG
06AE	kafthreedotsbelow	ARABIC LETTER KAF WITH THREE DOTS BELOW
06AF	gaf	ARABIC LETTER GAF
06B0	gafring	ARABIC LETTER GAF WITH RING
06B1	ngoeh	ARABIC LETTER NGOEH
06B2	gaftwodotsbelow	ARABIC LETTER GAF WITH TWO DOTS BELOW
06B3	gueh	ARABIC LETTER GUEH
06B4	gafthreedotsabove	ARABIC LETTER GAF WITH THREE DOTS ABOVE
06B5	lamVabove	ARABIC LETTER LAM WITH SMALL V
06B6	lamdotabove	ARABIC LETTER LAM WITH DOT ABOVE
06B7	lamthreedotsabove	ARABIC LETTER LAM WITH THREE DOTS ABOVE
06B8	lamthreedotsbelow	ARABIC LETTER LAM WITH THREE DOTS BELOW
06B9	noondotbelow	ARABIC LETTER NOON WITH DOT BELOW
06BA	noonghunna	ARABIC LETTER NOON GHUNNA
06BB	rnoon	ARABIC LETTER RNOON
06BC	noonring	ARABIC LETTER NOON WITH RING
06BD	noonthreedotsabove	ARABIC LETTER NOON WITH THREE DOTS ABOVE
06BE	hehdoachashmee	ARABIC LETTER HEH DOACHASHMEE
06BF	tchehdotabove	ARABIC LETTER TCHEH WITH DOT ABOVE
06C0	hehyeh	ARABIC LETTER HEH WITH YEH ABOVE
06C1	hehgoal	ARABIC LETTER HEH GOAL
06C2	hehgoalhamza	ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
06C3	tehmarbutagoal	ARABIC LETTER TEH MARBUTA GOAL
06C4	wawring	ARABIC LETTER WAW WITH RING
06C5	oekirghiz	ARABIC LETTER KIRGHIZ OE
06C6	aroe	ARABIC LETTER OE
06C7	aru	ARABIC LETTER U
06C8	aryu	ARABIC LETTER YU
06C9	yukirghiz	ARABIC LETTER KIRGHIZ YU
06CA	wawtwodotsabove	ARABIC LETTER WAW WITH TWO DOTS ABOVE
06CB	ve	ARABIC LETTER VE
06CC	yehfarsi	ARABIC LETTER FARSI YEH
06CD	yehtail	ARABIC LETTER YEH WITH TAIL
06CE	yehVabove	ARABIC LETTER YEH WITH SMALL V
