# Devanagari 00900 - 0097F
0900	deva:candrabinduinverted	DEVANAGARI SIGN INVERTED CANDRABINDU
0901	deva:candrabindu	DEVANAGARI SIGN CANDRABINDU
0902	deva:anusvara	DEVANAGARI SIGN ANUSVARA
0903	deva:visarga	DEVANAGARI SIGN VISARGA
0904	deva:ashort	DEVANAGARI LETTER SHORT A
0905	deva:a	DEVANAGARI LETTER A
0906	deva:aa	DEVANAGARI LETTER AA
0907	deva:i	DEVANAGARI LETTER I
0908	deva:ii	DEVANAGARI LETTER II
0909	deva:u	DEVANAGARI LETTER U
090A	deva:uu	DEVANAGARI LETTER UU
090B	deva:vocalicr	DEVANAGARI LETTER VOCALIC R
090C	deva:vocalicl	DEVANAGARI LETTER VOCALIC L
090D	deva:ecandra	DEVANAGARI LETTER CANDRA E
090E	deva:eshort	DEVANAGARI LETTER SHORT E
090F	deva:e	DEVANAGARI LETTER E
0910	deva:ai	DEVANAGARI LETTER AI
0911	deva:ocandra	DEVANAGARI LETTER CANDRA O
0912	deva:oshort	DEVANAGARI LETTER SHORT O
0913	deva:o	DEVANAGARI LETTER O
0914	deva:au	DEVANAGARI LETTER AU
0915	deva:ka	DEVANAGARI LETTER KA
0916	deva:kha	DEVANAGARI LETTER KHA
0917	deva:ga	DEVANAGARI LETTER GA
0918	deva:gha	DEVANAGARI LETTER GHA
0919	deva:nga	DEVANAGARI LETTER NGA
091A	deva:ca	DEVANAGARI LETTER CA
091B	deva:cha	DEVANAGARI LETTER CHA
091C	deva:ja	DEVANAGARI LETTER JA
091D	deva:jha	DEVANAGARI LETTER JHA
091E	deva:nya	DEVANAGARI LETTER NYA
091F	deva:tta	DEVANAGARI LETTER TTA
0920	deva:ttha	DEVANAGARI LETTER TTHA
0921	deva:dda	DEVANAGARI LETTER DDA
0922	deva:ddha	DEVANAGARI LETTER DDHA
0923	deva:nna	DEVANAGARI LETTER NNA
0924	deva:ta	DEVANAGARI LETTER TA
0925	deva:tha	DEVANAGARI LETTER THA
0926	deva:da	DEVANAGARI LETTER DA
0927	deva:dha	DEVANAGARI LETTER DHA
0928	deva:na	DEVANAGARI LETTER NA
0929	deva:nnna	DEVANAGARI LETTER NNNA
092A	deva:pa	DEVANAGARI LETTER PA
092B	deva:pha	DEVANAGARI LETTER PHA
092C	deva:ba	DEVANAGARI LETTER BA
092D	deva:bha	DEVANAGARI LETTER BHA
092E	deva:ma	DEVANAGARI LETTER MA
092F	deva:ya	DEVANAGARI LETTER YA
0930	deva:ra	DEVANAGARI LETTER RA
0931	deva:rra	DEVANAGARI LETTER RRA
0932	deva:la	DEVANAGARI LETTER LA
0933	deva:lla	DEVANAGARI LETTER LLA
0934	deva:llla	DEVANAGARI LETTER LLLA
0935	deva:va	DEVANAGARI LETTER VA
0936	deva:sha	DEVANAGARI LETTER SHA
0937	deva:ssa	DEVANAGARI LETTER SSA
0938	deva:sa	DEVANAGARI LETTER SA
0939	deva:ha	DEVANAGARI LETTER HA
093A	deva:oesign	DEVANAGARI VOWEL SIGN OE
093B	deva:ooesign	DEVANAGARI VOWEL SIGN OOE
093C	deva:nukta	DEVANAGARI SIGN NUKTA
093D	deva:avagraha	DEVANAGARI SIGN AVAGRAHA
093E	deva:aasign	DEVANAGARI VOWEL SIGN AA
