# Bengali 00980 - 009FF
0980	beng:anji	BENGALI ANJI
0981	beng:candrabindu	BENGALI SIGN CANDRABINDU
0982	beng:anusvara	BENGALI SIGN ANUSVARA
0983	beng:visarga	BENGALI SIGN VISARGA
0985	beng:a	BENGALI LETTER A
0986	beng:aa	BENGALI LETTER AA
0987	beng:i	BENGALI LETTER I
0988	beng:ii	BENGALI LETTER II
0989	beng:u	BENGALI LETTER U
098A	beng:uu	BENGALI LETTER UU
098B	beng:vocalicr	BENGALI LETTER VOCALIC R
098C	beng:vocalicl	BENGALI LETTER VOCALIC L
098F	beng:e	BENGALI LETTER E
0990	beng:ai	BENGALI LETTER AI
0993	beng:o	BENGALI LETTER O
0994	beng:au	BENGALI LETTER AU
0995	beng:ka	BENGALI LETTER KA
0996	beng:kha	BENGALI LETTER KHA
0997	beng:ga	BENGALI LETTER GA
0998	beng:gha	BENGALI LETTER GHA
0999	beng:nga	BENGALI LETTER NGA
099A	beng:ca	BENGALI LETTER CA
099B	beng:cha	BENGALI LETTER CHA
099C	beng:ja	BENGALI LETTER JA
099D	beng:jha	BENGALI LETTER JHA
099E	beng:nya	BENGALI LETTER NYA
099F	beng:tta	BENGALI LETTER TTA
09A0	beng:ttha	BENGALI LETTER TTHA
09A1	beng:dda	BENGALI LETTER DDA
09A2	beng:ddha	BENGALI LETTER DDHA
09A3	beng:nna	BENGALI LETTER NNA
09A4	beng:ta	BENGALI LETTER TA
09A5	beng:tha	BENGALI LETTER THA
09A6	beng:da	BENGALI LETTER DA
09A7	beng:dha	BENGALI LETTER DHA
09A8	beng:na	BENGALI LETTER NA
09AA	beng:pa	BENGALI LETTER PA
09AB	beng:pha	BENGALI LETTER PHA
09AC	beng:ba	BENGALI LETTER BA
09AD	beng:bha	BENGALI LETTER BHA
09AE	beng:ma	BENGALI LETTER MA
09AF	beng:ya	BENGALI LETTER YA
09B0	beng:ra	BENGALI LETTER RA
09B2	beng:la	BENGALI LETTER LA
09B6	beng:sha	BENGALI LETTER SHA
09B7	beng:ssa	BENGALI LETTER SSA
09B8	beng:sa	BENGALI LETTER SA
09B9	beng:ha	BENGALI LETTER HA
09BC	beng:nukta	BENGALI SIGN NUKTA
09BD	beng:avagraha	BENGALI SIGN AVAGRAHA
09BE	beng:aasign	BENGALI VOWEL SIGN AA
09BF	beng:isign	BENGALI VOWEL SIGN I
09C0	beng:iisign	BENGALI VOWEL SIGN II
09C1	beng:usign	BENGALI VOWEL SIGN U
09C2	beng:uusign	BENGALI VOWEL SIGN UU
09C3	beng:vocalicrsign	BENGALI VOWEL SIGN VOCALIC R
09C4	beng:vocalicrrsign	BENGALI VOWEL SIGN VOCALIC RR
09C7	beng:esign	BENGALI VOWEL SIGN E
09C8	beng:aisign	BENGALI VOWEL SIGN AI
09CB	beng:osign	BENGALI VOWEL SIGN O
09CC	beng:ausign	BENGALI VOWEL SIGN AU
09CD	beng:virama	BENGALI SIGN VIRAMA
09CE	beng:khandata	BENGALI LETTER KHANDA TA
09D7	beng:aulengthmark	BENGALI AU LENGTH MARK
09DC	beng:rra	BENGALI LETTER RRA
09DD	beng:rha	BENGALI LETTER RHA
09DF	beng:yya	BENGALI LETTER YYA
09E0	beng:vocalicrr	BENGALI LETTER VOCALIC RR
09E1	beng:vocalicll	BENGALI LETTER VOCALIC LL
09E2	beng:vocaliclsign	BENGALI VOWEL SIGN VOCALIC L
09E3	beng:vocalicllsign	BENGALI VOWEL SIGN VOCALIC LL
09E6	beng:zero	BENGALI DIGIT ZERO
09E7	beng:one	BENGALI DIGIT ONE
09E8	beng:two	BENGALI DIGIT TWO
09E9	beng:three	BENGALI DIGIT THREE
09EA	beng:four	BENGALI DIGIT FOUR
09EB	beng:five	BENGALI DIGIT FIVE
09EC	beng:six	BENGALI DIGIT SIX
09ED	beng:seven	BENGALI DIGIT SEVEN
09EE	beng:eight	BENGALI DIGIT EIGHT
09EF	beng:nine	BENGALI DIGIT NINE
09F0	beng:ramiddiagonal	BENGALI LETTER RA WITH MIDDLE DIAGONAL
09F1	beng:ralowdiagonal	BENGALI LETTER RA WITH LOWER DIAGONAL
09F2	beng:rupeemark	BENGALI RUPEE MARK
09F3	beng:rupee	BENGALI RUPEE SIGN
09F4	beng:onecurrencynumerator	BENGALI CURRENCY NUMERATOR ONE
09F5	beng:twocurrencynumerator	BENGALI CURRENCY NUMERATOR TWO
09F6	beng:threecurrencynumerator	BENGALI CURRENCY NUMERATOR THREE
09F7	beng:fourcurrencynumerator	BENGALI CURRENCY NUMERATOR FOUR
09F8	beng:currencyoneless	BENGALI CURRENCY NUMERATOR ONE LESS THAN THE DENOMINATOR
09F9	beng:sixteencurrencydenominator	BENGALI CURRENCY DENOMINATOR SIXTEEN
09FA	beng:isshar	BENGALI ISSHAR
09FB	beng:gandamark	BENGALI GANDA MARK
09FC	beng:vedicanusvara	BENGALI LETTER VEDIC ANUSVARA
09FD	beng:abbreviationsign	BENGALI ABBREVIATION SIGN
09FE	beng:sandhimark	BENGALI SANDHI MARK
