# Gurmukhi 00A00 - 00A7F
0A01	guru:adakbindisign	GURMUKHI SIGN ADAK BINDI
0A02	guru:bindisign	GURMUKHI SIGN BINDI
0A03	guru:visarga	GURMUKHI SIGN VISARGA
0A05	guru:a	GURMUKHI LETTER A
0A06	guru:aa	GURMUKHI LETTER AA
0A07	guru:i	GURMUKHI LETTER I
0A08	guru:ii	GURMUKHI LETTER II
0A09	guru:u	GURMUKHI LETTER U
0A0A	guru:uu	GURMUKHI LETTER UU
0A0F	guru:ee	GURMUKHI LETTER EE
0A10	guru:ai	GURMUKHI LETTER AI
0A13	guru:oo	GURMUKHI LETTER OO
0A14	guru:au	GURMUKHI LETTER AU
0A15	guru:ka	GURMUKHI LETTER KA
0A16	guru:kha	GURMUKHI LETTER KHA
0A17	guru:ga	GURMUKHI LETTER GA
0A18	guru:gha	GURMUKHI LETTER GHA
0A19	guru:nga	GURMUKHI LETTER NGA
0A1A	guru:ca	GURMUKHI LETTER CA
0A1B	guru:cha	GURMUKHI LETTER CHA
0A1C	guru:ja	GURMUKHI LETTER JA
0A1D	guru:jha	GURMUKHI LETTER JHA
0A1E	guru:nya	GURMUKHI LETTER NYA
0A1F	guru:tta	GURMUKHI LETTER TTA
0A20	guru:ttha	GURMUKHI LETTER TTHA
0A21	guru:dda	GURMUKHI LETTER DDA
0A22	guru:ddha	GURMUKHI LETTER DDHA
0A23	guru:nna	GURMUKHI LETTER NNA
0A24	guru:ta	GURMUKHI LETTER TA
0A25	guru:tha	GURMUKHI LETTER THA
0A26	guru:da	GURMUKHI LETTER DA
0A27	guru:dha	GURMUKHI LETTER DHA
0A28	guru:na	GURMUKHI LETTER NA
0A2A	guru:pa	GURMUKHI LETTER PA
0A2B	guru:pha	GURMUKHI LETTER PHA
0A2C	guru:ba	GURMUKHI LETTER BA
0A2D	guru:bha	GURMUKHI LETTER BHA
0A2E	guru:ma	GURMUKHI LETTER MA
0A2F	guru:ya	GURMUKHI LETTER YA
0A30	guru:ra	GURMUKHI LETTER RA
0A32	guru:la	GURMUKHI LETTER LA
0A33	guru:lla	GURMUKHI LETTER LLA
0A35	guru:va	GURMUKHI LETTER VA
0A36	guru:sha	GURMUKHI LETTER SHA
0A38	guru:sa	GURMUKHI LETTER SA
0A39	guru:ha	GURMUKHI LETTER HA
0A3C	guru:nukta	GURMUKHI SIGN NUKTA
0A3E	guru:aasign	GURMUKHI VOWEL SIGN AA
0A3F	guru:isign	GURMUKHI VOWEL SIGN I
0A40	guru:iisign	GURMUKHI VOWEL SIGN II
0A41	guru:usign	GURMUKHI VOWEL SIGN U
0A42	guru:uusign	GURMUKHI VOWEL SIGN UU
0A47	guru:eesign	GURMUKHI VOWEL SIGN EE
0A48	guru:aisign	GURMUKHI VOWEL SIGN AI
0A4B	guru:oosign	GURMUKHI VOWEL SIGN OO
0A4C	guru:ausign	GURMUKHI VOWEL SIGN AU
0A4D	guru:virama	GURMUKHI SIGN VIRAMA
0A51	guru:udaatsign	GURMUKHI SIGN UDAAT
0A59	guru:khha	GURMUKHI LETTER KHHA
0A5A	guru:ghha	GURMUKHI LETTER GHHA
0A5B	guru:za	GURMUKHI LETTER ZA
0A5C	guru:rra	GURMUKHI LETTER RRA
0A5E	guru:fa	GURMUKHI LETTER FA
0A66	guru:zero	GURMUKHI DIGIT ZERO
0A67	guru:one	GURMUKHI DIGIT ONE
0A68	guru:two	GURMUKHI DIGIT TWO
0A69	guru:three	GURMUKHI DIGIT THREE
0A6A	guru:four	GURMUKHI DIGIT FOUR
0A6B	guru:five	GURMUKHI DIGIT FIVE
0A6C	guru:six	GURMUKHI DIGIT SIX
0A6D	guru:seven	GURMUKHI DIGIT SEVEN
0A6E	guru:eight	GURMUKHI DIGIT EIGHT
0A6F	guru:nine	GURMUKHI DIGIT NINE
0A70	guru:tippi	GURMUKHI TIPPI
0A71	guru:addak	GURMUKHI ADDAK
0A72	guru:iri	GURMUKHI IRI
0A73	guru:ura	GURMUKHI URA
0A74	guru:ekonkar	GURMUKHI EK ONKAR
0A75	guru:yakashsign	GURMUKHI SIGN YAKASH
0A76	guru:abbreviationsign	GURMUKHI ABBREVIATION SIGN
