# Gujarati 00A80 - 00AFF
0A81	gujr:candrabindu	GUJARATI SIGN CANDRABINDU
0A82	gujr:anusvara	GUJARATI SIGN ANUSVARA
0A83	gujr:visarga	GUJARATI SIGN VISARGA
0A85	gujr:a	GUJARATI LETTER A
0A86	gujr:aa	GUJARATI LETTER AA
0A87	gujr:i	GUJARATI LETTER I
0A88	gujr:ii	GUJARATI LETTER II
0A89	gujr:u	GUJARATI LETTER U
0A8A	gujr:uu	GUJARATI LETTER UU
0A8B	gujr:vocalicr	GUJARATI LETTER VOCALIC R
0A8C	gujr:vocalicl	GUJARATI LETTER VOCALIC L
0A8D	gujr:ecandra	GUJARATI VOWEL CANDRA E
0A8F	gujr:e	GUJARATI LETTER E
0A90	gujr:ai	GUJARATI LETTER AI
0A91	gujr:ocandra	GUJARATI VOWEL CANDRA O
0A93	gujr:o	GUJARATI LETTER O
0A94	gujr:au	GUJARATI LETTER AU
0A95	gujr:ka	GUJARATI LETTER KA
0A96	gujr:kha	GUJARATI LETTER KHA
0A97	gujr:ga	GUJARATI LETTER GA
0A98	gujr:gha	GUJARATI LETTER GHA
0A99	gujr:nga	GUJARATI LETTER NGA
0A9A	gujr:ca	GUJARATI LETTER CA
0A9B	gujr:cha	GUJARATI LETTER CHA
0A9C	gujr:ja	GUJARATI LETTER JA
0A9D	gujr:jha	GUJARATI LETTER JHA
0A9E	gujr:nya	GUJARATI LETTER NYA
0A9F	gujr:tta	GUJARATI LETTER TTA
0AA0	gujr:ttha	GUJARATI LETTER TTHA
0AA1	gujr:dda	GUJARATI LETTER DDA
0AA2	gujr:ddha	GUJARATI LETTER DDHA
0AA3	gujr:nna	GUJARATI LETTER NNA
0AA4	gujr:ta	GUJARATI LETTER TA
0AA5	gujr:tha	GUJARATI LETTER THA
0AA6	gujr:da	GUJARATI LETTER DA
0AA7	gujr:dha	GUJARATI LETTER DHA
0AA8	gujr:na	GUJARATI LETTER NA
0AAA	gujr:pa	GUJARATI LETTER PA
0AAB	gujr:pha	GUJARATI LETTER PHA
0AAC	gujr:ba	GUJARATI LETTER BA
0AAD	gujr:bha	GUJARATI LETTER BHA
0AAE	gujr:ma	GUJARATI LETTER MA
0AAF	gujr:ya	GUJARATI LETTER YA
0AB0	gujr:ra	GUJARATI LETTER RA
0AB2	gujr:la	GUJARATI LETTER LA
0AB3	gujr:lla	GUJARATI LETTER LLA
0AB5	gujr:va	GUJARATI LETTER VA
0AB6	gujr:sha	GUJARATI LETTER SHA
0AB7	gujr:ssa	GUJARATI LETTER SSA
0AB8	gujr:sa	GUJARATI LETTER SA
0AB9	gujr:ha	GUJARATI LETTER HA
0ABC	gujr:nukta	GUJARATI SIGN NUKTA
0ABD	gujr:avagraha	GUJARATI SIGN AVAGRAHA
0ABE	gujr:aasign	GUJARATI VOWEL SIGN AA
0ABF	gujr:isign	GUJARATI VOWEL SIGN I
0AC0	gujr:iisign	GUJARATI VOWEL SIGN II
0AC1	gujr:usign	GUJARATI VOWEL SIGN U
0AC2	gujr:uusign	GUJARATI VOWEL SIGN UU
0AC3	gujr:vocalicrsign	GUJARATI VOWEL SIGN VOCALIC R
0AC4	gujr:vocalicrrsign	GUJARATI VOWEL SIGN VOCALIC RR
0AC5	gujr:esigncandra	GUJARATI VOWEL SIGN CANDRA E
0AC7	gujr:esign	GUJARATI VOWEL SIGN E
0AC8	gujr:aisign	GUJARATI VOWEL SIGN AI
0AC9	gujr:osigncandra	GUJARATI VOWEL SIGN CANDRA O
0ACB	gujr:osign	GUJARATI VOWEL SIGN O
0ACC	gujr:ausign	GUJARATI VOWEL SIGN AU
0ACD	gujr:virama	GUJARATI SIGN VIRAMA
0AD0	gujr:om	GUJARATI OM
0AE0	gujr:vocalicrr	GUJARATI LETTER VOCALIC RR
0AE1	gujr:vocalicll	GUJARATI LETTER VOCALIC LL
0AE2	gujr:vocaliclsign	GUJARATI VOWEL SIGN VOCALIC L
0AE3	gujr:vocalicllsign	GUJARATI VOWEL SIGN VOCALIC LL
0AE6	gujr:zero	GUJARATI DIGIT ZERO
0AE7	gujr:one	GUJARATI DIGIT ONE
0AE8	gujr:two	GUJARATI DIGIT TWO
0AE9	gujr:three	GUJARATI DIGIT THREE
0AEA	gujr:four	GUJARATI DIGIT FOUR
0AEB	gujr:five	GUJARATI DIGIT FIVE
0AEC	gujr:six	GUJARATI DIGIT SIX
0AED	gujr:seven	GUJARATI DIGIT SEVEN
0AEE	gujr:eight	GUJARATI DIGIT EIGHT
0AEF	gujr:nine	GUJARATI DIGIT NINE
0AF0	gujr:abbreviation	GUJARATI ABBREVIATION SIGN
0AF1	gujr:rupee	GUJARATI RUPEE SIGN
0AF9	gujr:zha	GUJARATI LETTER ZHA
0AFA	gujr:sukun	GUJARATI SIGN SUKUN
0AFB	gujr:shadda	GUJARATI SIGN SHADDA
0AFC	gujr:maddah	GUJARATI SIGN MADDAH
0AFD	gujr:threedotnuktaabove	GUJARATI SIGN THREE-DOT NUKTA ABOVE
0AFE	gujr:circlenuktaabove	GUJARATI SIGN CIRCLE NUKTA ABOVE
0AFF	gujr:twocirclenuktaabove	GUJARATI SIGN TWO-CIRCLE NUKTA ABOVE
