# Oriya 00B00 - 00B7F
0B01	orya:candrabindu	ORIYA SIGN CANDRABINDU
0B02	orya:anusvara	ORIYA SIGN ANUSVARA
0B03	orya:visarga	ORIYA SIGN VISARGA
0B05	orya:a	ORIYA LETTER A
0B06	orya:aa	ORIYA LETTER AA
0B07	orya:i	ORIYA LETTER I
0B08	orya:ii	ORIYA LETTER II
0B09	orya:u	ORIYA LETTER U
0B0A	orya:uu	ORIYA LETTER UU
0B0B	orya:vocalicr	ORIYA LETTER VOCALIC R
0B0C	orya:vocalicl	ORIYA LETTER VOCALIC L
0B0F	orya:e	ORIYA LETTER E
0B10	orya:ai	ORIYA LETTER AI
0B13	orya:o	ORIYA LETTER O
0B14	orya:au	ORIYA LETTER AU
0B15	orya:ka	ORIYA LETTER KA
0B16	orya:kha	ORIYA LETTER KHA
0B17	orya:ga	ORIYA LETTER GA
0B18	orya:gha	ORIYA LETTER GHA
0B19	orya:nga	ORIYA LETTER NGA
0B1A	orya:ca	ORIYA LETTER CA
0B1B	orya:cha	ORIYA LETTER CHA
0B1C	orya:ja	ORIYA LETTER JA
0B1D	orya:jha	ORIYA LETTER JHA
0B1E	orya:nya	ORIYA LETTER NYA
0B1F	orya:tta	ORIYA LETTER TTA
0B20	orya:ttha	ORIYA LETTER TTHA
0B21	orya:dda	ORIYA LETTER DDA
0B22	orya:ddha	ORIYA LETTER DDHA
0B23	orya:nna	ORIYA LETTER NNA
0B24	orya:ta	ORIYA LETTER TA
0B25	orya:tha	ORIYA LETTER THA
0B26	orya:da	ORIYA LETTER DA
0B27	orya:dha	ORIYA LETTER DHA
0B28	orya:na	ORIYA LETTER NA
0B2A	orya:pa	ORIYA LETTER PA
0B2B	orya:pha	ORIYA LETTER PHA
0B2C	orya:ba	ORIYA LETTER BA
0B2D	orya:bha	ORIYA LETTER BHA
0B2E	orya:ma	ORIYA LETTER MA
0B2F	orya:ya	ORIYA LETTER YA
0B30	orya:ra	ORIYA LETTER RA
0B32	orya:la	ORIYA LETTER LA
0B33	orya:lla	ORIYA LETTER LLA
0B35	orya:va	ORIYA LETTER VA
0B36	orya:sha	ORIYA LETTER SHA
0B37	orya:ssa	ORIYA LETTER SSA
0B38	orya:sa	ORIYA LETTER SA
0B39	orya:ha	ORIYA LETTER HA
0B3C	orya:nukta	ORIYA SIGN NUKTA
0B3D	orya:avagraha	ORIYA SIGN AVAGRAHA
0B3E	orya:aasign	ORIYA VOWEL SIGN AA
0B3F	orya:isign	ORIYA VOWEL SIGN I
0B40	orya:iisign	ORIYA VOWEL SIGN II
0B41	orya:usign	ORIYA VOWEL SIGN U
0B42	orya:uusign	ORIYA VOWEL SIGN UU
0B43	orya:vocalicrsign	ORIYA VOWEL SIGN VOCALIC R
0B44	orya:vocalicrrsign	ORIYA VOWEL SIGN VOCALIC RR
0B47	orya:esign	ORIYA VOWEL SIGN E
0B48	orya:aisign	ORIYA VOWEL SIGN AI
0B4B	orya:osign	ORIYA VOWEL SIGN O
0B4C	orya:ausign	ORIYA VOWEL SIGN AU
0B4D	orya:virama	ORIYA SIGN VIRAMA
0B56	orya:ailengthmark	ORIYA AI LENGTH MARK
0B57	orya:aulengthmark	ORIYA AU LENGTH MARK
0B5C	orya:rra	ORIYA LETTER RRA
0B5D	orya:rha	ORIYA LETTER RHA
0B5F	orya:yya	ORIYA LETTER YYA
0B60	orya:vocalicrr	ORIYA LETTER VOCALIC RR
0B61	orya:vocalicll	ORIYA LETTER VOCALIC LL
0B62	orya:vocaliclsign	ORIYA VOWEL SIGN VOCALIC L
0B63	orya:vocalicllsign	ORIYA VOWEL SIGN VOCALIC LL
0B66	orya:zero	ORIYA DIGIT ZERO
0B67	orya:one	ORIYA DIGIT ONE
0B68	orya:two	ORIYA DIGIT TWO
0B69	orya:three	ORIYA DIGIT THREE
0B6A	orya:four	ORIYA DIGIT FOUR
0B6B	orya:five	ORIYA DIGIT FIVE
0B6C	orya:six	ORIYA DIGIT SIX
0B6D	orya:seven	ORIYA DIGIT SEVEN
0B6E	orya:eight	ORIYA DIGIT EIGHT
0B6F	orya:nine	ORIYA DIGIT NINE
0B70	orya:isshar	ORIYA ISSHAR
0B71	orya:wa	ORIYA LETTER WA
0B72	orya:onequarter	ORIYA FRACTION ONE QUARTER
0B73	orya:onehalf	ORIYA FRACTION ONE HALF
0B74	orya:threequarters	ORIYA FRACTION THREE QUARTERS
0B75	orya:onesixteenth	ORIYA FRACTION ONE SIXTEENTH
0B76	orya:oneeighth	ORIYA FRACTION ONE EIGHTH
0B77	orya:threesixteenths	ORIYA FRACTION THREE SIXTEENTHS
