# Tamil 00B80 - 00BFF
0B82	taml:anusvara	TAMIL SIGN ANUSVARA
0B83	taml:visarga	TAMIL SIGN VISARGA
0B85	taml:a	TAMIL LETTER A
0B86	taml:aa	TAMIL LETTER AA
0B87	taml:i	TAMIL LETTER I
0B88	taml:ii	TAMIL LETTER II
0B89	taml:u	TAMIL LETTER U
0B8A	taml:uu	TAMIL LETTER UU
0B8E	taml:e	TAMIL LETTER E
0B8F	taml:ee	TAMIL LETTER EE
0B90	taml:ai	TAMIL LETTER AI
0B92	taml:o	TAMIL LETTER O
0B93	taml:oo	TAMIL LETTER OO
0B94	taml:au	TAMIL LETTER AU
0B95	taml:ka	TAMIL LETTER KA
0B99	taml:nga	TAMIL LETTER NGA
0B9A	taml:ca	TAMIL LETTER CA
0B9C	taml:ja	TAMIL LETTER JA
0B9E	taml:nya	TAMIL LETTER NYA
0B9F	taml:tta	TAMIL LETTER TTA
0BA3	taml:nna	TAMIL LETTER NNA
0BA4	taml:ta	TAMIL LETTER TA
0BA8	taml:na	TAMIL LETTER NA
0BA9	taml:nnna	TAMIL LETTER NNNA
0BAA	taml:pa	TAMIL LETTER PA
0BAE	taml:ma	TAMIL LETTER MA
0BAF	taml:ya	TAMIL LETTER YA
0BB0	taml:ra	TAMIL LETTER RA
0BB1	taml:rra	TAMIL LETTER RRA
0BB2	taml:la	TAMIL LETTER LA
0BB3	taml:lla	TAMIL LETTER LLA
0BB4	taml:llla	TAMIL LETTER LLLA
0BB5	taml:va	TAMIL LETTER VA
0BB6	taml:sha	TAMIL LETTER SHA
0BB7	taml:ssa	TAMIL LETTER SSA
0BB8	taml:sa	TAMIL LETTER SA
0BB9	taml:ha	TAMIL LETTER HA
0BBE	taml:aasign	TAMIL VOWEL SIGN AA
0BBF	taml:isign	TAMIL VOWEL SIGN I
0BC0	taml:iisign	TAMIL VOWEL SIGN II
0BC1	taml:usign	TAMIL VOWEL SIGN U
0BC2	taml:uusign	TAMIL VOWEL SIGN UU
0BC6	taml:esign	TAMIL VOWEL SIGN E
0BC7	taml:eesign	TAMIL VOWEL SIGN EE
0BC8	taml:aisign	TAMIL VOWEL SIGN AI
0BCA	taml:osign	TAMIL VOWEL SIGN O
0BCB	taml:oosign	TAMIL VOWEL SIGN OO
0BCC	taml:ausign	TAMIL VOWEL SIGN AU
0BCD	taml:virama	TAMIL SIGN VIRAMA
0BD0	taml:om	TAMIL OM
0BD7	taml:aulengthmark	TAMIL AU LENGTH MARK
0BE6	taml:zero	TAMIL DIGIT ZERO
0BE7	taml:one	TAMIL DIGIT ONE
0BE8	taml:two	TAMIL DIGIT TWO
0BE9	taml:three	TAMIL DIGIT THREE
0BEA	taml:four	TAMIL DIGIT FOUR
0BEB	taml:five	TAMIL DIGIT FIVE
0BEC	taml:six	TAMIL DIGIT SIX
0BED	taml:seven	TAMIL DIGIT SEVEN
0BEE	taml:eight	TAMIL DIGIT EIGHT
0BEF	taml:nine	TAMIL DIGIT NINE
0BF0	taml:ten	TAMIL NUMBER TEN
0BF1	taml:onehundred	TAMIL NUMBER ONE HUNDRED
0BF2	taml:onethousand	TAMIL NUMBER ONE THOUSAND
0BF3	taml:daysign	TAMIL DAY SIGN
0BF4	taml:monthsign	TAMIL MONTH SIGN
0BF5	taml:yearsign	TAMIL YEAR SIGN
0BF6	taml:debitsign	TAMIL DEBIT SIGN
0BF7	taml:creditsign	TAMIL CREDIT SIGN
0BF8	taml:asabovesign	TAMIL AS ABOVE SIGN
0BF9	taml:rupee	TAMIL RUPEE SIGN
0BFA	taml:sign	TAMIL NUMBER SIGN
