# Kannada 00C80 - 00CFF
0C80	knda:signspacingcandrabindu	KANNADA SIGN SPACING CANDRABINDU
0C81	knda:signcandrabindu	KANNADA SIGN CANDRABINDU
0C82	knda:anusvara	KANNADA SIGN ANUSVARA
0C83	knda:visarga	KANNADA SIGN VISARGA
0C84	knda:signsiddham	KANNADA SIGN SIDDHAM
0C85	knda:a	KANNADA LETTER A
0C86	knda:aa	KANNADA LETTER AA
0C87	knda:i	KANNADA LETTER I
0C88	knda:ii	KANNADA LETTER II
0C89	knda:u	KANNADA LETTER U
0C8A	knda:uu	KANNADA LETTER UU
0C8B	knda:rvocal	KANNADA LETTER VOCALIC R
0C8C	knda:lvocal	KANNADA LETTER VOCALIC L
0C8E	knda:e	KANNADA LETTER E
0C8F	knda:ee	KANNADA LETTER EE
0C90	knda:ai	KANNADA LETTER AI
0C92	knda:o	KANNADA LETTER O
0C93	knda:oo	KANNADA LETTER OO
0C94	knda:au	KANNADA LETTER AU
0C95	knda:ka	KANNADA LETTER KA
0C96	knda:kha	KANNADA LETTER KHA
0C97	knda:ga	KANNADA LETTER GA
0C98	knda:gha	KANNADA LETTER GHA
0C99	knda:nga	KANNADA LETTER NGA
0C9A	knda:ca	KANNADA LETTER CA
0C9B	knda:cha	KANNADA LETTER CHA
0C9C	knda:ja	KANNADA LETTER JA
0C9D	knda:jha	KANNADA LETTER JHA
0C9E	knda:nya	KANNADA LETTER NYA
0C9F	knda:tta	KANNADA LETTER TTA
0CA0	knda:ttha	KANNADA LETTER TTHA
0CA1	knda:dda	KANNADA LETTER DDA
0CA2	knda:ddha	KANNADA LETTER DDHA
0CA3	knda:nna	KANNADA LETTER NNA
0CA4	knda:ta	KANNADA LETTER TA
0CA5	knda:tha	KANNADA LETTER THA
0CA6	knda:da	KANNADA LETTER DA
0CA7	knda:dha	KANNADA LETTER DHA
0CA8	knda:na	KANNADA LETTER NA
0CAA	knda:pa	KANNADA LETTER PA
0CAB	knda:pha	KANNADA LETTER PHA
0CAC	knda:ba	KANNADA LETTER BA
0CAD	knda:bha	KANNADA LETTER BHA
0CAE	knda:ma	KANNADA LETTER MA
0CAF	knda:ya	KANNADA LETTER YA
0CB0	knda:ra	KANNADA LETTER RA
0CB1	knda:rra	KANNADA LETTER RRA
0CB2	knda:la	KANNADA LETTER LA
0CB3	knda:lla	KANNADA LETTER LLA
0CB5	knda:va	KANNADA LETTER VA
0CB6	knda:sha	KANNADA LETTER SHA
0CB7	knda:ssa	KANNADA LETTER SSA
0CB8	knda:sa	KANNADA LETTER SA
0CB9	knda:ha	KANNADA LETTER HA
0CBC	knda:nukta	KANNADA SIGN NUKTA
0CBD	knda:avagraha	KANNADA SIGN AVAGRAHA
0CBE	knda:aasign	KANNADA VOWEL SIGN AA
0CBF	knda:isign	KANNADA VOWEL SIGN I
0CC0	knda:iisign	KANNADA VOWEL SIGN II
0CC1	knda:usign	KANNADA VOWEL SIGN U
0CC2	knda:uusign	KANNADA VOWEL SIGN UU
0CC3	knda:rvocalsign	KANNADA VOWEL SIGN VOCALIC R
0CC4	knda:rrvocalsign	KANNADA VOWEL SIGN VOCALIC RR
0CC6	knda:esign	KANNADA VOWEL SIGN E
0CC7	knda:eesign	KANNADA VOWEL SIGN EE
0CC8	knda:aisign	KANNADA VOWEL SIGN AI
0CCA	knda:osign	KANNADA VOWEL SIGN O
0CCB	knda:oosign	KANNADA VOWEL SIGN OO
0CCC	knda:ausign	KANNADA VOWEL SIGN AU
0CCD	knda:virama	KANNADA SIGN VIRAMA
0CD5	knda:length	KANNADA LENGTH MARK
0CD6	knda:ailength	KANNADA AI LENGTH MARK
0CDE	knda:fa	KANNADA LETTER FA
0CE0	knda:rrvocal	KANNADA LETTER VOCALIC RR
0CE1	knda:llvocal	KANNADA LETTER VOCALIC LL
0CE2	knda:lvocalsign	KANNADA VOWEL SIGN VOCALIC L
0CE3	knda:llvocalsign	KANNADA VOWEL SIGN VOCALIC LL
0CE6	knda:zero	KANNADA DIGIT ZERO
0CE7	knda:one	KANNADA DIGIT ONE
0CE8	knda:two	KANNADA DIGIT TWO
0CE9	knda:three	KANNADA DIGIT THREE
0CEA	knda:four	KANNADA DIGIT FOUR
0CEB	knda:five	KANNADA DIGIT FIVE
0CEC	knda:six	KANNADA DIGIT SIX
0CED	knda:seven	KANNADA DIGIT SEVEN
0CEE	knda:eight	KANNADA DIGIT EIGHT
0CEF	knda:nine	KANNADA DIGIT NINE
0CF1	knda:jihvamuliya	KANNADA SIGN JIHVAMULIYA
0CF2	knda:upadhmaniya	KANNADA SIGN UPADHMANIYA
