# Sinhala 00D80 - 00DFF
0D82	sinh:anusvara	SINHALA SIGN ANUSVARAYA
0D83	sinh:visarga	SINHALA SIGN VISARGAYA
0D85	sinh:a	SINHALA LETTER AYANNA
0D86	sinh:aa	SINHALA LETTER AAYANNA
0D87	sinh:ae	SINHALA LETTER AEYANNA
0D88	sinh:aae	SINHALA LETTER AEEYANNA
0D89	sinh:i	SINHALA LETTER IYANNA
0D8A	sinh:ii	SINHALA LETTER IIYANNA
0D8B	sinh:u	SINHALA LETTER UYANNA
0D8C	sinh:uu	SINHALA LETTER UUYANNA
0D8D	sinh:vocalicr	SINHALA LETTER IRUYANNA
0D8E	sinh:vocalicrr	SINHALA LETTER IRUUYANNA
0D8F	sinh:vocalicl	SINHALA LETTER ILUYANNA
0D90	sinh:vocalicll	SINHALA LETTER ILUUYANNA
0D91	sinh:e	SINHALA LETTER EYANNA
0D92	sinh:ee	SINHALA LETTER EEYANNA
0D93	sinh:ai	SINHALA LETTER AIYANNA
0D94	sinh:o	SINHALA LETTER OYANNA
0D95	sinh:oo	SINHALA LETTER OOYANNA
0D96	sinh:au	SINHALA LETTER AUYANNA
0D9A	sinh:ka	SINHALA LETTER ALPAPRAANA KAYANNA
0D9B	sinh:kha	SINHALA LETTER MAHAAPRAANA KAYANNA
0D9C	sinh:ga	SINHALA LETTER ALPAPRAANA GAYANNA
0D9D	sinh:gha	SINHALA LETTER MAHAAPRAANA GAYANNA
0D9E	sinh:nga	SINHALA LETTER KANTAJA NAASIKYAYA
0D9F	sinh:nnga	SINHALA LETTER SANYAKA GAYANNA
0DA0	sinh:ca	SINHALA LETTER ALPAPRAANA CAYANNA
0DA1	sinh:cha	SINHALA LETTER MAHAAPRAANA CAYANNA
0DA2	sinh:ja	SINHALA LETTER ALPAPRAANA JAYANNA
0DA3	sinh:jha	SINHALA LETTER MAHAAPRAANA JAYANNA
0DA4	sinh:nya	SINHALA LETTER TAALUJA NAASIKYAYA
0DA5	sinh:jnya	SINHALA LETTER TAALUJA SANYOOGA NAAKSIKYAYA
0DA6	sinh:nyja	SINHALA LETTER SANYAKA JAYANNA
0DA7	sinh:tta	SINHALA LETTER ALPAPRAANA TTAYANNA
0DA8	sinh:ttha	SINHALA LETTER MAHAAPRAANA TTAYANNA
0DA9	sinh:dda	SINHALA LETTER ALPAPRAANA DDAYANNA
0DAA	sinh:ddha	SINHALA LETTER MAHAAPRAANA DDAYANNA
0DAB	sinh:nna	SINHALA LETTER MUURDHAJA NAYANNA
0DAC	sinh:nndda	SINHALA LETTER SANYAKA DDAYANNA
0DAD	sinh:ta	SINHALA LETTER ALPAPRAANA TAYANNA
0DAE	sinh:tha	SINHALA LETTER MAHAAPRAANA TAYANNA
0DAF	sinh:da	SINHALA LETTER ALPAPRAANA DAYANNA
0DB0	sinh:dha	SINHALA LETTER MAHAAPRAANA DAYANNA
0DB1	sinh:na	SINHALA LETTER DANTAJA NAYANNA
0DB3	sinh:nda	SINHALA LETTER SANYAKA DAYANNA
0DB4	sinh:pa	SINHALA LETTER ALPAPRAANA PAYANNA
0DB5	sinh:pha	SINHALA LETTER MAHAAPRAANA PAYANNA
0DB6	sinh:ba	SINHALA LETTER ALPAPRAANA BAYANNA
0DB7	sinh:bha	SINHALA LETTER MAHAAPRAANA BAYANNA
0DB8	sinh:ma	SINHALA LETTER MAYANNA
0DB9	sinh:mba	SINHALA LETTER AMBA BAYANNA
0DBA	sinh:ya	SINHALA LETTER YAYANNA
0DBB	sinh:ra	SINHALA LETTER RAYANNA
0DBD	sinh:la	SINHALA LETTER DANTAJA LAYANNA
0DC0	sinh:va	SINHALA LETTER VAYANNA
0DC1	sinh:sha	SINHALA LETTER TAALUJA SAYANNA
0DC2	sinh:ssa	SINHALA LETTER MUURDHAJA SAYANNA
0DC3	sinh:sa	SINHALA LETTER DANTAJA SAYANNA
0DC4	sinh:ha	SINHALA LETTER HAYANNA
0DC5	sinh:lla	SINHALA LETTER MUURDHAJA LAYANNA
0DC6	sinh:fa	SINHALA LETTER FAYANNA
0DCA	sinh:virama	SINHALA SIGN AL-LAKUNA
0DCF	sinh:aasign	SINHALA VOWEL SIGN AELA-PILLA
0DD0	sinh:aesign	SINHALA VOWEL SIGN KETTI AEDA-PILLA
0DD1	sinh:aaesign	SINHALA VOWEL SIGN DIGA AEDA-PILLA
0DD2	sinh:isign	SINHALA VOWEL SIGN KETTI IS-PILLA
0DD3	sinh:iisign	SINHALA VOWEL SIGN DIGA IS-PILLA
0DD4	sinh:usign	SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6	sinh:uusign	SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD8	sinh:vocalicrsign	SINHALA VOWEL SIGN GAETTA-PILLA
0DD9	sinh:esign	SINHALA VOWEL SIGN KOMBUVA
0DDA	sinh:eesign	SINHALA VOWEL SIGN DIGA KOMBUVA
0DDB	sinh:aisign	SINHALA VOWEL SIGN KOMBU DEKA
0DDC	sinh:osign	SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA
0DDD	sinh:oosign	SINHALA VOWEL SIGN KOMBUVA HAA DIGA AELA-PILLA
0DDE	sinh:ausign	SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
0DDF	sinh:vocaliclsign	SINHALA VOWEL SIGN GAYANUKITTA
0DE6	sinh:zerolith	SINHALA LITH DIGIT ZERO
0DE7	sinh:onelith	SINHALA LITH DIGIT ONE
0DE8	sinh:twolith	SINHALA LITH DIGIT TWO
0DE9	sinh:threelith	SINHALA LITH DIGIT THREE
0DEA	sinh:fourlith	SINHALA LITH DIGIT FOUR
0DEB	sinh:fivelith	SINHALA LITH DIGIT FIVE
0DEC	sinh:sixlith	SINHALA LITH DIGIT SIX
0DED	sinh:sevenlith	SINHALA LITH DIGIT SEVEN
0DEE	sinh:eightlith	SINHALA LITH DIGIT EIGHT
0DEF	sinh:ninelith	SINHALA LITH DIGIT NINE
0DF2	sinh:vocalicrrsign	SINHALA VOWEL SIGN DIGA GAETTA-PILLA
0DF3	sinh:vocalicllsign	SINHALA VOWEL SIGN DIGA GAYANUKITTA
0DF4	sinh:kunddaliya	SINHALA PUNCTUATION KUNDDALIYA
