# Thai 00E00 - 00E7F
0E01	thai:kokai	THAI CHARACTER KO KAI
0E02	thai:khokhai	THAI CHARACTER KHO KHAI
0E03	thai:khokhuat	THAI CHARACTER KHO KHUAT
0E04	thai:khokhwai	THAI CHARACTER KHO KHWAI
0E05	thai:khokhon	THAI CHARACTER KHO KHON
0E06	thai:khorakhang	THAI CHARACTER KHO RAKHANG
0E07	thai:ngongu	THAI CHARACTER NGO NGU
0E08	thai:chochan	THAI CHARACTER CHO CHAN
0E09	thai:choching	THAI CHARACTER CHO CHING
0E0A	thai:chochang	THAI CHARACTER CHO CHANG
0E0B	thai:soso	THAI CHARACTER SO SO
0E0C	thai:chochoe	THAI CHARACTER CHO CHOE
0E0D	thai:yoying	THAI CHARACTER YO YING
0E0E	thai:dochada	THAI CHARACTER DO CHADA
0E0F	thai:topatak	THAI CHARACTER TO PATAK
0E10	thai:thothan	THAI CHARACTER THO THAN
0E11	thai:thonangmontho	THAI CHARACTER THO NANGMONTHO
0E12	thai:thophuthao	THAI CHARACTER THO PHUTHAO
0E13	thai:nonen	THAI CHARACTER NO NEN
0E14	thai:dodek	THAI CHARACTER DO DEK
0E15	thai:totao	THAI CHARACTER TO TAO
0E16	thai:thothung	THAI CHARACTER THO THUNG
0E17	thai:thothahan	THAI CHARACTER THO THAHAN
0E18	thai:thothong	THAI CHARACTER THO THONG
0E19	thai:nonu	THAI CHARACTER NO NU
0E1A	thai:bobaimai	THAI CHARACTER BO BAIMAI
0E1B	thai:popla	THAI CHARACTER PO PLA
0E1C	thai:phophung	THAI CHARACTER PHO PHUNG
0E1D	thai:fofa	THAI CHARACTER FO FA
0E1E	thai:phophan	THAI CHARACTER PHO PHAN
0E1F	thai:fofan	THAI CHARACTER FO FAN
0E20	thai:phosamphao	THAI CHARACTER PHO SAMPHAO
0E21	thai:moma	THAI CHARACTER MO MA
0E22	thai:yoyak	THAI CHARACTER YO YAK
0E23	thai:rorua	THAI CHARACTER RO RUA
0E24	thai:ru	THAI CHARACTER RU
0E25	thai:loling	THAI CHARACTER LO LING
0E26	thai:lu	THAI CHARACTER LU
0E27	thai:wowaen	THAI CHARACTER WO WAEN
0E28	thai:sosala	THAI CHARACTER SO SALA
0E29	thai:sorusi	THAI CHARACTER SO RUSI
0E2A	thai:sosua	THAI CHARACTER SO SUA
0E2B	thai:hohip	THAI CHARACTER HO HIP
0E2C	thai:lochula	THAI CHARACTER LO CHULA
0E2D	thai:oang	THAI CHARACTER O ANG
0E2E	thai:honokhuk	THAI CHARACTER HO NOKHUK
0E2F	thai:paiyannoi	THAI CHARACTER PAIYANNOI
0E30	thai:saraa	THAI CHARACTER SARA A
0E31	thai:maihan-akat	THAI CHARACTER MAI HAN-AKAT
0E32	thai:saraaa	THAI CHARACTER SARA AA
0E33	thai:saraam	THAI CHARACTER SARA AM
0E34	thai:sarai	THAI CHARACTER SARA I
0E35	thai:saraii	THAI CHARACTER SARA II
0E36	thai:saraue	THAI CHARACTER SARA UE
0E37	thai:sarauee	THAI CHARACTER SARA UEE
0E38	thai:sarau	THAI CHARACTER SARA U
0E39	thai:sarauu	THAI CHARACTER SARA UU
0E3A	thai:phinthu	THAI CHARACTER PHINTHU
0E3F	thai:baht	THAI CURRENCY SYMBOL BAHT
0E40	thai:sarae	THAI CHARACTER SARA E
0E41	thai:saraae	THAI CHARACTER SARA AE
0E42	thai:sarao	THAI CHARACTER SARA O
0E43	thai:saraaimaimuan	THAI CHARACTER SARA AI MAIMUAN
0E44	thai:saraaimaimalai	THAI CHARACTER SARA AI MAIMALAI
0E45	thai:lakkhangyao	THAI CHARACTER LAKKHANGYAO
0E46	thai:maiyamok	THAI CHARACTER MAIYAMOK
0E47	thai:maitaikhu	THAI CHARACTER MAITAIKHU
0E48	thai:maiek	THAI CHARACTER MAI EK
0E49	thai:maitho	THAI CHARACTER MAI THO
0E4A	thai:maitri	THAI CHARACTER MAI TRI
0E4B	thai:maichattawa	THAI CHARACTER MAI CHATTAWA
0E4C	thai:thanthakhat	THAI CHARACTER THANTHAKHAT
0E4D	thai:nikhahit	THAI CHARACTER NIKHAHIT
0E4E	thai:yamakkan	THAI CHARACTER YAMAKKAN
0E4F	thai:fongman	THAI CHARACTER FONGMAN
0E50	thai:zero	THAI DIGIT ZERO
0E51	thai:one	THAI DIGIT ONE
0E52	thai:two	THAI DIGIT TWO
0E53	thai:three	THAI DIGIT THREE
0E54	thai:four	THAI DIGIT FOUR
0E55	thai:five	THAI DIGIT FIVE
0E56	thai:six	THAI DIGIT SIX
0E57	thai:seven	THAI DIGIT SEVEN
0E58	thai:eight	THAI DIGIT EIGHT
0E59	thai:nine	THAI DIGIT NINE
0E5A	thai:angkhankhu	THAI CHARACTER ANGKHANKHU
0E5B	thai:khomut	THAI CHARACTER KHOMUT
