# Tibetan 00F00 - 00FFF
0F00	tibt:omsyllable	TIBETAN SYLLABLE OM
0F01	tibt:gteryigmgotruncatedamark	TIBETAN MARK GTER YIG MGO TRUNCATED A
0F02	tibt:gteryigmgoumrnambcadmamark	TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA
0F03	tibt:gteryigmgoumgtertshegmamark	TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA
0F04	tibt:yigmgomdunmainitialmark	TIBETAN MARK INITIAL YIG MGO MDUN MA
0F05	tibt:yigmgosgabmaclosingmark	TIBETAN MARK CLOSING YIG MGO SGAB MA
0F06	tibt:caretyigmgophurshadmamark	TIBETAN MARK CARET YIG MGO PHUR SHAD MA
0F07	tibt:yigmgotshegshadmamark	TIBETAN MARK YIG MGO TSHEG SHAD MA
0F08	tibt:sbrulshadmark	TIBETAN MARK SBRUL SHAD
0F09	tibt:bskuryigmgomark	TIBETAN MARK BSKUR YIG MGO
0F0A	tibt:bkashogyigmgomark	TIBETAN MARK BKA- SHOG YIG MGO
0F0B	tibt:intersyllabictshegmark	TIBETAN MARK INTERSYLLABIC TSHEG
0F0C	tibt:delimitertshegbstarmark	TIBETAN MARK DELIMITER TSHEG BSTAR
0F0D	tibt:shadmark	TIBETAN MARK SHAD
0F0E	tibt:nyisshadmark	TIBETAN MARK NYIS SHAD
0F0F	tibt:tshegshadmark	TIBETAN MARK TSHEG SHAD
0F10	tibt:nyistshegshadmark	TIBETAN MARK NYIS TSHEG SHAD
0F11	tibt:rinchenspungsshadmark	TIBETAN MARK RIN CHEN SPUNGS SHAD
0F12	tibt:rgyagramshadmark	TIBETAN MARK RGYA GRAM SHAD
0F13	tibt:caretdzudrtagsmelongcanmark	TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN
0F14	tibt:gtertshegmark	TIBETAN MARK GTER TSHEG
0F15	tibt:chadrtagslogotypesign	TIBETAN LOGOTYPE SIGN CHAD RTAGS
0F16	tibt:lhagrtagslogotypesign	TIBETAN LOGOTYPE SIGN LHAG RTAGS
0F17	tibt:astrologicalsgragcancharrtagssign	TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS
0F18	tibt:astrologicalkhyudpasign	TIBETAN ASTROLOGICAL SIGN -KHYUD PA
0F19	tibt:astrologicalsdongtshugssign	TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS
0F1A	tibt:rdeldkargcigsign	TIBETAN SIGN RDEL DKAR GCIG
0F1B	tibt:rdeldkargnyissign	TIBETAN SIGN RDEL DKAR GNYIS
0F1C	tibt:rdeldkargsumsign	TIBETAN SIGN RDEL DKAR GSUM
0F1D	tibt:rdelnaggcigsign	TIBETAN SIGN RDEL NAG GCIG
0F1E	tibt:rdelnaggnyissign	TIBETAN SIGN RDEL NAG GNYIS
0F1F	tibt:rdeldkarrdelnagsign	TIBETAN SIGN RDEL DKAR RDEL NAG
0F20	tibt:zero	TIBETAN DIGIT ZERO
0F21	tibt:one	TIBETAN DIGIT ONE
0F22	tibt:two	TIBETAN DIGIT TWO
0F23	tibt:three	TIBETAN DIGIT THREE
0F24	tibt:four	TIBETAN DIGIT FOUR
0F25	tibt:five	TIBETAN DIGIT FIVE
0F26	tibt:six	TIBETAN DIGIT SIX
0F27	tibt:seven	TIBETAN DIGIT SEVEN
0F28	tibt:eight	TIBETAN DIGIT EIGHT
0F29	tibt:nine	TIBETAN DIGIT NINE
0F2A	tibt:halfone	TIBETAN DIGIT HALF ONE
0F2B	tibt:halftwo	TIBETAN DIGIT HALF TWO
0F2C	tibt:halfthree	TIBETAN DIGIT HALF THREE
0F2D	tibt:halffour	TIBETAN DIGIT HALF FOUR
0F2E	tibt:halffive	TIBETAN DIGIT HALF FIVE
0F2F	tibt:halfsix	TIBETAN DIGIT HALF SIX
0F30	tibt:halfseven	TIBETAN DIGIT HALF SEVEN
0F31	tibt:halfeight	TIBETAN DIGIT HALF EIGHT
0F32	tibt:halfnine	TIBETAN DIGIT HALF NINE
0F33	tibt:halfzero	TIBETAN DIGIT HALF ZERO
0F34	tibt:bsdusrtagsmark	TIBETAN MARK BSDUS RTAGS
0F35	tibt:ngasbzungnyizlamark	TIBETAN MARK NGAS BZUNG NYI ZLA
0F36	tibt:caretdzudrtagsbzhimigcanmark	TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
0F37	tibt:ngasbzungsgorrtagsmark	TIBETAN MARK NGAS BZUNG SGOR RTAGS
0F38	tibt:chemgomark	TIBETAN MARK CHE MGO
0F39	tibt:tsaphrumark	TIBETAN MARK TSA -PHRU
0F3A	tibt:gugrtagsgyonmark	TIBETAN MARK GUG RTAGS GYON
0F3B	tibt:gugrtagsgyasmark	TIBETAN MARK GUG RTAGS GYAS
0F3C	tibt:angkhanggyonmark	TIBETAN MARK ANG KHANG GYON
0F3D	tibt:angkhanggyasmark	TIBETAN MARK ANG KHANG GYAS
0F3E	tibt:yartshessign	TIBETAN SIGN YAR TSHES
0F3F	tibt:martshessign	TIBETAN SIGN MAR TSHES
0F40	tibt:ka	TIBETAN LETTER KA
0F41	tibt:kha	TIBETAN LETTER KHA
0F42	tibt:ga	TIBETAN LETTER GA
0F43	tibt:gha	TIBETAN LETTER GHA
0F44	tibt:nga	TIBETAN LETTER NGA
0F45	tibt:ca	TIBETAN LETTER CA
0F46	tibt:cha	TIBETAN LETTER CHA
0F47	tibt:ja	TIBETAN LETTER JA
0F49	tibt:nya	TIBETAN LETTER NYA
0F4A	tibt:tta	TIBETAN LETTER TTA
0F4B	tibt:ttha	TIBETAN LETTER TTHA
0F4C	tibt:dda	TIBETAN LETTER DDA
0F4D	tibt:ddha	TIBETAN LETTER DDHA
0F4E	tibt:nna	TIBETAN LETTER NNA
0F4F	tibt:ta	TIBETAN LETTER TA
0F50	tibt:tha	TIBETAN LETTER THA
0F51	tibt:da	TIBETAN LETTER DA
0F52	tibt:dha	TIBETAN LETTER DHA
0F53	tibt:na	TIBETAN LETTER NA
0F54	tibt:pa	TIBETAN LETTER PA
0F55	tibt:pha	TIBETAN LETTER PHA
0F56	tibt:ba	TIBETAN LETTER BA
0F57	tibt:bha	TIBETAN LETTER BHA
0F58	tibt:ma	TIBETAN LETTER MA
0F59	tibt:tsa	TIBETAN LETTER TSA
0F5A	tibt:tsha	TIBETAN LETTER TSHA
0F5B	tibt:dza	TIBETAN LETTER DZA
0F5C	tibt:dzha	TIBETAN LETTER DZHA
0F5D	tibt:wa	TIBETAN LETTER WA
0F5E	tibt:zha	TIBETAN LETTER ZHA
0F5F	tibt:za	TIBETAN LETTER ZA
0F60	tibt:AA	TIBETAN LETTER -A
0F61	tibt:ya	TIBETAN LETTER YA
0F62	tibt:ra	TIBETAN LETTER RA
0F63	tibt:la	TIBETAN LETTER LA
0F64	tibt:sha	TIBETAN LETTER SHA
0F65	tibt:ssa	TIBETAN LETTER SSA
0F66	tibt:sa	TIBETAN LETTER SA
0F67	tibt:ha	TIBETAN LETTER HA
0F68	tibt:a	TIBETAN LETTER A
0F69	tibt:kssa	TIBETAN LETTER KSSA
0F6A	tibt:rafixed	TIBETAN LETTER FIXED-FORM RA
0F6B	tibt:kka	TIBETAN LETTER KKA
0F6C	tibt:rra	TIBETAN LETTER RRA
0F71	tibt:aavowelsign	TIBETAN VOWEL SIGN AA
0F72	tibt:ivowelsign	TIBETAN VOWEL SIGN I
0F73	tibt:iivowelsign	TIBETAN VOWEL SIGN II
