# Georgian 010A0 - 010FF
10A0	AnGeok	GEORGIAN CAPITAL LETTER AN
10A1	BanGeok	GEORGIAN CAPITAL LETTER BAN
10A2	GanGeok	GEORGIAN CAPITAL LETTER GAN
10A3	DonGeok	GEORGIAN CAPITAL LETTER DON
10A4	EnGeok	GEORGIAN CAPITAL LETTER EN
10A5	VinGeok	GEORGIAN CAPITAL LETTER VIN
10A6	ZenGeok	GEORGIAN CAPITAL LETTER ZEN
10A7	TanGeok	GEORGIAN CAPITAL LETTER TAN
10A8	InGeok	GEORGIAN CAPITAL LETTER IN
10A9	KanGeok	GEORGIAN CAPITAL LETTER KAN
10AA	LasGeok	GEORGIAN CAPITAL LETTER LAS
10AB	ManGeok	GEORGIAN CAPITAL LETTER MAN
10AC	NarGeok	GEORGIAN CAPITAL LETTER NAR
10AD	OnGeok	GEORGIAN CAPITAL LETTER ON
10AE	ParGeok	GEORGIAN CAPITAL LETTER PAR
10AF	ZharGeok	GEORGIAN CAPITAL LETTER ZHAR
10B0	RaeGeok	GEORGIAN CAPITAL LETTER RAE
10B1	SanGeok	GEORGIAN CAPITAL LETTER SAN
10B2	TarGeok	GEORGIAN CAPITAL LETTER TAR
10B3	UnGeok	GEORGIAN CAPITAL LETTER UN
10B4	PharGeok	GEORGIAN CAPITAL LETTER PHAR
10B5	KharGeok	GEORGIAN CAPITAL LETTER KHAR
10B6	GhanGeok	GEORGIAN CAPITAL LETTER GHAN
10B7	QarGeok	GEORGIAN CAPITAL LETTER QAR
10B8	ShinGeok	GEORGIAN CAPITAL LETTER SHIN
10B9	ChinGeok	GEORGIAN CAPITAL LETTER CHIN
10BA	CanGeok	GEORGIAN CAPITAL LETTER CAN
10BB	JilGeok	GEORGIAN CAPITAL LETTER JIL
10BC	CilGeok	GEORGIAN CAPITAL LETTER CIL
10BD	CharGeok	GEORGIAN CAPITAL LETTER CHAR
10BE	XanGeok	GEORGIAN CAPITAL LETTER XAN
10BF	JhanGeok	GEORGIAN CAPITAL LETTER JHAN
10C0	HaeGeok	GEORGIAN CAPITAL LETTER HAE
10C1	HeGeok	GEORGIAN CAPITAL LETTER HE
10C2	HieGeok	GEORGIAN CAPITAL LETTER HIE
10C3	WeGeok	GEORGIAN CAPITAL LETTER WE
10C4	HarGeok	GEORGIAN CAPITAL LETTER HAR
10C5	HoeGeok	GEORGIAN CAPITAL LETTER HOE
10C7	YnGeok	GEORGIAN CAPITAL LETTER YN
10CD	AenGeok	GEORGIAN CAPITAL LETTER AEN
10D0	anGeor	GEORGIAN LETTER AN
10D1	banGeor	GEORGIAN LETTER BAN
10D2	ganGeor	GEORGIAN LETTER GAN
10D3	donGeor	GEORGIAN LETTER DON
10D4	enGeor	GEORGIAN LETTER EN
10D5	vinGeor	GEORGIAN LETTER VIN
10D6	zenGeor	GEORGIAN LETTER ZEN
10D7	tanGeor	GEORGIAN LETTER TAN
10D8	inGeor	GEORGIAN LETTER IN
10D9	kanGeor	GEORGIAN LETTER KAN
10DA	lasGeor	GEORGIAN LETTER LAS
10DB	manGeor	GEORGIAN LETTER MAN
10DC	narGeor	GEORGIAN LETTER NAR
10DD	onGeor	GEORGIAN LETTER ON
10DE	parGeor	GEORGIAN LETTER PAR
10DF	zharGeor	GEORGIAN LETTER ZHAR
10E0	raeGeor	GEORGIAN LETTER RAE
10E1	sanGeor	GEORGIAN LETTER SAN
10E2	tarGeor	GEORGIAN LETTER TAR
10E3	unGeor	GEORGIAN LETTER UN
10E4	pharGeor	GEORGIAN LETTER PHAR
10E5	kharGeor	GEORGIAN LETTER KHAR
10E6	ghanGeor	GEORGIAN LETTER GHAN
10E7	qarGeor	GEORGIAN LETTER QAR
10E8	shinGeor	GEORGIAN LETTER SHIN
10E9	chinGeor	GEORGIAN LETTER CHIN
10EA	canGeor	GEORGIAN LETTER CAN
10EB	jilGeor	GEORGIAN LETTER JIL
10EC	cilGeor	GEORGIAN LETTER CIL
10ED	charGeor	GEORGIAN LETTER CHAR
10EE	xanGeor	GEORGIAN LETTER XAN
10EF	jhanGeor	GEORGIAN LETTER JHAN
10F0	haeGeor	GEORGIAN LETTER HAE
10F1	heGeor	GEORGIAN LETTER HE
10F2	hieGeor	GEORGIAN LETTER HIE
10F3	weGeor	GEORGIAN LETTER WE
10F4	harGeor	GEORGIAN LETTER HAR
10F5	hoeGeor	GEORGIAN LETTER HOE
10F6	fiGeor	GEORGIAN LETTER FI
10F7	ynGeor	GEORGIAN LETTER YN
10F8	elifiGeor	GEORGIAN LETTER ELIFI
10F9	turnedganGeor	GEORGIAN LETTER TURNED GAN
10FA	ainGeor	GEORGIAN LETTER AIN
10FB	geor:paragraphseparator	GEORGIAN PARAGRAPH SEPARATOR
10FC	narmodGeor	MODIFIER LETTER GEORGIAN NAR
10FD	aenGeor	GEORGIAN LETTER AEN
10FE	hardsignGeor	GEORGIAN LETTER HARD SIGN
10FF	labialsignGeor	GEORGIAN LETTER LABIAL SIGN
