# Hangul Jamo 01100 - 011FF
1100	ko:kiyeokchoseong	HANGUL CHOSEONG KIYEOK
1101	ko:ssangkiyeokchoseong	HANGUL CHOSEONG SSANGKIYEOK
1102	ko:nieunchoseong	HANGUL CHOSEONG NIEUN
1103	ko:tikeutchoseong	HANGUL CHOSEONG TIKEUT
1104	ko:ssangtikeutchoseong	HANGUL CHOSEONG SSANGTIKEUT
1105	ko:rieulchoseong	HANGUL CHOSEONG RIEUL
1106	ko:mieumchoseong	HANGUL CHOSEONG MIEUM
1107	ko:pieupchoseong	HANGUL CHOSEONG PIEUP
1108	ko:ssangpieupchoseong	HANGUL CHOSEONG SSANGPIEUP
1109	ko:sioschoseong	HANGUL CHOSEONG SIOS
110A	ko:ssangsioschoseong	HANGUL CHOSEONG SSANGSIOS
110B	ko:ieungchoseong	HANGUL CHOSEONG IEUNG
110C	ko:cieucchoseong	HANGUL CHOSEONG CIEUC
110D	ko:ssangcieucchoseong	HANGUL CHOSEONG SSANGCIEUC
110E	ko:chieuchchoseong	HANGUL CHOSEONG CHIEUCH
110F	ko:khieukhchoseong	HANGUL CHOSEONG KHIEUKH
1110	ko:thieuthchoseong	HANGUL CHOSEONG THIEUTH
1111	ko:phieuphchoseong	HANGUL CHOSEONG PHIEUPH
1112	ko:hieuhchoseong	HANGUL CHOSEONG HIEUH
1113	ko:nieunkiyeokchoseong	HANGUL CHOSEONG NIEUN-KIYEOK
1114	ko:ssangnieunchoseong	HANGUL CHOSEONG SSANGNIEUN
1115	ko:nieuntikeutchoseong	HANGUL CHOSEONG NIEUN-TIKEUT
1116	ko:nieunpieupchoseong	HANGUL CHOSEONG NIEUN-PIEUP
1117	ko:tikeutkiyeokchoseong	HANGUL CHOSEONG TIKEUT-KIYEOK
1118	ko:rieulnieunchoseong	HANGUL CHOSEONG RIEUL-NIEUN
1119	ko:ssangrieulchoseong	HANGUL CHOSEONG SSANGRIEUL
111A	ko:rieulhieuhchoseong	HANGUL CHOSEONG RIEUL-HIEUH
111B	ko:kapyeounrieulchoseong	HANGUL CHOSEONG KAPYEOUNRIEUL
111C	ko:mieumpieupchoseong	HANGUL CHOSEONG MIEUM-PIEUP
111D	ko:kapyeounmieumchoseong	HANGUL CHOSEONG KAPYEOUNMIEUM
111E	ko:pieupkiyeokchoseong	HANGUL CHOSEONG PIEUP-KIYEOK
111F	ko:pieupnieunchoseong	HANGUL CHOSEONG PIEUP-NIEUN
