# Ethiopic 01200 - 0137F
1200	ethi:ha	ETHIOPIC SYLLABLE HA
1201	ethi:hu	ETHIOPIC SYLLABLE HU
1202	ethi:hi	ETHIOPIC SYLLABLE HI
1203	ethi:haa	ETHIOPIC SYLLABLE HAA
1204	ethi:hee	ETHIOPIC SYLLABLE HEE
1205	ethi:he	ETHIOPIC SYLLABLE HE
1206	ethi:ho	ETHIOPIC SYLLABLE HO
1207	ethi:hoa	ETHIOPIC SYLLABLE HOA
1208	ethi:la	ETHIOPIC SYLLABLE LA
1209	ethi:lu	ETHIOPIC SYLLABLE LU
120A	ethi:li	ETHIOPIC SYLLABLE LI
120B	ethi:laa	ETHIOPIC SYLLABLE LAA
120C	ethi:lee	ETHIOPIC SYLLABLE LEE
120D	ethi:le	ETHIOPIC SYLLABLE LE
120E	ethi:lo	ETHIOPIC SYLLABLE LO
120F	ethi:lwa	ETHIOPIC SYLLABLE LWA
1210	ethi:hha	ETHIOPIC SYLLABLE HHA
1211	ethi:hhu	ETHIOPIC SYLLABLE HHU
1212	ethi:hhi	ETHIOPIC SYLLABLE HHI
1213	ethi:hhaa	ETHIOPIC SYLLABLE HHAA
1214	ethi:hhee	ETHIOPIC SYLLABLE HHEE
1215	ethi:hhe	ETHIOPIC SYLLABLE HHE
1216	ethi:hho	ETHIOPIC SYLLABLE HHO
1217	ethi:hhwa	ETHIOPIC SYLLABLE HHWA
1218	ethi:ma	ETHIOPIC SYLLABLE MA
1219	ethi:mu	ETHIOPIC SYLLABLE MU
121A	ethi:mi	ETHIOPIC SYLLABLE MI
121B	ethi:maa	ETHIOPIC SYLLABLE MAA
121C	ethi:mee	ETHIOPIC SYLLABLE MEE
121D	ethi:me	ETHIOPIC SYLLABLE ME
121E	ethi:mo	ETHIOPIC SYLLABLE MO
121F	ethi:mwa	ETHIOPIC SYLLABLE MWA
1220	ethi:sza	ETHIOPIC SYLLABLE SZA
1221	ethi:szu	ETHIOPIC SYLLABLE SZU
1222	ethi:szi	ETHIOPIC SYLLABLE SZI
1223	ethi:szaa	ETHIOPIC SYLLABLE SZAA
1224	ethi:szee	ETHIOPIC SYLLABLE SZEE
1225	ethi:sze	ETHIOPIC SYLLABLE SZE
1226	ethi:szo	ETHIOPIC SYLLABLE SZO
1227	ethi:szwa	ETHIOPIC SYLLABLE SZWA
1228	ethi:ra	ETHIOPIC SYLLABLE RA
1229	ethi:ru	ETHIOPIC SYLLABLE RU
122A	ethi:ri	ETHIOPIC SYLLABLE RI
122B	ethi:raa	ETHIOPIC SYLLABLE RAA
122C	ethi:ree	ETHIOPIC SYLLABLE REE
122D	ethi:re	ETHIOPIC SYLLABLE RE
122E	ethi:ro	ETHIOPIC SYLLABLE RO
122F	ethi:rwa	ETHIOPIC SYLLABLE RWA
1230	ethi:sa	ETHIOPIC SYLLABLE SA
1231	ethi:su	ETHIOPIC SYLLABLE SU
1232	ethi:si	ETHIOPIC SYLLABLE SI
1233	ethi:saa	ETHIOPIC SYLLABLE SAA
1234	ethi:see	ETHIOPIC SYLLABLE SEE
1235	ethi:se	ETHIOPIC SYLLABLE SE
1236	ethi:so	ETHIOPIC SYLLABLE SO
1237	ethi:swa	ETHIOPIC SYLLABLE SWA
1238	ethi:sha	ETHIOPIC SYLLABLE SHA
1239	ethi:shu	ETHIOPIC SYLLABLE SHU
123A	ethi:shi	ETHIOPIC SYLLABLE SHI
123B	ethi:shaa	ETHIOPIC SYLLABLE SHAA
123C	ethi:shee	ETHIOPIC SYLLABLE SHEE
123D	ethi:she	ETHIOPIC SYLLABLE SHE
123E	ethi:sho	ETHIOPIC SYLLABLE SHO
123F	ethi:shwa	ETHIOPIC SYLLABLE SHWA
1240	ethi:qa	ETHIOPIC SYLLABLE QA
1241	ethi:qu	ETHIOPIC SYLLABLE QU
1242	ethi:qi	ETHIOPIC SYLLABLE QI
1243	ethi:qaa	ETHIOPIC SYLLABLE QAA
1244	ethi:qee	ETHIOPIC SYLLABLE QEE
1245	ethi:qe	ETHIOPIC SYLLABLE QE
1246	ethi:qo	ETHIOPIC SYLLABLE QO
1247	ethi:qoa	ETHIOPIC SYLLABLE QOA
1248	ethi:qwa	ETHIOPIC SYLLABLE QWA
124A	ethi:qwi	ETHIOPIC SYLLABLE QWI
124B	ethi:qwaa	ETHIOPIC SYLLABLE QWAA
124C	ethi:qwee	ETHIOPIC SYLLABLE QWEE
124D	ethi:qwe	ETHIOPIC SYLLABLE QWE
1250	ethi:qha	ETHIOPIC SYLLABLE QHA
1251	ethi:qhu	ETHIOPIC SYLLABLE QHU
1252	ethi:qhi	ETHIOPIC SYLLABLE QHI
1253	ethi:qhaa	ETHIOPIC SYLLABLE QHAA
1254	ethi:qhee	ETHIOPIC SYLLABLE QHEE
1255	ethi:qhe	ETHIOPIC SYLLABLE QHE
