# Cherokee 013A0 - 013FF
13A0	cher:a	CHEROKEE LETTER A
13A1	cher:e	CHEROKEE LETTER E
13A2	cher:i	CHEROKEE LETTER I
13A3	cher:o	CHEROKEE LETTER O
13A4	cher:u	CHEROKEE LETTER U
13A5	cher:v	CHEROKEE LETTER V
13A6	cher:ga	CHEROKEE LETTER GA
13A7	cher:ka	CHEROKEE LETTER KA
13A8	cher:ge	CHEROKEE LETTER GE
13A9	cher:gi	CHEROKEE LETTER GI
13AA	cher:go	CHEROKEE LETTER GO
13AB	cher:gu	CHEROKEE LETTER GU
13AC	cher:gv	CHEROKEE LETTER GV
13AD	cher:ha	CHEROKEE LETTER HA
13AE	cher:he	CHEROKEE LETTER HE
13AF	cher:hi	CHEROKEE LETTER HI
13B0	cher:ho	CHEROKEE LETTER HO
13B1	cher:hu	CHEROKEE LETTER HU
13B2	cher:hv	CHEROKEE LETTER HV
13B3	cher:la	CHEROKEE LETTER LA
13B4	cher:le	CHEROKEE LETTER LE
13B5	cher:li	CHEROKEE LETTER LI
13B6	cher:lo	CHEROKEE LETTER LO
13B7	cher:lu	CHEROKEE LETTER LU
13B8	cher:lv	CHEROKEE LETTER LV
13B9	cher:ma	CHEROKEE LETTER MA
13BA	cher:me	CHEROKEE LETTER ME
13BB	cher:mi	CHEROKEE LETTER MI
13BC	cher:mo	CHEROKEE LETTER MO
13BD	cher:mu	CHEROKEE LETTER MU
13BE	cher:na	CHEROKEE LETTER NA
13BF	cher:hna	CHEROKEE LETTER HNA
13C0	cher:nah	CHEROKEE LETTER NAH
13C1	cher:ne	CHEROKEE LETTER NE
13C2	cher:ni	CHEROKEE LETTER NI
13C3	cher:no	CHEROKEE LETTER NO
13C4	cher:nu	CHEROKEE LETTER NU
13C5	cher:nv	CHEROKEE LETTER NV
13C6	cher:qua	CHEROKEE LETTER QUA
13C7	cher:que	CHEROKEE LETTER QUE
13C8	cher:qui	CHEROKEE LETTER QUI
13C9	cher:quo	CHEROKEE LETTER QUO
13CA	cher:quu	CHEROKEE LETTER QUU
13CB	cher:quv	CHEROKEE LETTER QUV
13CC	cher:sa	CHEROKEE LETTER SA
13CD	cher:s	CHEROKEE LETTER S
13CE	cher:se	CHEROKEE LETTER SE
13CF	cher:si	CHEROKEE LETTER SI
13D0	cher:so	CHEROKEE LETTER SO
13D1	cher:su	CHEROKEE LETTER SU
13D2	cher:sv	CHEROKEE LETTER SV
13D3	cher:da	CHEROKEE LETTER DA
13D4	cher:ta	CHEROKEE LETTER TA
13D5	cher:de	CHEROKEE LETTER DE
13D6	cher:te	CHEROKEE LETTER TE
13D7	cher:di	CHEROKEE LETTER DI
13D8	cher:ti	CHEROKEE LETTER TI
13D9	cher:do	CHEROKEE LETTER DO
13DA	cher:du	CHEROKEE LETTER DU
13DB	cher:dv	CHEROKEE LETTER DV
13DC	cher:dla	CHEROKEE LETTER DLA
13DD	cher:tla	CHEROKEE LETTER TLA
13DE	cher:tle	CHEROKEE LETTER TLE
13DF	cher:tli	CHEROKEE LETTER TLI
13E0	cher:tlo	CHEROKEE LETTER TLO
13E1	cher:tlu	CHEROKEE LETTER TLU
13E2	cher:tlv	CHEROKEE LETTER TLV
13E3	cher:tsa	CHEROKEE LETTER TSA
13E4	cher:tse	CHEROKEE LETTER TSE
13E5	cher:tsi	CHEROKEE LETTER TSI
13E6	cher:tso	CHEROKEE LETTER TSO
13E7	cher:tsu	CHEROKEE LETTER TSU
13E8	cher:tsv	CHEROKEE LETTER TSV
13E9	cher:wa	CHEROKEE LETTER WA
13EA	cher:we	CHEROKEE LETTER WE
13EB	cher:wi	CHEROKEE LETTER WI
13EC	cher:wo	CHEROKEE LETTER WO
13ED	cher:wu	CHEROKEE LETTER WU
13EE	cher:wv	CHEROKEE LETTER WV
13EF	cher:ya	CHEROKEE LETTER YA
13F0	cher:ye	CHEROKEE LETTER YE
13F1	cher:yi	CHEROKEE LETTER YI
13F2	cher:yo	CHEROKEE LETTER YO
13F3	cher:yu	CHEROKEE LETTER YU
13F4	cher:yv	CHEROKEE LETTER YV
13F5	cher:mv	CHEROKEE LETTER MV
13F8	cher:yesmall	CHEROKEE SMALL LETTER YE
13F9	cher:yismall	CHEROKEE SMALL LETTER YI
13FA	cher:yosmall	CHEROKEE SMALL LETTER YO
13FB	cher:yusmall	CHEROKEE SMALL LETTER YU
13FC	cher:yvsmall	CHEROKEE SMALL LETTER YV
13FD	cher:mvsmall	CHEROKEE SMALL LETTER MV
