# Mongolian 01800 - 018AF
1800	mong:birga	MONGOLIAN BIRGA
1801	mong:ellipsis	MONGOLIAN ELLIPSIS
1802	mong:comma	MONGOLIAN COMMA
1803	mong:period	MONGOLIAN FULL STOP
1804	mong:colon	MONGOLIAN COLON
1805	mong:fourdots	MONGOLIAN FOUR DOTS
1806	mong:softhyphentodo	MONGOLIAN TODO SOFT HYPHEN
1807	mong:syllableboundarymarkersibe	MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER
1808	mong:commamanchu	MONGOLIAN MANCHU COMMA
1809	mong:periodmanchu	MONGOLIAN MANCHU FULL STOP
180A	mong:nirugu	MONGOLIAN NIRUGU
180B	mong:freevariationselectorone	MONGOLIAN FREE VARIATION SELECTOR ONE
180C	mong:freevariationselectortwo	MONGOLIAN FREE VARIATION SELECTOR TWO
180D	mong:freevariationselectorthree	MONGOLIAN FREE VARIATION SELECTOR THREE
180E	mong:vowelseparator	MONGOLIAN VOWEL SEPARATOR
1810	mong:zero	MONGOLIAN DIGIT ZERO
1811	mong:one	MONGOLIAN DIGIT ONE
1812	mong:two	MONGOLIAN DIGIT TWO
1813	mong:three	MONGOLIAN DIGIT THREE
1814	mong:four	MONGOLIAN DIGIT FOUR
1815	mong:five	MONGOLIAN DIGIT FIVE
1816	mong:six	MONGOLIAN DIGIT SIX
1817	mong:seven	MONGOLIAN DIGIT SEVEN
1818	mong:eight	MONGOLIAN DIGIT EIGHT
1819	mong:nine	MONGOLIAN DIGIT NINE
1820	mong:a	MONGOLIAN LETTER A
1821	mong:e	MONGOLIAN LETTER E
1822	mong:i	MONGOLIAN LETTER I
1823	mong:o	MONGOLIAN LETTER O
1824	mong:u	MONGOLIAN LETTER U
1825	mong:oe	MONGOLIAN LETTER OE
1826	mong:ue	MONGOLIAN LETTER UE
1827	mong:ee	MONGOLIAN LETTER EE
1828	mong:na	MONGOLIAN LETTER NA
1829	mong:ang	MONGOLIAN LETTER ANG
182A	mong:ba	MONGOLIAN LETTER BA
182B	mong:pa	MONGOLIAN LETTER PA
182C	mong:qa	MONGOLIAN LETTER QA
182D	mong:ga	MONGOLIAN LETTER GA
182E	mong:ma	MONGOLIAN LETTER MA
182F	mong:la	MONGOLIAN LETTER LA
1830	mong:sa	MONGOLIAN LETTER SA
1831	mong:sha	MONGOLIAN LETTER SHA
1832	mong:ta	MONGOLIAN LETTER TA
1833	mong:da	MONGOLIAN LETTER DA
1834	mong:cha	MONGOLIAN LETTER CHA
1835	mong:ja	MONGOLIAN LETTER JA
1836	mong:ya	MONGOLIAN LETTER YA
1837	mong:ra	MONGOLIAN LETTER RA
1838	mong:wa	MONGOLIAN LETTER WA
1839	mong:fa	MONGOLIAN LETTER FA
183A	mong:ka	MONGOLIAN LETTER KA
183B	mong:kha	MONGOLIAN LETTER KHA
183C	mong:tsa	MONGOLIAN LETTER TSA
183D	mong:za	MONGOLIAN LETTER ZA
183E	mong:haa	MONGOLIAN LETTER HAA
183F	mong:zra	MONGOLIAN LETTER ZRA
1840	mong:lha	MONGOLIAN LETTER LHA
1841	mong:zhi	MONGOLIAN LETTER ZHI
1842	mong:chi	MONGOLIAN LETTER CHI
1843	mong:longvowelsigntodo	MONGOLIAN LETTER TODO LONG VOWEL SIGN
1844	mong:etodo	MONGOLIAN LETTER TODO E
1845	mong:itodo	MONGOLIAN LETTER TODO I
1846	mong:otodo	MONGOLIAN LETTER TODO O
1847	mong:utodo	MONGOLIAN LETTER TODO U
1848	mong:oetodo	MONGOLIAN LETTER TODO OE
