# Combining Diacritical Marks Supplement 01DC0 - 01DFF
1DC0	dottedgravecmb	COMBINING DOTTED GRAVE ACCENT
1DC1	dottedacutecmb	COMBINING DOTTED ACUTE ACCENT
1DC2	snakebelowcmb	COMBINING SNAKE BELOW
1DC3	suspensionmarkcmb	COMBINING SUSPENSION MARK
1DC4	macronacutecmb	COMBINING MACRON-ACUTE
1DC5	gravemacroncmb	COMBINING GRAVE-MACRON
1DC6	macrongravecmb	COMBINING MACRON-GRAVE
1DC7	acutemacroncmb	COMBINING ACUTE-MACRON
1DC8	graveacutegravecmb	COMBINING GRAVE-ACUTE-GRAVE
1DC9	acutegraveacutecmb	COMBINING ACUTE-GRAVE-ACUTE
1DCA	rbelowcmb	COMBINING LATIN SMALL LETTER R BELOW
1DCB	brevemacroncmb	COMBINING BREVE-MACRON
1DCC	macronbrevecmb	COMBINING MACRON-BREVE
1DCD	doubleabovecircumflexcmb	COMBINING DOUBLE CIRCUMFLEX ABOVE
1DCE	aboveogonekcmb	COMBINING OGONEK ABOVE
1DCF	zigzagbelowcmb	COMBINING ZIGZAG BELOW
1DD0	isbelowcmb	COMBINING IS BELOW
1DD1	urabovecmb	COMBINING UR ABOVE
1DD2	usabovecmb	COMBINING US ABOVE
1DD3	aaboveflatcmb	COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE
1DD4	aecmb	COMBINING LATIN SMALL LETTER AE
1DD5	aocmb	COMBINING LATIN SMALL LETTER AO
1DD6	avcmb	COMBINING LATIN SMALL LETTER AV
1DD7	ccedillacmb	COMBINING LATIN SMALL LETTER C CEDILLA
1DD8	insulardcmb	COMBINING LATIN SMALL LETTER INSULAR D
1DD9	ethcmb	COMBINING LATIN SMALL LETTER ETH
1DDA	gcmb	COMBINING LATIN SMALL LETTER G
1DDB	gsmallcmb	COMBINING LATIN LETTER SMALL CAPITAL G
1DDC	kcmb	COMBINING LATIN SMALL LETTER K
1DDD	lcmb	COMBINING LATIN SMALL LETTER L
1DDE	lsmallcmb	COMBINING LATIN LETTER SMALL CAPITAL L
1DDF	msmallcmb	COMBINING LATIN LETTER SMALL CAPITAL M
1DE0	ncmb	COMBINING LATIN SMALL LETTER N
1DE1	nsmallcmb	COMBINING LATIN LETTER SMALL CAPITAL N
1DE2	rsmallcmb	COMBINING LATIN LETTER SMALL CAPITAL R
1DE3	rrotundacmb	COMBINING LATIN SMALL LETTER R ROTUNDA
1DE4	scmb	COMBINING LATIN SMALL LETTER S
1DE5	longscmb	COMBINING LATIN SMALL LETTER LONG S
1DE6	zcmb	COMBINING LATIN SMALL LETTER Z
1DE7	alphacmb	COMBINING LATIN SMALL LETTER ALPHA
1DE8	bcmb	COMBINING LATIN SMALL LETTER B
1DE9	betacmb	COMBINING LATIN SMALL LETTER BETA
1DEA	schwacmb	COMBINING LATIN SMALL LETTER SCHWA
1DEB	fcmb	COMBINING LATIN SMALL LETTER F
1DEC	lwithdoublemiddletildecmb	COMBINING LATIN SMALL LETTER L WITH DOUBLE MIDDLE TILDE
1DED	owithlightcentralizationstrokecmb	COMBINING LATIN SMALL LETTER O WITH LIGHT CENTRALIZATION STROKE
1DEE	pcmb	COMBINING LATIN SMALL LETTER P
1DEF	eshcmb	COMBINING LATIN SMALL LETTER ESH
1DF0	uwithlightcentralizationstrokecmb	COMBINING LATIN SMALL LETTER U WITH LIGHT CENTRALIZATION STROKE
1DF1	wcmb	COMBINING LATIN SMALL LETTER W
1DF2	adieresiscmb	COMBINING LATIN SMALL LETTER A WITH DIAERESIS
1DF3	odieresiscmb	COMBINING LATIN SMALL LETTER O WITH DIAERESIS
1DF4	udieresiscmb	COMBINING LATIN SMALL LETTER U WITH DIAERESIS
1DF5	uptackabovecmb	COMBINING UP TACK ABOVE
1DF6	kavykaaboverightcmb	COMBINING KAVYKA ABOVE RIGHT
1DF7	kavykaaboveleftcmb	COMBINING KAVYKA ABOVE LEFT
1DF8	dotaboveleftcmb	COMBINING DOT ABOVE LEFT
1DF9	wideinvertedbridgebelowcmb	COMBINING WIDE INVERTED BRIDGE BELOW
1DFB	deletionmarkcmb	COMBINING DELETION MARK
1DFC	doubleinvertedbelowbrevecmb	COMBINING DOUBLE INVERTED BREVE BELOW
1DFD	almostequaltobelowcmb	COMBINING ALMOST EQUAL TO BELOW
1DFE	leftarrowheadabovecmb	COMBINING LEFT ARROWHEAD ABOVE
1DFF	rightarrowheadanddownarrowheadbelowcmb	COMBINING RIGHT ARROWHEAD AND DOWN ARROWHEAD BELOW
