# Currency Symbols 020A0 - 020CF
20A0	euroarchaic	EURO-CURRENCY SIGN
20A1	colonmonetary	COLON SIGN
20A2	cruzeiro	CRUZEIRO SIGN
20A3	franc	FRENCH FRANC SIGN
20A4	lira	LIRA SIGN
20A5	mill	MILL SIGN
20A6	naira	NAIRA SIGN
20A7	peseta	PESETA SIGN
20A8	rupee	RUPEE SIGN
20A9	won	WON SIGN
20AA	newsheqel	NEW SHEQEL SIGN
20AB	dong	DONG SIGN
20AC	Euro	EURO SIGN
20AD	kip	KIP SIGN
20AE	tugrik	TUGRIK SIGN
20AF	drachma	DRACHMA SIGN
20B0	germanpenny	GERMAN PENNY SIGN
20B1	peso	PESO SIGN
20B2	guarani	GUARANI SIGN
20B3	austral	AUSTRAL SIGN
20B4	hryvnia	HRYVNIA SIGN
20B5	cedi	CEDI SIGN
20B6	livretournois	LIVRE TOURNOIS SIGN
20B7	spesmilo	SPESMILO SIGN
20B8	tenge	TENGE SIGN
20B9	indianrupee	INDIAN RUPEE SIGN
20BA	turkishlira	TURKISH LIRA SIGN
20BB	nordicmark	NORDIC MARK SIGN
20BC	manat	MANAT SIGN
20BD	ruble	RUBLE SIGN
20BE	lari	LARI SIGN
20BF	bitcoin	BITCOIN SIGN
