# Letterlike Symbols 02100 - 0214F
2100	accountof	ACCOUNT OF
2101	addressedsubject	ADDRESSED TO THE SUBJECT
2102	Cdblstruck	DOUBLE-STRUCK CAPITAL C
2103	degreecelsius	DEGREE CELSIUS
2104	centreline	CENTRE LINE SYMBOL
2105	careof	CARE OF
2106	cadauna	CADA UNA
2107	euler	EULER CONSTANT
2108	scruple	SCRUPLE
2109	degreefahrenheit	DEGREE FAHRENHEIT
210A	lttr:gscript	SCRIPT SMALL G
210B	Hscript	SCRIPT CAPITAL H
210C	Hfraktur	BLACK-LETTER CAPITAL H
210D	Hdblstruck	DOUBLE-STRUCK CAPITAL H
210E	planck	PLANCK CONSTANT
210F	plancktwopi	PLANCK CONSTANT OVER TWO PI
2110	Iscript	SCRIPT CAPITAL I
2111	Ifraktur	BLACK-LETTER CAPITAL I
2112	Lscript	SCRIPT CAPITAL L
2113	litre	SCRIPT SMALL L
2114	lbbar	L B BAR SYMBOL
2115	Ndblstruck	DOUBLE-STRUCK CAPITAL N
2116	numero	NUMERO SIGN
2117	soundcopyright	SOUND RECORDING COPYRIGHT
2118	weierstrass	SCRIPT CAPITAL P
2119	Pdblstruck	DOUBLE-STRUCK CAPITAL P
211A	Qdblstruck	DOUBLE-STRUCK CAPITAL Q
211B	Rscript	SCRIPT CAPITAL R
211C	Rfraktur	BLACK-LETTER CAPITAL R
211D	Rdblstruck	DOUBLE-STRUCK CAPITAL R
211E	prescription	PRESCRIPTION TAKE
211F	response	RESPONSE
2120	servicemark	SERVICE MARK
2121	telephone	TELEPHONE SIGN
2122	trademark	TRADE MARK SIGN
2123	versicle	VERSICLE
2124	Zdblstruck	DOUBLE-STRUCK CAPITAL Z
2125	ounce	OUNCE SIGN
2126	ohm	OHM SIGN
2127	ohminverted	INVERTED OHM SIGN
2128	Zfraktur	BLACK-LETTER CAPITAL Z
2129	iotaturned	TURNED GREEK SMALL LETTER IOTA
212A	kelvin	KELVIN SIGN
212B	angstrom	ANGSTROM SIGN
212C	Bscript	SCRIPT CAPITAL B
212D	Cfraktur	BLACK-LETTER CAPITAL C
212E	estimated	ESTIMATED SYMBOL
212F	escript	SCRIPT SMALL E
2130	Escript	SCRIPT CAPITAL E
2131	Fscript	SCRIPT CAPITAL F
2132	Fturned	TURNED CAPITAL F
2133	Mscript	SCRIPT CAPITAL M
2134	oscript	SCRIPT SMALL O
2135	aleph	ALEF SYMBOL
2136	bet	BET SYMBOL
2137	gimel	GIMEL SYMBOL
2138	dalet	DALET SYMBOL
2139	information	INFORMATION SOURCE
213A	Qrotated	ROTATED CAPITAL Q
213B	facsimile	FACSIMILE SIGN
213C	pidblstruck	DOUBLE-STRUCK SMALL PI
213D	gammadblstruck	DOUBLE-STRUCK SMALL GAMMA
213E	Gammadblstruck	DOUBLE-STRUCK CAPITAL GAMMA
213F	Pidblstruck	DOUBLE-STRUCK CAPITAL PI
2140	summationdblstruck	DOUBLE-STRUCK N-ARY SUMMATION
2141	Gturnedsans	TURNED SANS-SERIF CAPITAL G
2142	Lturnedsans	TURNED SANS-SERIF CAPITAL L
2143	Lreversedsans	REVERSED SANS-SERIF CAPITAL L
2144	Yturnedsans	TURNED SANS-SERIF CAPITAL Y
2145	Ddblstruckitalic	DOUBLE-STRUCK ITALIC CAPITAL D
2146	ddblstruckitalic	DOUBLE-STRUCK ITALIC SMALL D
2147	edblstruckitalic	DOUBLE-STRUCK ITALIC SMALL E
2148	idblstruckitalic	DOUBLE-STRUCK ITALIC SMALL I
2149	jdblstruckitalic	DOUBLE-STRUCK ITALIC SMALL J
214A	propertyline	PROPERTY LINE
214B	ampersandturned	TURNED AMPERSAND
214C	per	PER SIGN
214D	aktieselskab	AKTIESELSKAB
214E	fturned	TURNED SMALL F
214F	forsamaritan	SYMBOL FOR SAMARITAN SOURCE
