# Number Forms 02150 - 0218F
2150	oneseventh	VULGAR FRACTION ONE SEVENTH
2151	oneninth	VULGAR FRACTION ONE NINTH
2152	onetenth	VULGAR FRACTION ONE TENTH
2153	onethird	VULGAR FRACTION ONE THIRD
2154	twothirds	VULGAR FRACTION TWO THIRDS
2155	onefifth	VULGAR FRACTION ONE FIFTH
2156	twofifths	VULGAR FRACTION TWO FIFTHS
2157	threefifths	VULGAR FRACTION THREE FIFTHS
2158	fourfifths	VULGAR FRACTION FOUR FIFTHS
2159	onesixth	VULGAR FRACTION ONE SIXTH
215A	fivesixths	VULGAR FRACTION FIVE SIXTHS
215B	oneeighth	VULGAR FRACTION ONE EIGHTH
215C	threeeighths	VULGAR FRACTION THREE EIGHTHS
215D	fiveeighths	VULGAR FRACTION FIVE EIGHTHS
215E	seveneighths	VULGAR FRACTION SEVEN EIGHTHS
215F	onefraction	FRACTION NUMERATOR ONE
2160	one.roman	ROMAN NUMERAL ONE
2161	two.roman	ROMAN NUMERAL TWO
2162	three.roman	ROMAN NUMERAL THREE
2163	four.roman	ROMAN NUMERAL FOUR
2164	five.roman	ROMAN NUMERAL FIVE
2165	six.roman	ROMAN NUMERAL SIX
2166	seven.roman	ROMAN NUMERAL SEVEN
2167	eight.roman	ROMAN NUMERAL EIGHT
2168	nine.roman	ROMAN NUMERAL NINE
2169	ten.roman	ROMAN NUMERAL TEN
216A	eleven.roman	ROMAN NUMERAL ELEVEN
216B	twelve.roman	ROMAN NUMERAL TWELVE
216C	fifty.roman	ROMAN NUMERAL FIFTY
216D	onehundred.roman	ROMAN NUMERAL ONE HUNDRED
216E	fivehundred.roman	ROMAN NUMERAL FIVE HUNDRED
216F	onethousand.roman	ROMAN NUMERAL ONE THOUSAND
2170	one.romansmall	SMALL ROMAN NUMERAL ONE
2171	two.romansmall	SMALL ROMAN NUMERAL TWO
2172	three.romansmall	SMALL ROMAN NUMERAL THREE
2173	four.romansmall	SMALL ROMAN NUMERAL FOUR
2174	five.romansmall	SMALL ROMAN NUMERAL FIVE
2175	six.romansmall	SMALL ROMAN NUMERAL SIX
2176	seven.romansmall	SMALL ROMAN NUMERAL SEVEN
2177	eight.romansmall	SMALL ROMAN NUMERAL EIGHT
2178	nine.romansmall	SMALL ROMAN NUMERAL NINE
2179	ten.romansmall	SMALL ROMAN NUMERAL TEN
217A	eleven.romansmall	SMALL ROMAN NUMERAL ELEVEN
217B	twelve.romansmall	SMALL ROMAN NUMERAL TWELVE
217C	fifty.romansmall	SMALL ROMAN NUMERAL FIFTY
217D	onehundred.romansmall	SMALL ROMAN NUMERAL ONE HUNDRED
217E	fivehundred.romansmall	SMALL ROMAN NUMERAL FIVE HUNDRED
217F	onethousand.romansmall	SMALL ROMAN NUMERAL ONE THOUSAND
2180	onethousandcd.roman	ROMAN NUMERAL ONE THOUSAND C D
2181	fivethousand.roman	ROMAN NUMERAL FIVE THOUSAND
2182	tenthousand.roman	ROMAN NUMERAL TEN THOUSAND
2183	reversedonehundred.roman	ROMAN NUMERAL REVERSED ONE HUNDRED
2184	creversed	LATIN SMALL LETTER REVERSED C
2185	sixlateform.roman	ROMAN NUMERAL SIX LATE FORM
2186	fiftyearlyform.roman	ROMAN NUMERAL FIFTY EARLY FORM
2187	fiftythousand.roman	ROMAN NUMERAL FIFTY THOUSAND
2188	onehundredthousand.roman	ROMAN NUMERAL ONE HUNDRED THOUSAND
2189	zerothirds	VULGAR FRACTION ZERO THIRDS
218A	turneddigittwo	TURNED DIGIT TWO
218B	turneddigitthree	TURNED DIGIT THREE
