# Arrows 02190 - 021FF
2190	arrowleft	LEFTWARDS ARROW
2191	arrowup	UPWARDS ARROW
2192	arrowright	RIGHTWARDS ARROW
2193	arrowdown	DOWNWARDS ARROW
2194	arrowleftright	LEFT RIGHT ARROW
2195	arrowupdown	UP DOWN ARROW
2196	arrowNW	NORTH WEST ARROW
2197	arrowNE	NORTH EAST ARROW
2198	arrowSE	SOUTH EAST ARROW
2199	arrowSW	SOUTH WEST ARROW
219A	arrowleftstroke	LEFTWARDS ARROW WITH STROKE
219B	arrowrightstroke	RIGHTWARDS ARROW WITH STROKE
219C	arrowleftwave	LEFTWARDS WAVE ARROW
219D	arrowrightwave	RIGHTWARDS WAVE ARROW
219E	arrowlefttwoheaded	LEFTWARDS TWO HEADED ARROW
219F	arrowuptwoheaded	UPWARDS TWO HEADED ARROW
21A0	arrowrighttwoheaded	RIGHTWARDS TWO HEADED ARROW
21A1	arrowdowntwoheaded	DOWNWARDS TWO HEADED ARROW
21A2	arrowlefttail	LEFTWARDS ARROW WITH TAIL
21A3	arrowrighttail	RIGHTWARDS ARROW WITH TAIL
21A4	arrowleftfrombar	LEFTWARDS ARROW FROM BAR
21A5	arrowupfrombar	UPWARDS ARROW FROM BAR
21A6	arrowrightfrombar	RIGHTWARDS ARROW FROM BAR
21A7	arrowdownfrombar	DOWNWARDS ARROW FROM BAR
21A8	arrowupdownwithbase	UP DOWN ARROW WITH BASE
21A9	arrowlefthook	LEFTWARDS ARROW WITH HOOK
21AA	arrowrighthook	RIGHTWARDS ARROW WITH HOOK
21AB	arrowleftloop	LEFTWARDS ARROW WITH LOOP
21AC	arrowrightloop	RIGHTWARDS ARROW WITH LOOP
21AD	arrowleftrightwave	LEFT RIGHT WAVE ARROW
21AE	arrowleftrightstroke	LEFT RIGHT ARROW WITH STROKE
21AF	arrowdownzigzag	DOWNWARDS ZIGZAG ARROW
21B0	arrowleftuptip	UPWARDS ARROW WITH TIP LEFTWARDS
21B1	arrowrightuptip	UPWARDS ARROW WITH TIP RIGHTWARDS
21B2	arrowleftdowntip	DOWNWARDS ARROW WITH TIP LEFTWARDS
21B3	arrowrightdowntip	DOWNWARDS ARROW WITH TIP RIGHTWARDS
21B4	arrowrightdowncorner	RIGHTWARDS ARROW WITH CORNER DOWNWARDS
21B5	arrowleftdowncorner	DOWNWARDS ARROW WITH CORNER LEFTWARDS
21B6	arrowanticlockwisesemicircle	ANTICLOCKWISE TOP SEMICIRCLE ARROW
21B7	arrowclockwisesemicircle	CLOCKWISE TOP SEMICIRCLE ARROW
21B8	arrowlongNWtobar	NORTH WEST ARROW TO LONG BAR
21B9	arrowleftoverrighttobar	LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
21BA	arrowanticlockwiseopencircle	ANTICLOCKWISE OPEN CIRCLE ARROW
21BB	arrowclockwiseopencircle	CLOCKWISE OPEN CIRCLE ARROW
21BC	harpoonleftbarbup	LEFTWARDS HARPOON WITH BARB UPWARDS
21BD	harpoonleftbarbdown	LEFTWARDS HARPOON WITH BARB DOWNWARDS
21BE	harpoonupbarbright	UPWARDS HARPOON WITH BARB RIGHTWARDS
21BF	harpoonupbarbleft	UPWARDS HARPOON WITH BARB LEFTWARDS
21C0	harpoonrightbarbup	RIGHTWARDS HARPOON WITH BARB UPWARDS
21C1	harpoonrightbarbdown	RIGHTWARDS HARPOON WITH BARB DOWNWARDS
21C2	harpoondownbarbright	DOWNWARDS HARPOON WITH BARB RIGHTWARDS
21C3	harpoondownbarbleft	DOWNWARDS HARPOON WITH BARB LEFTWARDS
21C4	rightarrowoverleftarrow	RIGHTWARDS ARROW OVER LEFTWARDS ARROW
21C5	uparrowleftofdownarrow	UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
21C6	leftarrowoverrightarrow	LEFTWARDS ARROW OVER RIGHTWARDS ARROW
21C7	arrowspairedleft	LEFTWARDS PAIRED ARROWS
21C8	arrowspairedup	UPWARDS PAIRED ARROWS
21C9	arrowspairedright	RIGHTWARDS PAIRED ARROWS
21CA	arrowspaireddown	DOWNWARDS PAIRED ARROWS
21CB	leftharpoonoverrightharpoon	LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
21CC	rightharpoonoverleftharpoon	RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
21CD	dblarrowleftstroke	LEFTWARDS DOUBLE ARROW WITH STROKE
21CE	dblarrowleftrightstroke	LEFT RIGHT DOUBLE ARROW WITH STROKE
21CF	dblarrowrightstroke	RIGHTWARDS DOUBLE ARROW WITH STROKE
21D0	dblarrowleft	LEFTWARDS DOUBLE ARROW
21D1	dblarrowup	UPWARDS DOUBLE ARROW
21D2	dblarrowright	RIGHTWARDS DOUBLE ARROW
21D3	dblarrowdown	DOWNWARDS DOUBLE ARROW
21D4	dblarrowleftright	LEFT RIGHT DOUBLE ARROW
21D5	dblarrowupdown	UP DOWN DOUBLE ARROW
21D6	dblarrowNW	NORTH WEST DOUBLE ARROW
21D7	dblarrowNE	NORTH EAST DOUBLE ARROW
21D8	dblarrowSE	SOUTH EAST DOUBLE ARROW
21D9	dblarrowSW	SOUTH WEST DOUBLE ARROW
21DA	triplearrowleft	LEFTWARDS TRIPLE ARROW
21DB	triplearrowright	RIGHTWARDS TRIPLE ARROW
21DC	arrowleftsquiggle	LEFTWARDS SQUIGGLE ARROW
21DD	arrowrightsquiggle	RIGHTWARDS SQUIGGLE ARROW
21DE	dblstrokearrowup	UPWARDS ARROW WITH DOUBLE STROKE
21DF	dblstrokearrowdown	DOWNWARDS ARROW WITH DOUBLE STROKE
21E0	arrowleftdashed	LEFTWARDS DASHED ARROW
21E1	arrowupdashed	UPWARDS DASHED ARROW
21E2	arrowrightdashed	RIGHTWARDS DASHED ARROW
21E3	arrowdowndashed	DOWNWARDS DASHED ARROW
21E4	arrowlefttobar	LEFTWARDS ARROW TO BAR
21E5	arrowrighttobar	RIGHTWARDS ARROW TO BAR
21E6	whitearrowleft	LEFTWARDS WHITE ARROW
21E7	whitearrowup	UPWARDS WHITE ARROW
21E8	whitearrowright	RIGHTWARDS WHITE ARROW
21E9	whitearrowdown	DOWNWARDS WHITE ARROW
21EA	whitearrowupfrombar	UPWARDS WHITE ARROW FROM BAR
21EB	whitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL
21EC	horizontalbarwhitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
21ED	verticalbarwhitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
21EE	whitedblarrowup	UPWARDS WHITE DOUBLE ARROW
21EF	whitedblarrowonpedestalup	UPWARDS WHITE DOUBLE ARROW ON PEDESTAL
21F0	whitearrowfromwallright	RIGHTWARDS WHITE ARROW FROM WALL
21F1	tocornerarrowNW	NORTH WEST ARROW TO CORNER
21F2	tocornerarrowSE	SOUTH EAST ARROW TO CORNER
21F3	whitearrowupdown	UP DOWN WHITE ARROW
21F4	arrowrightsmallcircle	RIGHT ARROW WITH SMALL CIRCLE
21F5	downwarrowleftofuparrow	DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
21F6	threerightarrows	THREE RIGHTWARDS ARROWS
21F7	verticalstrokearrowleft	LEFTWARDS ARROW WITH VERTICAL STROKE
21F8	verticalstrokearrowright	RIGHTWARDS ARROW WITH VERTICAL STROKE
21F9	verticalstrokearrowleftright	LEFT RIGHT ARROW WITH VERTICAL STROKE
21FA	verticalsdbltrokearrowleft	LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FB	verticalsdbltrokearrowright	RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FC	verticalsdbltrokearrowleftright	LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE
21FD	openheadarrowleft	LEFTWARDS OPEN-HEADED ARROW
21FE	openheadarrowright	RIGHTWARDS OPEN-HEADED ARROW
21FF	openheadarrowleftright	LEFT RIGHT OPEN-HEADED ARROW
