# Mathematical Operators 02200 - 022FF
2200	universal	FOR ALL
2201	complement	COMPLEMENT
2202	partialdiff	PARTIAL DIFFERENTIAL
2203	existential	THERE EXISTS
2204	notexistential	THERE DOES NOT EXIST
2205	emptyset	EMPTY SET
2206	increment	INCREMENT
2207	gradient	NABLA
2208	element	ELEMENT OF
2209	notelement	NOT AN ELEMENT OF
220A	elementsmall	SMALL ELEMENT OF
220B	suchthat	CONTAINS AS MEMBER
220C	notcontains	DOES NOT CONTAIN AS MEMBER
220D	containsasmembersmall	SMALL CONTAINS AS MEMBER
220E	endpro	END OF PROOF
220F	product	N-ARY PRODUCT
2210	coproductarray	N-ARY COPRODUCT
2211	summation	N-ARY SUMMATION
2212	minus	MINUS SIGN
2213	minusplus	MINUS-OR-PLUS SIGN
2214	dotplus	DOT PLUS
2215	divisionslash	DIVISION SLASH
2216	setminus	SET MINUS
2217	asteriskmath	ASTERISK OPERATOR
2218	ringoperator	RING OPERATOR
2219	bulletoperator	BULLET OPERATOR
221A	radical	SQUARE ROOT
221B	math:cuberoot	CUBE ROOT
221C	math:fourthroot	FOURTH ROOT
221D	proportional	PROPORTIONAL TO
221E	infinity	INFINITY
221F	orthogonal	RIGHT ANGLE
2220	angle	ANGLE
2221	measuredangle	MEASURED ANGLE
2222	sphericalangle	SPHERICAL ANGLE
2223	divides	DIVIDES
2224	doesnotdivide	DOES NOT DIVIDE
2225	parallel	PARALLEL TO
2226	notparallel	NOT PARALLEL TO
2227	logicaland	LOGICAL AND
2228	logicalor	LOGICAL OR
2229	intersection	INTERSECTION
222A	union	UNION
222B	integral	INTEGRAL
222C	integraldbl	DOUBLE INTEGRAL
222D	integraltpl	TRIPLE INTEGRAL
222E	integralcontour	CONTOUR INTEGRAL
222F	integralsurface	SURFACE INTEGRAL
2230	integralvolume	VOLUME INTEGRAL
2231	integralclockwise	CLOCKWISE INTEGRAL
2232	integralcontourclockwise	CLOCKWISE CONTOUR INTEGRAL
2233	integralcontouranticlockwise	ANTICLOCKWISE CONTOUR INTEGRAL
2234	therefore	THEREFORE
2235	because	BECAUSE
2236	ratio	RATIO
2237	proportion	PROPORTION
2238	dotminus	DOT MINUS
2239	excess	EXCESS
223A	geometricproportion	GEOMETRIC PROPORTION
223B	homotic	HOMOTHETIC
223C	similar	TILDE OPERATOR
223D	tildereversed	REVERSED TILDE
223E	lazysinverted	INVERTED LAZY S
223F	sinewave	SINE WAVE
2240	wreathproduct	WREATH PRODUCT
2241	nottilde	NOT TILDE
2242	minustilde	MINUS TILDE
2243	asympticallyequal	ASYMPTOTICALLY EQUAL TO
2244	notasympticallyequal	NOT ASYMPTOTICALLY EQUAL TO
2245	congruent	APPROXIMATELY EQUAL TO
2246	approximatelybutnotactuallyequal	APPROXIMATELY BUT NOT ACTUALLY EQUAL TO
2247	neirapproximatelynoractuallyequal	NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO
2248	approxequal	ALMOST EQUAL TO
2249	notalmostequal	NOT ALMOST EQUAL TO
224A	almostequalorequal	ALMOST EQUAL OR EQUAL TO
224B	tildetpl	TRIPLE TILDE
224C	allequal	ALL EQUAL TO
224D	equivalent	EQUIVALENT TO
224E	geometricallyequivalent	GEOMETRICALLY EQUIVALENT TO
224F	differencebetween	DIFFERENCE BETWEEN
2250	approacheslimit	APPROACHES THE LIMIT
2251	geometricallyequal	GEOMETRICALLY EQUAL TO
2252	approximatelyequalorimage	APPROXIMATELY EQUAL TO OR THE IMAGE OF
2253	imageorapproximatelyequal	IMAGE OF OR APPROXIMATELY EQUAL TO
2254	colonequals	COLON EQUALS
2255	equalscolon	EQUALS COLON
2256	ringinequal	RING IN EQUAL TO
2257	ringequal	RING EQUAL TO
2258	corresponds	CORRESPONDS TO
2259	estimates	ESTIMATES
225A	equiangular	EQUIANGULAR TO
225B	starequals	STAR EQUALS
225C	deltaequal	DELTA EQUAL TO
225D	equalbydefinition	EQUAL TO BY DEFINITION
225E	measuredby	MEASURED BY
225F	questionedequal	QUESTIONED EQUAL TO
2260	notequal	NOT EQUAL TO
2261	equivalence	IDENTICAL TO
2262	notidentical	NOT IDENTICAL TO
2263	strictlyequivalent	STRICTLY EQUIVALENT TO
2264	lessequal	LESS-THAN OR EQUAL TO
2265	greaterequal	GREATER-THAN OR EQUAL TO
2266	lessoverequal	LESS-THAN OVER EQUAL TO
2267	greateroverequal	GREATER-THAN OVER EQUAL TO
2268	lessbutnotequal	LESS-THAN BUT NOT EQUAL TO
2269	greaterbutnotequal	GREATER-THAN BUT NOT EQUAL TO
226A	muchless	MUCH LESS-THAN
226B	muchgreater	MUCH GREATER-THAN
226C	between	BETWEEN
226D	notequivalent	NOT EQUIVALENT TO
226E	notless	NOT LESS-THAN
226F	notgreater	NOT GREATER-THAN
2270	neirlessnorequal	NEITHER LESS-THAN NOR EQUAL TO
2271	neirgreaternorequal	NEITHER GREATER-THAN NOR EQUAL TO
2272	lessorequivalent	LESS-THAN OR EQUIVALENT TO
2273	greaterorequivalent	GREATER-THAN OR EQUIVALENT TO
2274	neirlessnorequivalent	NEITHER LESS-THAN NOR EQUIVALENT TO
2275	neirgreaternorequivalent	NEITHER GREATER-THAN NOR EQUIVALENT TO
2276	lessorgreater	LESS-THAN OR GREATER-THAN
2277	greaterorless	GREATER-THAN OR LESS-THAN
2278	neirlessnorgreater	NEITHER LESS-THAN NOR GREATER-THAN
2279	neirgreaternorless	NEITHER GREATER-THAN NOR LESS-THAN
227A	precedes	PRECEDES
227B	succeeds	SUCCEEDS
227C	precedesorequal	PRECEDES OR EQUAL TO
227D	succeedsorequal	SUCCEEDS OR EQUAL TO
227E	precedesorequivalent	PRECEDES OR EQUIVALENT TO
227F	succeedsorequivalent	SUCCEEDS OR EQUIVALENT TO
2280	doesnotprecede	DOES NOT PRECEDE
2281	doesnotsucceed	DOES NOT SUCCEED
2282	propersubset	SUBSET OF
2283	propersuperset	SUPERSET OF
2284	notsubset	NOT A SUBSET OF
2285	notasersetup	NOT A SUPERSET OF
2286	reflexsubset	SUBSET OF OR EQUAL TO
2287	reflexsuperset	SUPERSET OF OR EQUAL TO
2288	neirasubsetnorequal	NEITHER A SUBSET OF NOR EQUAL TO
2289	neirasersetnorequalup	NEITHER A SUPERSET OF NOR EQUAL TO
228A	subsetnotequal	SUBSET OF WITH NOT EQUAL TO
