# Miscellaneous Technical 02300 - 023FF
2300	diametersign	DIAMETER SIGN
2301	electricarrow	ELECTRIC ARROW
2302	house	HOUSE
2303	arrowheadup	UP ARROWHEAD
2304	arrowheaddown	DOWN ARROWHEAD
2305	projective	PROJECTIVE
2306	perspective	PERSPECTIVE
2307	wavyline	WAVY LINE
2308	ceilingleft	LEFT CEILING
2309	ceilingright	RIGHT CEILING
230A	floorleft	LEFT FLOOR
230B	floorright	RIGHT FLOOR
230C	cropbottomright	BOTTOM RIGHT CROP
230D	cropbottomleft	BOTTOM LEFT CROP
230E	croptopright	TOP RIGHT CROP
230F	croptopleft	TOP LEFT CROP
2310	revlogicalnot	REVERSED NOT SIGN
2311	lozengesquare	SQUARE LOZENGE
2312	arc	ARC
2313	segment	SEGMENT
2314	sector	SECTOR
2315	telephonerecorder	TELEPHONE RECORDER
2316	positionindicator	POSITION INDICATOR
2317	viewdatasquare	VIEWDATA SQUARE
2318	placeofinterestsign	PLACE OF INTEREST SIGN
2319	notsignturned	TURNED NOT SIGN
231A	watch	WATCH
231B	hourglass	HOURGLASS
231C	cornertopleft	TOP LEFT CORNER
231D	cornertopright	TOP RIGHT CORNER
231E	cornerbottomleft	BOTTOM LEFT CORNER
231F	cornerbottomright	BOTTOM RIGHT CORNER
2320	integraltp	TOP HALF INTEGRAL
2321	integralbt	BOTTOM HALF INTEGRAL
2322	frown	FROWN
2323	smile	SMILE
2324	arrowheadtwobarsuphorizontal	UP ARROWHEAD BETWEEN TWO HORIZONTAL BARS
2325	option	OPTION KEY
2326	eraseright	ERASE TO THE RIGHT
2327	clear	X IN A RECTANGLE BOX
2328	board	KEYBOARD
2329	angleleft	LEFT-POINTING ANGLE BRACKET
232A	angleright	RIGHT-POINTING ANGLE BRACKET
232B	eraseleft	ERASE TO THE LEFT
232C	benzenering	BENZENE RING
232D	cylindricity	CYLINDRICITY
232E	allaroundprofile	ALL AROUND-PROFILE
232F	symmetry	SYMMETRY
2330	totalrunout	TOTAL RUNOUT
2331	dimensionorigin	DIMENSION ORIGIN
2332	conicaltaper	CONICAL TAPER
2333	slope	SLOPE
2334	counterbore	COUNTERBORE
2335	countersink	COUNTERSINK
2336	beamfunc	APL FUNCTIONAL SYMBOL I-BEAM
2337	squishquadfunc	APL FUNCTIONAL SYMBOL SQUISH QUAD
2338	quadequalfunc	APL FUNCTIONAL SYMBOL QUAD EQUAL
2339	quaddividefunc	APL FUNCTIONAL SYMBOL QUAD DIVIDE
233A	quaddiamondfunc	APL FUNCTIONAL SYMBOL QUAD DIAMOND
233B	quadjotfunc	APL FUNCTIONAL SYMBOL QUAD JOT
233C	quadcirclefunc	APL FUNCTIONAL SYMBOL QUAD CIRCLE
233D	circlestilefunc	APL FUNCTIONAL SYMBOL CIRCLE STILE
233E	circlejotfunc	APL FUNCTIONAL SYMBOL CIRCLE JOT
233F	slashbarfunc	APL FUNCTIONAL SYMBOL SLASH BAR
