# Control Pictures 02400 - 0243F
2400	cntr:null	SYMBOL FOR NULL
2401	cntr:startofheading	SYMBOL FOR START OF HEADING
2402	cntr:startoftext	SYMBOL FOR START OF TEXT
2403	cntr:endoftext	SYMBOL FOR END OF TEXT
2404	cntr:endoftransmission	SYMBOL FOR END OF TRANSMISSION
2405	cntr:enquiry	SYMBOL FOR ENQUIRY
2406	cntr:acknowledge	SYMBOL FOR ACKNOWLEDGE
2407	cntr:bell	SYMBOL FOR BELL
2408	cntr:backspace	SYMBOL FOR BACKSPACE
2409	cntr:horizontaltab	SYMBOL FOR HORIZONTAL TABULATION
240A	cntr:linefeed	SYMBOL FOR LINE FEED
240B	cntr:verticaltab	SYMBOL FOR VERTICAL TABULATION
240C	cntr:formfeed	SYMBOL FOR FORM FEED
240D	cntr:carriagereturn	SYMBOL FOR CARRIAGE RETURN
240E	cntr:shiftout	SYMBOL FOR SHIFT OUT
240F	cntr:shiftin	SYMBOL FOR SHIFT IN
2410	cntr:datalinkescape	SYMBOL FOR DATA LINK ESCAPE
2411	cntr:devicecontrolone	SYMBOL FOR DEVICE CONTROL ONE
2412	cntr:devicecontroltwo	SYMBOL FOR DEVICE CONTROL TWO
2413	cntr:devicecontrolthree	SYMBOL FOR DEVICE CONTROL THREE
2414	cntr:devicecontrolfour	SYMBOL FOR DEVICE CONTROL FOUR
2415	cntr:negativeacknowledge	SYMBOL FOR NEGATIVE ACKNOWLEDGE
2416	cntr:synchronousidle	SYMBOL FOR SYNCHRONOUS IDLE
2417	cntr:endoftransmissionblock	SYMBOL FOR END OF TRANSMISSION BLOCK
2418	cntr:cancel	SYMBOL FOR CANCEL
2419	cntr:endofmedium	SYMBOL FOR END OF MEDIUM
241A	cntr:substitute	SYMBOL FOR SUBSTITUTE
241B	cntr:escape	SYMBOL FOR ESCAPE
241C	cntr:fileseparator	SYMBOL FOR FILE SEPARATOR
241D	cntr:groupseparator	SYMBOL FOR GROUP SEPARATOR
241E	cntr:recordseparator	SYMBOL FOR RECORD SEPARATOR
241F	cntr:unitseparator	SYMBOL FOR UNIT SEPARATOR
2420	cntr:space	SYMBOL FOR SPACE
2421	cntr:delete	SYMBOL FOR DELETE
2422	cntr:blank	BLANK SYMBOL
2423	cntr:openbox	OPEN BOX
2424	cntr:newline	SYMBOL FOR NEWLINE
2425	cntr:deleteformtwo	SYMBOL FOR DELETE FORM TWO
2426	cntr:substituteformtwo	SYMBOL FOR SUBSTITUTE FORM TWO
