# Enclosed Alphanumerics 02460 - 024FF
2460	onecircle	CIRCLED DIGIT ONE
2461	twocircle	CIRCLED DIGIT TWO
2462	threecircle	CIRCLED DIGIT THREE
2463	fourcircle	CIRCLED DIGIT FOUR
2464	fivecircle	CIRCLED DIGIT FIVE
2465	sixcircle	CIRCLED DIGIT SIX
2466	sevencircle	CIRCLED DIGIT SEVEN
2467	eightcircle	CIRCLED DIGIT EIGHT
2468	ninecircle	CIRCLED DIGIT NINE
2469	tencircle	CIRCLED NUMBER TEN
246A	elevencircle	CIRCLED NUMBER ELEVEN
246B	twelvecircle	CIRCLED NUMBER TWELVE
246C	thirteencircle	CIRCLED NUMBER THIRTEEN
246D	fourteencircle	CIRCLED NUMBER FOURTEEN
246E	fifteencircle	CIRCLED NUMBER FIFTEEN
246F	sixteencircle	CIRCLED NUMBER SIXTEEN
2470	seventeencircle	CIRCLED NUMBER SEVENTEEN
2471	eighteencircle	CIRCLED NUMBER EIGHTEEN
2472	nineteencircle	CIRCLED NUMBER NINETEEN
2473	twentycircle	CIRCLED NUMBER TWENTY
2474	oneparenthesized	PARENTHESIZED DIGIT ONE
2475	twoparenthesized	PARENTHESIZED DIGIT TWO
2476	threeparenthesized	PARENTHESIZED DIGIT THREE
2477	fourparenthesized	PARENTHESIZED DIGIT FOUR
2478	fiveparenthesized	PARENTHESIZED DIGIT FIVE
2479	sixparenthesized	PARENTHESIZED DIGIT SIX
247A	sevenparenthesized	PARENTHESIZED DIGIT SEVEN
247B	eightparenthesized	PARENTHESIZED DIGIT EIGHT
247C	nineparenthesized	PARENTHESIZED DIGIT NINE
247D	tenparenthesized	PARENTHESIZED NUMBER TEN
247E	elevenparenthesized	PARENTHESIZED NUMBER ELEVEN
247F	twelveparenthesized	PARENTHESIZED NUMBER TWELVE
2480	thirteenparenthesized	PARENTHESIZED NUMBER THIRTEEN
2481	fourteenparenthesized	PARENTHESIZED NUMBER FOURTEEN
2482	fifteenparenthesized	PARENTHESIZED NUMBER FIFTEEN
2483	sixteenparenthesized	PARENTHESIZED NUMBER SIXTEEN
2484	seventeenparenthesized	PARENTHESIZED NUMBER SEVENTEEN
2485	eighteenparenthesized	PARENTHESIZED NUMBER EIGHTEEN
2486	nineteenparenthesized	PARENTHESIZED NUMBER NINETEEN
2487	twentyparenthesized	PARENTHESIZED NUMBER TWENTY
2488	oneperiod	DIGIT ONE FULL STOP
2489	twoperiod	DIGIT TWO FULL STOP
248A	threeperiod	DIGIT THREE FULL STOP
248B	fourperiod	DIGIT FOUR FULL STOP
248C	fiveperiod	DIGIT FIVE FULL STOP
248D	sixperiod	DIGIT SIX FULL STOP
248E	sevenperiod	DIGIT SEVEN FULL STOP
248F	eightperiod	DIGIT EIGHT FULL STOP
2490	nineperiod	DIGIT NINE FULL STOP
2491	tenperiod	NUMBER TEN FULL STOP
2492	elevenperiod	NUMBER ELEVEN FULL STOP
2493	twelveperiod	NUMBER TWELVE FULL STOP
2494	thirteenperiod	NUMBER THIRTEEN FULL STOP
2495	fourteenperiod	NUMBER FOURTEEN FULL STOP
2496	fifteenperiod	NUMBER FIFTEEN FULL STOP
2497	sixteenperiod	NUMBER SIXTEEN FULL STOP
2498	seventeenperiod	NUMBER SEVENTEEN FULL STOP
2499	eighteenperiod	NUMBER EIGHTEEN FULL STOP
249A	nineteenperiod	NUMBER NINETEEN FULL STOP
249B	twentyperiod	NUMBER TWENTY FULL STOP
249C	aparenthesized	PARENTHESIZED LATIN SMALL LETTER A
249D	bparenthesized	PARENTHESIZED LATIN SMALL LETTER B
249E	cparenthesized	PARENTHESIZED LATIN SMALL LETTER C
249F	dparenthesized	PARENTHESIZED LATIN SMALL LETTER D
24A0	eparenthesized	PARENTHESIZED LATIN SMALL LETTER E
24A1	fparenthesized	PARENTHESIZED LATIN SMALL LETTER F
24A2	gparenthesized	PARENTHESIZED LATIN SMALL LETTER G
24A3	hparenthesized	PARENTHESIZED LATIN SMALL LETTER H
24A4	iparenthesized	PARENTHESIZED LATIN SMALL LETTER I
24A5	jparenthesized	PARENTHESIZED LATIN SMALL LETTER J
24A6	kparenthesized	PARENTHESIZED LATIN SMALL LETTER K
