# Box Drawing 02500 - 0257F
2500	lighthorz	BOX DRAWINGS LIGHT HORIZONTAL
2501	heavyhorz	BOX DRAWINGS HEAVY HORIZONTAL
2502	lightvert	BOX DRAWINGS LIGHT VERTICAL
2503	heavyvert	BOX DRAWINGS HEAVY VERTICAL
2504	lighttrpldashhorz	BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
2505	heavytrpldashhorz	BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
2506	lighttrpldashvert	BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
2507	heavytrpldashvert	BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
2508	lightquaddashhorz	BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
2509	heavyquaddashhorz	BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
250A	lightquaddashvert	BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
250B	heavyquaddashvert	BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
250C	lightdnright	BOX DRAWINGS LIGHT DOWN AND RIGHT
250D	dnlightrightheavy	BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
250E	dnheavyrightlight	BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
250F	heavydnright	BOX DRAWINGS HEAVY DOWN AND RIGHT
2510	lightdnleft	BOX DRAWINGS LIGHT DOWN AND LEFT
2511	dnlightleftheavy	BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
2512	dnheavyleftlight	BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
2513	heavydnleft	BOX DRAWINGS HEAVY DOWN AND LEFT
2514	lightupright	BOX DRAWINGS LIGHT UP AND RIGHT
2515	uplightrightheavy	BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
2516	upheavyrightlight	BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
2517	heavyupright	BOX DRAWINGS HEAVY UP AND RIGHT
2518	lightupleft	BOX DRAWINGS LIGHT UP AND LEFT
2519	uplightleftheavy	BOX DRAWINGS UP LIGHT AND LEFT HEAVY
251A	upheavyleftlight	BOX DRAWINGS UP HEAVY AND LEFT LIGHT
251B	heavyupleft	BOX DRAWINGS HEAVY UP AND LEFT
251C	lightvertright	BOX DRAWINGS LIGHT VERTICAL AND RIGHT
251D	vertlightrightheavy	BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
251E	upheavyrightdnlight	BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
251F	dnheavyrightuplight	BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
2520	vertheavyrightlight	BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
2521	dnlightrightupheavy	BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
2522	uplightrightdnheavy	BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
2523	heavyvertright	BOX DRAWINGS HEAVY VERTICAL AND RIGHT
2524	lightvertleft	BOX DRAWINGS LIGHT VERTICAL AND LEFT
2525	vertlightleftheavy	BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
2526	upheavyleftdnlight	BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
2527	dnheavyleftuplight	BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
2528	vertheavyleftlight	BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
2529	dnlightleftupheavy	BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
252A	uplightleftdnheavy	BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
252B	heavyvertleft	BOX DRAWINGS HEAVY VERTICAL AND LEFT
252C	lightdnhorz	BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
252D	leftheavyrightdnlight	BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
252E	rightheavyleftdnlight	BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
252F	dnlighthorzheavy	BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
2530	dnheavyhorzlight	BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
2531	rightlightleftdnheavy	BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
2532	leftlightrightdnheavy	BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
2533	heavydnhorz	BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
2534	lightuphorz	BOX DRAWINGS LIGHT UP AND HORIZONTAL
2535	leftheavyrightuplight	BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
2536	rightheavyleftuplight	BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
2537	uplighthorzheavy	BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
2538	upheavyhorzlight	BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
2539	rightlightleftupheavy	BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
253A	leftlightrightupheavy	BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
253B	heavyuphorz	BOX DRAWINGS HEAVY UP AND HORIZONTAL
