# Block Elements 02580 - 0259F
2580	upperHalfBlock	UPPER HALF BLOCK
2581	lowerOneEighthBlock	LOWER ONE EIGHTH BLOCK
2582	lowerOneQuarterBlock	LOWER ONE QUARTER BLOCK
2583	lowerThreeEighthsBlock	LOWER THREE EIGHTHS BLOCK
2584	lowerHalfBlock	LOWER HALF BLOCK
2585	lowerFiveEighthsBlock	LOWER FIVE EIGHTHS BLOCK
2586	lowerThreeQuartersBlock	LOWER THREE QUARTERS BLOCK
2587	lowerSevenEighthsBlock	LOWER SEVEN EIGHTHS BLOCK
2588	fullBlock	FULL BLOCK
2589	leftSevenEighthsBlock	LEFT SEVEN EIGHTHS BLOCK
258A	leftThreeQuartersBlock	LEFT THREE QUARTERS BLOCK
258B	leftFiveEighthsBlock	LEFT FIVE EIGHTHS BLOCK
258C	leftHalfBlock	LEFT HALF BLOCK
258D	leftThreeEighthsBlock	LEFT THREE EIGHTHS BLOCK
258E	leftOneQuarterBlock	LEFT ONE QUARTER BLOCK
258F	leftOneEighthBlock	LEFT ONE EIGHTH BLOCK
2590	rightHalfBlock	RIGHT HALF BLOCK
2591	lightShade	LIGHT SHADE
2592	mediumShade	MEDIUM SHADE
2593	darkShade	DARK SHADE
2594	upperOneEighthBlock	UPPER ONE EIGHTH BLOCK
2595	rightOneEighthBlock	RIGHT ONE EIGHTH BLOCK
2596	quadrantLowerLeft	QUADRANT LOWER LEFT
2597	quadrantLowerRight	QUADRANT LOWER RIGHT
2598	quadrantUpperLeft	QUADRANT UPPER LEFT
2599	quadrantUpperLeftAndLowerLeftAndLowerRight	QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT
259A	quadrantUpperLeftAndLowerRight	QUADRANT UPPER LEFT AND LOWER RIGHT
259B	quadrantUpperLeftAndUpperRightAndLowerLeft	QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT
259C	quadrantUpperLeftAndUpperRightAndLowerRight	QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT
259D	quadrantUpperRight	QUADRANT UPPER RIGHT
259E	quadrantUpperRightAndLowerLeft	QUADRANT UPPER RIGHT AND LOWER LEFT
259F	quadrantUpperRightAndLowerLeftAndLowerRight	QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT
