# Miscellaneous Symbols 02600 - 026FF
2600	sunraysblack	BLACK SUN WITH RAYS
2601	cloud	CLOUD
2602	umbrella	UMBRELLA
2603	snowman	SNOWMAN
2604	comet	COMET
2605	starblack	BLACK STAR
2606	starwhite	WHITE STAR
2607	lightning	LIGHTNING
2608	thunderstorm	THUNDERSTORM
2609	sun	SUN
260A	nodeascending	ASCENDING NODE
260B	nodedescending	DESCENDING NODE
260C	conjunction	CONJUNCTION
260D	opposition	OPPOSITION
260E	telephoneblack	BLACK TELEPHONE
260F	telephonewhite	WHITE TELEPHONE
2610	checkbox	BALLOT BOX
2611	checkboxchecked	BALLOT BOX WITH CHECK
2612	checkboxx	BALLOT BOX WITH X
2613	saltire	SALTIRE
2614	umbrellaraindrops	UMBRELLA WITH RAIN DROPS
2615	hotbeverage	HOT BEVERAGE
2616	shogipiecewhite	WHITE SHOGI PIECE
2617	shogipieceblack	BLACK SHOGI PIECE
2618	shamrock	SHAMROCK
2619	floralheartbulletreversedrotated	REVERSED ROTATED FLORAL HEART BULLET
261A	pointingindexleftblack	BLACK LEFT POINTING INDEX
261B	pointingindexrightblack	BLACK RIGHT POINTING INDEX
261C	pointingindexleftwhite	WHITE LEFT POINTING INDEX
261D	pointingindexupwhite	WHITE UP POINTING INDEX
261E	pointingindexrightwhite	WHITE RIGHT POINTING INDEX
261F	pointingindexdownwhite	WHITE DOWN POINTING INDEX
2620	skullcrossbones	SKULL AND CROSSBONES
2621	caution	CAUTION SIGN
2622	radioactive	RADIOACTIVE SIGN
2623	biohazard	BIOHAZARD SIGN
2624	caduceus	CADUCEUS
2625	ankh	ANKH
2626	orthodoxcross	ORTHODOX CROSS
2627	chirho	CHI RHO
2628	crossoflorraine	CROSS OF LORRAINE
2629	crossofjerusalem	CROSS OF JERUSALEM
262A	starcrescent	STAR AND CRESCENT
262B	farsi	FARSI SYMBOL
262C	adishakti	ADI SHAKTI
262D	hammersickle	HAMMER AND SICKLE
262E	peace	PEACE SYMBOL
262F	yinyang	YIN YANG
2630	trigramheaven	TRIGRAM FOR HEAVEN
2631	trigramlake	TRIGRAM FOR LAKE
2632	trigramfire	TRIGRAM FOR FIRE
2633	trigramthunder	TRIGRAM FOR THUNDER
2634	trigramwind	TRIGRAM FOR WIND
2635	trigramwater	TRIGRAM FOR WATER
2636	trigrammountain	TRIGRAM FOR MOUNTAIN
2637	trigramearth	TRIGRAM FOR EARTH
2638	wheelofdharma	WHEEL OF DHARMA
2639	frowningfacewhite	WHITE FROWNING FACE
263A	smilingfacewhite	WHITE SMILING FACE
263B	smilingfaceblack	BLACK SMILING FACE
263C	sunrayswhite	WHITE SUN WITH RAYS
263D	firstquartermoon	FIRST QUARTER MOON
263E	lastquartermoon	LAST QUARTER MOON
263F	mercury	MERCURY
2640	female	FEMALE SIGN
2641	earth	EARTH
2642	male	MALE SIGN
2643	jiterup	JUPITER
2644	saturn	SATURN
2645	uranus	URANUS
2646	neptune	NEPTUNE
2647	pluto	PLUTO
2648	aries	ARIES
2649	taurus	TAURUS
264A	gemini	GEMINI
264B	cancer	CANCER
264C	leo	LEO
264D	virgo	VIRGO
264E	libra	LIBRA
264F	scorpius	SCORPIUS
2650	sagittarius	SAGITTARIUS
2651	capricorn	CAPRICORN
2652	aquarius	AQUARIUS
2653	pisces	PISCES
2654	kingwhite	WHITE CHESS KING
2655	queenwhite	WHITE CHESS QUEEN
2656	rookwhite	WHITE CHESS ROOK
2657	bishopwhite	WHITE CHESS BISHOP
2658	knightwhite	WHITE CHESS KNIGHT
2659	pawnwhite	WHITE CHESS PAWN
265A	kingblack	BLACK CHESS KING
265B	queenblack	BLACK CHESS QUEEN
265C	rookblack	BLACK CHESS ROOK
