# Dingbats 02700 - 027BF
2700	safetyscissorsblack	BLACK SAFETY SCISSORS
2701	scissorsupperblade	UPPER BLADE SCISSORS
2702	scissorsblack	BLACK SCISSORS
2703	scissorslowerblade	LOWER BLADE SCISSORS
2704	scissorswhite	WHITE SCISSORS
2705	checkwhiteheavy	WHITE HEAVY CHECK MARK
2706	telephonelocationsign	TELEPHONE LOCATION SIGN
2707	tapedrive	TAPE DRIVE
2708	airplane	AIRPLANE
2709	envelope	ENVELOPE
270A	raisedfist	RAISED FIST
270B	raisedh	RAISED HAND
270C	hvictory	VICTORY HAND
270D	hwriting	WRITING HAND
270E	pencillowerright	LOWER RIGHT PENCIL
270F	pencil	PENCIL
2710	pencilupperright	UPPER RIGHT PENCIL
2711	nibwhite	WHITE NIB
2712	nibblack	BLACK NIB
2713	check	CHECK MARK
2714	checkheavy	HEAVY CHECK MARK
2715	multiplicationx	MULTIPLICATION X
2716	multiplicationxheavy	HEAVY MULTIPLICATION X
2717	ballotx	BALLOT X
2718	ballotxheavy	HEAVY BALLOT X
2719	greekcrossoutlined	OUTLINED GREEK CROSS
271A	greekcrossheavy	HEAVY GREEK CROSS
271B	crosscentreopen	OPEN CENTRE CROSS
271C	crosscentreopenheavy	HEAVY OPEN CENTRE CROSS
271D	latincross	LATIN CROSS
271E	latincrossshadowedwhite	SHADOWED WHITE LATIN CROSS
271F	latincrossoutlined	OUTLINED LATIN CROSS
2720	maltesecross	MALTESE CROSS
2721	starofdavid	STAR OF DAVID
2722	asteriskteardropfour	FOUR TEARDROP-SPOKED ASTERISK
2723	asteriskballoonfour	FOUR BALLOON-SPOKED ASTERISK
2724	asteriskballoonheavyfour	HEAVY FOUR BALLOON-SPOKED ASTERISK
2725	asteriskclubfour	FOUR CLUB-SPOKED ASTERISK
2726	starpointedblackfour	BLACK FOUR POINTED STAR
2727	starpointedwhitefour	WHITE FOUR POINTED STAR
2728	sparkles	SPARKLES
2729	staroutlinedstresswhite	STRESS OUTLINED WHITE STAR
272A	starcircledwhite	CIRCLED WHITE STAR
272B	starcentreopenblack	OPEN CENTRE BLACK STAR
272C	starcentreblackwhite	BLACK CENTRE WHITE STAR
272D	staroutlinedblack	OUTLINED BLACK STAR
272E	staroutlinedblackheavy	HEAVY OUTLINED BLACK STAR
272F	starpinwheel	PINWHEEL STAR
2730	starshadowedwhite	SHADOWED WHITE STAR
2731	asteriskheavy	HEAVY ASTERISK
2732	asteriskcentreopen	OPEN CENTRE ASTERISK
2733	spokedasteriskeight	EIGHT SPOKED ASTERISK
2734	starpointedblackeight	EIGHT POINTED BLACK STAR
2735	starpointedpinwheeleight	EIGHT POINTED PINWHEEL STAR
2736	starpointedblacksix	SIX POINTED BLACK STAR
2737	compasstarpointedblackeight	EIGHT POINTED RECTILINEAR BLACK STAR
2738	compasstarpointedblackheavyeight	HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
2739	starpointedblacktwelve	TWELVE POINTED BLACK STAR
273A	asteriskpointedsixteen	SIXTEEN POINTED ASTERISK
273B	asteriskteardrop	TEARDROP-SPOKED ASTERISK
273C	asteriskteardropcentreopen	OPEN CENTRE TEARDROP-SPOKED ASTERISK
273D	asteriskteardropheavy	HEAVY TEARDROP-SPOKED ASTERISK
273E	florettepetalledblackwhitesix	SIX PETALLED BLACK AND WHITE FLORETTE
273F	floretteblack	BLACK FLORETTE
2740	florettewhite	WHITE FLORETTE
2741	floretteoutlinedpetalledblackeight	EIGHT PETALLED OUTLINED BLACK FLORETTE
2742	starcentreopenpointedcircledeight	CIRCLED OPEN CENTRE EIGHT POINTED STAR
2743	asteriskteardroppinwheelheavy	HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK
2744	snowflake	SNOWFLAKE
2745	snowflaketight	TIGHT TRIFOLIATE SNOWFLAKE
2746	chevronsnowflakeheavy	HEAVY CHEVRON SNOWFLAKE
2747	sparkle	SPARKLE
2748	sparkleheavy	HEAVY SPARKLE
2749	asteriskballoon	BALLOON-SPOKED ASTERISK
274A	asteriskteardroppropellereight	EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
274B	asteriskteardroppropellerheavyeight	HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
274C	cross	CROSS MARK
274D	circleshadowedwhite	SHADOWED WHITE CIRCLE
274E	squaredcrossnegative	NEGATIVE SQUARED CROSS MARK
274F	squareshadowlowerrightwhite	LOWER RIGHT DROP-SHADOWED WHITE SQUARE
2750	squareshadowupperrightwhite	UPPER RIGHT DROP-SHADOWED WHITE SQUARE
2751	squarelowerrightshadowedwhite	LOWER RIGHT SHADOWED WHITE SQUARE
2752	squareupperrightshadowedwhite	UPPER RIGHT SHADOWED WHITE SQUARE
2753	questionblackornament	BLACK QUESTION MARK ORNAMENT
2754	questionwhiteornament	WHITE QUESTION MARK ORNAMENT
2755	exclamationwhiteornament	WHITE EXCLAMATION MARK ORNAMENT
2756	diamondminusxblackwhite	BLACK DIAMOND MINUS WHITE X
2757	exclamationheavy	HEAVY EXCLAMATION MARK SYMBOL
2758	verticalbarlight	LIGHT VERTICAL BAR
2759	verticalbarmedium	MEDIUM VERTICAL BAR
275A	verticalbarheavy	HEAVY VERTICAL BAR
275B	commaheavyturnedornament	HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT
275C	commaheavyornament	HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT
275D	commaheavydoubleturnedornament	HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT
275E	commaheavydoubleornament	HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
275F	lowcommaheavyornament	HEAVY LOW SINGLE COMMA QUOTATION MARK ORNAMENT
2760	lowcommaheavydoubleornament	HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT
2761	curvedstemparagraphsignornament	CURVED STEM PARAGRAPH SIGN ORNAMENT
2762	exclamationheavyornament	HEAVY EXCLAMATION MARK ORNAMENT
2763	heartexclamationheavyornament	HEAVY HEART EXCLAMATION MARK ORNAMENT
2764	heartblackheavy	HEAVY BLACK HEART
2765	heartbulletrotatedblackheavy	ROTATED HEAVY BLACK HEART BULLET
2766	floralheart	FLORAL HEART
2767	floralheartbulletrotated	ROTATED FLORAL HEART BULLET
2768	parenthesisleftmediumornament	MEDIUM LEFT PARENTHESIS ORNAMENT
2769	parenthesisrightmediumornament	MEDIUM RIGHT PARENTHESIS ORNAMENT
276A	parenthesisleftflattenedmediumornament	MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
276B	parenthesisrightflattenedmediumornament	MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
276C	bracketleftpointedanglemediumornament	MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
276D	bracketrightpointedanglemediumornament	MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
276E	quotationleftpointedangleheavyornament	HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
276F	quotationrightpointedangleheavyornament	HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
2770	bracketleftpointedangleheavyornament	HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
2771	bracketrightpointedangleheavyornament	HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
2772	bracketshellleftlightornament	LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
2773	bracketshellrightlightornament	LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
2774	curlybracketleftmediumornament	MEDIUM LEFT CURLY BRACKET ORNAMENT
2775	curlybracketrightmediumornament	MEDIUM RIGHT CURLY BRACKET ORNAMENT
2776	onenegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT ONE
2777	twonegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT TWO
2778	threenegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT THREE
2779	fournegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT FOUR
277A	fivenegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT FIVE
277B	sixnegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT SIX
277C	sevennegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
277D	eightnegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
277E	ninenegativecircled	DINGBAT NEGATIVE CIRCLED DIGIT NINE
277F	tennegativecircled	DINGBAT NEGATIVE CIRCLED NUMBER TEN
2780	onesanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT ONE
2781	twosanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT TWO
2782	threesanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT THREE
2783	foursanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
2784	fivesanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
2785	sixsanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT SIX
2786	sevensanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
2787	eightsanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
2788	ninesanscircled	DINGBAT CIRCLED SANS-SERIF DIGIT NINE
2789	tensanscircled	DINGBAT CIRCLED SANS-SERIF NUMBER TEN
278A	onesansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
278B	twosansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
278C	threesansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
278D	foursansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
278E	fivesansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
278F	sixsansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
2790	sevensansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
2791	eightsansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
2792	ninesansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
2793	tensansnegativecircled	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
2794	arrowrightwideheavy	HEAVY WIDE-HEADED RIGHTWARDS ARROW
2795	plussignheavy	HEAVY PLUS SIGN
2796	minussignheavy	HEAVY MINUS SIGN
2797	divisionsignheavy	HEAVY DIVISION SIGN
2798	arrowheavySE	HEAVY SOUTH EAST ARROW
2799	arrowrightheavy	HEAVY RIGHTWARDS ARROW
279A	arrowheavyNE	HEAVY NORTH EAST ARROW
279B	arrowrightpointed	DRAFTING POINT RIGHTWARDS ARROW
279C	arrowrightroundheavy	HEAVY ROUND-TIPPED RIGHTWARDS ARROW
279D	arrowrighttriangle	TRIANGLE-HEADED RIGHTWARDS ARROW
279E	arrowrighttriangleheavy	HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
279F	arrowrighttriangledashed	DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A0	arrowrighttriangledashedheavy	HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A1	arrowrightblack	BLACK RIGHTWARDS ARROW
27A2	arrowheadrightthreeDtoplight	THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
27A3	arrowheadrightthreeDbottomlight	THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
27A4	arrowheadrightblack	BLACK RIGHTWARDS ARROWHEAD
27A5	arrowrightcurvedownblackheavy	HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
27A6	arrowrightcurveupblackheavy	HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
27A7	arrowrightsquatblack	SQUAT BLACK RIGHTWARDS ARROW
27A8	arrowrightpointedblackheavy	HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
27A9	arrowrightrightshadedwhite	RIGHT-SHADED WHITE RIGHTWARDS ARROW
27AA	arrowrightleftshadedwhite	LEFT-SHADED WHITE RIGHTWARDS ARROW
27AB	arrowrightbacktiltedshadowedwhite	BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AC	arrowrightfronttiltedshadowedwhite	FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AD	arrowshadowrightlowerwhiteheavy	HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AE	arrowshadowrightupperwhiteheavy	HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AF	arrowshadowrightnotchedlowerwhite	NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B0	curlyloop	CURLY LOOP
27B1	arrowshadowrightnotchedupperwhite	NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
