# Miscellaneous Mathematical Symbols-A 027C0 - 027EF
27C0	threedimensionalangle	THREE DIMENSIONAL ANGLE
27C1	tricontainingtriwhiteanglesmall	WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE
27C2	perpendicular	PERPENDICULAR
27C3	opensubset	OPEN SUBSET
27C4	opensuperset	OPEN SUPERSET
27C5	bagdelimitersshapeleft	LEFT S-SHAPED BAG DELIMITER
27C6	bagdelimitersshaperight	RIGHT S-SHAPED BAG DELIMITER
27C7	ordotinside	OR WITH DOT INSIDE
27C8	solidussubsetreversepreceding	REVERSE SOLIDUS PRECEDING SUBSET
27C9	solidussupersetpreceding	SUPERSET PRECEDING SOLIDUS
27CA	verticalbarhorizontalstroke	VERTICAL BAR WITH HORIZONTAL STROKE
27CB	risingdiagonal	MATHEMATICAL RISING DIAGONAL
27CC	longdivision	LONG DIVISION
27CD	fallingdiagonal	MATHEMATICAL FALLING DIAGONAL
27CE	dlogicalsquare	SQUARED LOGICAL AND
27CF	dlogicalorsquare	SQUARED LOGICAL OR
27D0	centreddotwhitediamond	WHITE DIAMOND WITH CENTRED DOT
27D1	andwithdot	AND WITH DOT
27D2	elementopeningup	ELEMENT OF OPENING UPWARDS
27D3	lowercornerdotright	LOWER RIGHT CORNER WITH DOT
27D4	cornerdotupleft	UPPER LEFT CORNER WITH DOT
27D5	outerjoinleft	LEFT OUTER JOIN
27D6	outerjoinright	RIGHT OUTER JOIN
27D7	outerjoinfull	FULL OUTER JOIN
27D8	largetackup	LARGE UP TACK
27D9	largetackdown	LARGE DOWN TACK
27DA	turnstileleftrightdbl	LEFT AND RIGHT DOUBLE TURNSTILE
27DB	tackleftright	LEFT AND RIGHT TACK
27DC	multimapleft	LEFT MULTIMAP
27DD	longtackright	LONG RIGHT TACK
27DE	longtackleft	LONG LEFT TACK
27DF	tackcircleaboveup	UP TACK WITH CIRCLE ABOVE
27E0	lozengedividedbyrulehorizontal	LOZENGE DIVIDED BY HORIZONTAL RULE
27E1	convavediamondwhite	WHITE CONCAVE-SIDED DIAMOND
27E2	tickconvavediamondleftwhite	WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK
27E3	tickconvavediamondrightwhite	WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK
27E4	tickleftwhitesquare	WHITE SQUARE WITH LEFTWARDS TICK
27E5	tickrightwhitesquare	WHITE SQUARE WITH RIGHTWARDS TICK
27E6	bracketwhitesquareleft	MATHEMATICAL LEFT WHITE SQUARE BRACKET
27E7	bracketwhitesquareright	MATHEMATICAL RIGHT WHITE SQUARE BRACKET
27E8	bracketangleleft	MATHEMATICAL LEFT ANGLE BRACKET
27E9	bracketangleright	MATHEMATICAL RIGHT ANGLE BRACKET
27EA	bracketangledblleft	MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
27EB	bracketangledblright	MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
27EC	bracketshellwhiteleft	MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET
27ED	bracketshellwhiteright	MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET
27EE	parenflatleft	MATHEMATICAL LEFT FLATTENED PARENTHESIS
27EF	parenflatright	MATHEMATICAL RIGHT FLATTENED PARENTHESIS
