# Braille Patterns 02800 - 028FF
2800	brblank	BRAILLE PATTERN BLANK
2801	dots1	BRAILLE PATTERN DOTS-1
2802	dots2	BRAILLE PATTERN DOTS-2
2803	dots12	BRAILLE PATTERN DOTS-12
2804	dots3	BRAILLE PATTERN DOTS-3
2805	dots13	BRAILLE PATTERN DOTS-13
2806	dots23	BRAILLE PATTERN DOTS-23
2807	dots123	BRAILLE PATTERN DOTS-123
2808	dots4	BRAILLE PATTERN DOTS-4
2809	dots14	BRAILLE PATTERN DOTS-14
280A	dots24	BRAILLE PATTERN DOTS-24
280B	dots124	BRAILLE PATTERN DOTS-124
280C	dots34	BRAILLE PATTERN DOTS-34
280D	dots134	BRAILLE PATTERN DOTS-134
280E	dots234	BRAILLE PATTERN DOTS-234
280F	dots1234	BRAILLE PATTERN DOTS-1234
2810	dots5	BRAILLE PATTERN DOTS-5
2811	dots15	BRAILLE PATTERN DOTS-15
2812	dots25	BRAILLE PATTERN DOTS-25
2813	dots125	BRAILLE PATTERN DOTS-125
2814	dots35	BRAILLE PATTERN DOTS-35
2815	dots135	BRAILLE PATTERN DOTS-135
2816	dots235	BRAILLE PATTERN DOTS-235
2817	dots1235	BRAILLE PATTERN DOTS-1235
2818	dots45	BRAILLE PATTERN DOTS-45
2819	dots145	BRAILLE PATTERN DOTS-145
281A	dots245	BRAILLE PATTERN DOTS-245
281B	dots1245	BRAILLE PATTERN DOTS-1245
281C	dots345	BRAILLE PATTERN DOTS-345
281D	dots1345	BRAILLE PATTERN DOTS-1345
281E	dots2345	BRAILLE PATTERN DOTS-2345
281F	dots12345	BRAILLE PATTERN DOTS-12345
2820	dots6	BRAILLE PATTERN DOTS-6
2821	dots16	BRAILLE PATTERN DOTS-16
2822	dots26	BRAILLE PATTERN DOTS-26
2823	dots126	BRAILLE PATTERN DOTS-126
2824	dots36	BRAILLE PATTERN DOTS-36
2825	dots136	BRAILLE PATTERN DOTS-136
2826	dots236	BRAILLE PATTERN DOTS-236
2827	dots1236	BRAILLE PATTERN DOTS-1236
2828	dots46	BRAILLE PATTERN DOTS-46
2829	dots146	BRAILLE PATTERN DOTS-146
282A	dots246	BRAILLE PATTERN DOTS-246
282B	dots1246	BRAILLE PATTERN DOTS-1246
282C	dots346	BRAILLE PATTERN DOTS-346
282D	dots1346	BRAILLE PATTERN DOTS-1346
282E	dots2346	BRAILLE PATTERN DOTS-2346
282F	dots12346	BRAILLE PATTERN DOTS-12346
2830	dots56	BRAILLE PATTERN DOTS-56
2831	dots156	BRAILLE PATTERN DOTS-156
2832	dots256	BRAILLE PATTERN DOTS-256
2833	dots1256	BRAILLE PATTERN DOTS-1256
2834	dots356	BRAILLE PATTERN DOTS-356
2835	dots1356	BRAILLE PATTERN DOTS-1356
2836	dots2356	BRAILLE PATTERN DOTS-2356
2837	dots12356	BRAILLE PATTERN DOTS-12356
2838	dots456	BRAILLE PATTERN DOTS-456
2839	dots1456	BRAILLE PATTERN DOTS-1456
283A	dots2456	BRAILLE PATTERN DOTS-2456
283B	dots12456	BRAILLE PATTERN DOTS-12456
283C	dots3456	BRAILLE PATTERN DOTS-3456
283D	dots13456	BRAILLE PATTERN DOTS-13456
283E	dots23456	BRAILLE PATTERN DOTS-23456
283F	dots123456	BRAILLE PATTERN DOTS-123456
2840	dots7	BRAILLE PATTERN DOTS-7
2841	dots17	BRAILLE PATTERN DOTS-17
2842	dots27	BRAILLE PATTERN DOTS-27
2843	dots127	BRAILLE PATTERN DOTS-127
2844	dots37	BRAILLE PATTERN DOTS-37
2845	dots137	BRAILLE PATTERN DOTS-137
2846	dots237	BRAILLE PATTERN DOTS-237
2847	dots1237	BRAILLE PATTERN DOTS-1237
2848	dots47	BRAILLE PATTERN DOTS-47
2849	dots147	BRAILLE PATTERN DOTS-147
284A	dots247	BRAILLE PATTERN DOTS-247
284B	dots1247	BRAILLE PATTERN DOTS-1247
284C	dots347	BRAILLE PATTERN DOTS-347
284D	dots1347	BRAILLE PATTERN DOTS-1347
284E	dots2347	BRAILLE PATTERN DOTS-2347
284F	dots12347	BRAILLE PATTERN DOTS-12347
2850	dots57	BRAILLE PATTERN DOTS-57
2851	dots157	BRAILLE PATTERN DOTS-157
2852	dots257	BRAILLE PATTERN DOTS-257
2853	dots1257	BRAILLE PATTERN DOTS-1257
2854	dots357	BRAILLE PATTERN DOTS-357
2855	dots1357	BRAILLE PATTERN DOTS-1357
2856	dots2357	BRAILLE PATTERN DOTS-2357
2857	dots12357	BRAILLE PATTERN DOTS-12357
2858	dots457	BRAILLE PATTERN DOTS-457
2859	dots1457	BRAILLE PATTERN DOTS-1457
285A	dots2457	BRAILLE PATTERN DOTS-2457
285B	dots12457	BRAILLE PATTERN DOTS-12457
285C	dots3457	BRAILLE PATTERN DOTS-3457
285D	dots13457	BRAILLE PATTERN DOTS-13457
285E	dots23457	BRAILLE PATTERN DOTS-23457
285F	dots123457	BRAILLE PATTERN DOTS-123457
2860	dots67	BRAILLE PATTERN DOTS-67
2861	dots167	BRAILLE PATTERN DOTS-167
2862	dots267	BRAILLE PATTERN DOTS-267
2863	dots1267	BRAILLE PATTERN DOTS-1267
2864	dots367	BRAILLE PATTERN DOTS-367
2865	dots1367	BRAILLE PATTERN DOTS-1367
2866	dots2367	BRAILLE PATTERN DOTS-2367
2867	dots12367	BRAILLE PATTERN DOTS-12367
2868	dots467	BRAILLE PATTERN DOTS-467
2869	dots1467	BRAILLE PATTERN DOTS-1467
286A	dots2467	BRAILLE PATTERN DOTS-2467
286B	dots12467	BRAILLE PATTERN DOTS-12467
286C	dots3467	BRAILLE PATTERN DOTS-3467
286D	dots13467	BRAILLE PATTERN DOTS-13467
286E	dots23467	BRAILLE PATTERN DOTS-23467
286F	dots123467	BRAILLE PATTERN DOTS-123467
2870	dots567	BRAILLE PATTERN DOTS-567
2871	dots1567	BRAILLE PATTERN DOTS-1567
2872	dots2567	BRAILLE PATTERN DOTS-2567
2873	dots12567	BRAILLE PATTERN DOTS-12567
2874	dots3567	BRAILLE PATTERN DOTS-3567
2875	dots13567	BRAILLE PATTERN DOTS-13567
2876	dots23567	BRAILLE PATTERN DOTS-23567
2877	dots123567	BRAILLE PATTERN DOTS-123567
2878	dots4567	BRAILLE PATTERN DOTS-4567
2879	dots14567	BRAILLE PATTERN DOTS-14567
287A	dots24567	BRAILLE PATTERN DOTS-24567
287B	dots124567	BRAILLE PATTERN DOTS-124567
287C	dots34567	BRAILLE PATTERN DOTS-34567
