# Glagolitic 02C00 - 02C5F
2C00	Azu	GLAGOLITIC CAPITAL LETTER AZU
2C01	Buky	GLAGOLITIC CAPITAL LETTER BUKY
2C02	Vede	GLAGOLITIC CAPITAL LETTER VEDE
2C03	Glagoli	GLAGOLITIC CAPITAL LETTER GLAGOLI
2C04	Dobro	GLAGOLITIC CAPITAL LETTER DOBRO
2C05	Yestu	GLAGOLITIC CAPITAL LETTER YESTU
2C06	Zhivete	GLAGOLITIC CAPITAL LETTER ZHIVETE
2C07	Dzelo	GLAGOLITIC CAPITAL LETTER DZELO
2C08	Zemlja	GLAGOLITIC CAPITAL LETTER ZEMLJA
2C09	Izhe	GLAGOLITIC CAPITAL LETTER IZHE
2C0A	Initializhe	GLAGOLITIC CAPITAL LETTER INITIAL IZHE
2C0B	glag:I	GLAGOLITIC CAPITAL LETTER I
2C0C	Djervi	GLAGOLITIC CAPITAL LETTER DJERVI
2C0D	Kako	GLAGOLITIC CAPITAL LETTER KAKO
2C0E	Ljudije	GLAGOLITIC CAPITAL LETTER LJUDIJE
2C0F	Myslite	GLAGOLITIC CAPITAL LETTER MYSLITE
2C10	Nashi	GLAGOLITIC CAPITAL LETTER NASHI
2C11	Onu	GLAGOLITIC CAPITAL LETTER ONU
2C12	Pokoji	GLAGOLITIC CAPITAL LETTER POKOJI
2C13	Ritsi	GLAGOLITIC CAPITAL LETTER RITSI
2C14	Slovo	GLAGOLITIC CAPITAL LETTER SLOVO
2C15	Tvrido	GLAGOLITIC CAPITAL LETTER TVRIDO
2C16	Uku	GLAGOLITIC CAPITAL LETTER UKU
2C17	Fritu	GLAGOLITIC CAPITAL LETTER FRITU
2C18	Heru	GLAGOLITIC CAPITAL LETTER HERU
2C19	Otu	GLAGOLITIC CAPITAL LETTER OTU
2C1A	Pe	GLAGOLITIC CAPITAL LETTER PE
2C1B	Shta	GLAGOLITIC CAPITAL LETTER SHTA
2C1C	Tsi	GLAGOLITIC CAPITAL LETTER TSI
2C1D	Chrivi	GLAGOLITIC CAPITAL LETTER CHRIVI
2C1E	Sha	GLAGOLITIC CAPITAL LETTER SHA
2C1F	Yeru	GLAGOLITIC CAPITAL LETTER YERU
2C20	Yeri	GLAGOLITIC CAPITAL LETTER YERI
2C21	Yati	GLAGOLITIC CAPITAL LETTER YATI
2C22	Spideryha	GLAGOLITIC CAPITAL LETTER SPIDERY HA
2C23	Yu	GLAGOLITIC CAPITAL LETTER YU
2C24	Smallyus	GLAGOLITIC CAPITAL LETTER SMALL YUS
2C25	Smallyuswithtail	GLAGOLITIC CAPITAL LETTER SMALL YUS WITH TAIL
2C26	Yo	GLAGOLITIC CAPITAL LETTER YO
2C27	Iotatedsmallyus	GLAGOLITIC CAPITAL LETTER IOTATED SMALL YUS
2C28	Bigyus	GLAGOLITIC CAPITAL LETTER BIG YUS
2C29	Iotatedbigyus	GLAGOLITIC CAPITAL LETTER IOTATED BIG YUS
2C2A	Fita	GLAGOLITIC CAPITAL LETTER FITA
2C2B	Izhitsa	GLAGOLITIC CAPITAL LETTER IZHITSA
2C2C	Shtapic	GLAGOLITIC CAPITAL LETTER SHTAPIC
2C2D	Trokutastia	GLAGOLITIC CAPITAL LETTER TROKUTASTI A
