# Georgian Supplement 02D00 - 02D2F
2D00	anGeok	GEORGIAN SMALL LETTER AN
2D01	banGeok	GEORGIAN SMALL LETTER BAN
2D02	ganGeok	GEORGIAN SMALL LETTER GAN
2D03	donGeok	GEORGIAN SMALL LETTER DON
2D04	enGeok	GEORGIAN SMALL LETTER EN
2D05	vinGeok	GEORGIAN SMALL LETTER VIN
2D06	zenGeok	GEORGIAN SMALL LETTER ZEN
2D07	tanGeok	GEORGIAN SMALL LETTER TAN
2D08	inGeok	GEORGIAN SMALL LETTER IN
2D09	kanGeok	GEORGIAN SMALL LETTER KAN
2D0A	lasGeok	GEORGIAN SMALL LETTER LAS
2D0B	manGeok	GEORGIAN SMALL LETTER MAN
2D0C	narGeok	GEORGIAN SMALL LETTER NAR
2D0D	onGeok	GEORGIAN SMALL LETTER ON
2D0E	parGeok	GEORGIAN SMALL LETTER PAR
2D0F	zharGeok	GEORGIAN SMALL LETTER ZHAR
2D10	raeGeok	GEORGIAN SMALL LETTER RAE
2D11	sanGeok	GEORGIAN SMALL LETTER SAN
2D12	tarGeok	GEORGIAN SMALL LETTER TAR
2D13	unGeok	GEORGIAN SMALL LETTER UN
2D14	pharGeok	GEORGIAN SMALL LETTER PHAR
2D15	kharGeok	GEORGIAN SMALL LETTER KHAR
2D16	ghanGeok	GEORGIAN SMALL LETTER GHAN
2D17	qarGeok	GEORGIAN SMALL LETTER QAR
2D18	shinGeok	GEORGIAN SMALL LETTER SHIN
2D19	chinGeok	GEORGIAN SMALL LETTER CHIN
2D1A	canGeok	GEORGIAN SMALL LETTER CAN
2D1B	jilGeok	GEORGIAN SMALL LETTER JIL
2D1C	cilGeok	GEORGIAN SMALL LETTER CIL
2D1D	charGeok	GEORGIAN SMALL LETTER CHAR
2D1E	xanGeok	GEORGIAN SMALL LETTER XAN
2D1F	jhanGeok	GEORGIAN SMALL LETTER JHAN
2D20	haeGeok	GEORGIAN SMALL LETTER HAE
2D21	heGeok	GEORGIAN SMALL LETTER HE
2D22	hieGeok	GEORGIAN SMALL LETTER HIE
2D23	weGeok	GEORGIAN SMALL LETTER WE
2D24	harGeok	GEORGIAN SMALL LETTER HAR
2D25	hoeGeok	GEORGIAN SMALL LETTER HOE
2D27	ynGeok	GEORGIAN SMALL LETTER YN
2D2D	aenGeok	GEORGIAN SMALL LETTER AEN
