# Hiragana 03040 - 0309F
3041	hira:asmall	HIRAGANA LETTER SMALL A
3042	hira:a	HIRAGANA LETTER A
3043	hira:ismall	HIRAGANA LETTER SMALL I
3044	hira:i	HIRAGANA LETTER I
3045	hira:usmall	HIRAGANA LETTER SMALL U
3046	hira:u	HIRAGANA LETTER U
3047	hira:esmall	HIRAGANA LETTER SMALL E
3048	hira:e	HIRAGANA LETTER E
3049	hira:osmall	HIRAGANA LETTER SMALL O
304A	hira:o	HIRAGANA LETTER O
304B	hira:ka	HIRAGANA LETTER KA
304C	hira:ga	HIRAGANA LETTER GA
304D	hira:ki	HIRAGANA LETTER KI
304E	hira:gi	HIRAGANA LETTER GI
304F	hira:ku	HIRAGANA LETTER KU
3050	hira:gu	HIRAGANA LETTER GU
3051	hira:ke	HIRAGANA LETTER KE
3052	hira:ge	HIRAGANA LETTER GE
3053	hira:ko	HIRAGANA LETTER KO
3054	hira:go	HIRAGANA LETTER GO
3055	hira:sa	HIRAGANA LETTER SA
3056	hira:za	HIRAGANA LETTER ZA
3057	hira:si	HIRAGANA LETTER SI
3058	hira:zi	HIRAGANA LETTER ZI
3059	hira:su	HIRAGANA LETTER SU
305A	hira:zu	HIRAGANA LETTER ZU
305B	hira:se	HIRAGANA LETTER SE
305C	hira:ze	HIRAGANA LETTER ZE
305D	hira:so	HIRAGANA LETTER SO
305E	hira:zo	HIRAGANA LETTER ZO
305F	hira:ta	HIRAGANA LETTER TA
3060	hira:da	HIRAGANA LETTER DA
3061	hira:ti	HIRAGANA LETTER TI
3062	hira:di	HIRAGANA LETTER DI
3063	hira:tusmall	HIRAGANA LETTER SMALL TU
3064	hira:tu	HIRAGANA LETTER TU
3065	hira:du	HIRAGANA LETTER DU
3066	hira:te	HIRAGANA LETTER TE
3067	hira:de	HIRAGANA LETTER DE
3068	hira:to	HIRAGANA LETTER TO
3069	hira:do	HIRAGANA LETTER DO
306A	hira:na	HIRAGANA LETTER NA
306B	hira:ni	HIRAGANA LETTER NI
306C	hira:nu	HIRAGANA LETTER NU
306D	hira:ne	HIRAGANA LETTER NE
306E	hira:no	HIRAGANA LETTER NO
306F	hira:ha	HIRAGANA LETTER HA
3070	hira:ba	HIRAGANA LETTER BA
3071	hira:pa	HIRAGANA LETTER PA
3072	hira:hi	HIRAGANA LETTER HI
3073	hira:bi	HIRAGANA LETTER BI
3074	hira:pi	HIRAGANA LETTER PI
3075	hira:hu	HIRAGANA LETTER HU
3076	hira:bu	HIRAGANA LETTER BU
3077	hira:pu	HIRAGANA LETTER PU
3078	hira:he	HIRAGANA LETTER HE
3079	hira:be	HIRAGANA LETTER BE
307A	hira:pe	HIRAGANA LETTER PE
307B	hira:ho	HIRAGANA LETTER HO
307C	hira:bo	HIRAGANA LETTER BO
307D	hira:po	HIRAGANA LETTER PO
307E	hira:ma	HIRAGANA LETTER MA
307F	hira:mi	HIRAGANA LETTER MI
3080	hira:mu	HIRAGANA LETTER MU
3081	hira:me	HIRAGANA LETTER ME
3082	hira:mo	HIRAGANA LETTER MO
3083	hira:yasmall	HIRAGANA LETTER SMALL YA
3084	hira:ya	HIRAGANA LETTER YA
3085	hira:yusmall	HIRAGANA LETTER SMALL YU
3086	hira:yu	HIRAGANA LETTER YU
3087	hira:yosmall	HIRAGANA LETTER SMALL YO
3088	hira:yo	HIRAGANA LETTER YO
3089	hira:ra	HIRAGANA LETTER RA
308A	hira:ri	HIRAGANA LETTER RI
308B	hira:ru	HIRAGANA LETTER RU
308C	hira:re	HIRAGANA LETTER RE
308D	hira:ro	HIRAGANA LETTER RO
308E	hira:wasmall	HIRAGANA LETTER SMALL WA
308F	hira:wa	HIRAGANA LETTER WA
3090	hira:wi	HIRAGANA LETTER WI
3091	hira:we	HIRAGANA LETTER WE
3092	hira:wo	HIRAGANA LETTER WO
3093	hira:n	HIRAGANA LETTER N
3094	hira:vu	HIRAGANA LETTER VU
3095	hira:kasmall	HIRAGANA LETTER SMALL KA
3096	hira:kesmall	HIRAGANA LETTER SMALL KE
3099	hira:voicedmarkkanacmb	COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK
309A	hira:semivoicedmarkkanacmb	COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
309B	hira:voicedmarkkana	KATAKANA-HIRAGANA VOICED SOUND MARK
309C	hira:semivoicedmarkkana	KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
309D	hira:iterationhiragana	HIRAGANA ITERATION MARK
309E	hira:voicediterationhiragana	HIRAGANA VOICED ITERATION MARK
309F	hira:digraph yori	HIRAGANA DIGRAPH YORI
