# Katakana 030A0 - 030FF
30A0	kata:doublehyphenkana	KATAKANA-HIRAGANA DOUBLE HYPHEN
30A1	kata:asmall	KATAKANA LETTER SMALL A
30A2	kata:a	KATAKANA LETTER A
30A3	kata:ismall	KATAKANA LETTER SMALL I
30A4	kata:i	KATAKANA LETTER I
30A5	kata:usmall	KATAKANA LETTER SMALL U
30A6	kata:u	KATAKANA LETTER U
30A7	kata:esmall	KATAKANA LETTER SMALL E
30A8	kata:e	KATAKANA LETTER E
30A9	kata:osmall	KATAKANA LETTER SMALL O
30AA	kata:o	KATAKANA LETTER O
30AB	kata:ka	KATAKANA LETTER KA
30AC	kata:ga	KATAKANA LETTER GA
30AD	kata:ki	KATAKANA LETTER KI
30AE	kata:gi	KATAKANA LETTER GI
30AF	kata:ku	KATAKANA LETTER KU
30B0	kata:gu	KATAKANA LETTER GU
30B1	kata:ke	KATAKANA LETTER KE
30B2	kata:ge	KATAKANA LETTER GE
30B3	kata:ko	KATAKANA LETTER KO
30B4	kata:go	KATAKANA LETTER GO
30B5	kata:sa	KATAKANA LETTER SA
30B6	kata:za	KATAKANA LETTER ZA
30B7	kata:si	KATAKANA LETTER SI
30B8	kata:zi	KATAKANA LETTER ZI
30B9	kata:su	KATAKANA LETTER SU
30BA	kata:zu	KATAKANA LETTER ZU
30BB	kata:se	KATAKANA LETTER SE
30BC	kata:ze	KATAKANA LETTER ZE
30BD	kata:so	KATAKANA LETTER SO
30BE	kata:zo	KATAKANA LETTER ZO
30BF	kata:ta	KATAKANA LETTER TA
30C0	kata:da	KATAKANA LETTER DA
30C1	kata:ti	KATAKANA LETTER TI
30C2	kata:di	KATAKANA LETTER DI
30C3	kata:tusmall	KATAKANA LETTER SMALL TU
30C4	kata:tu	KATAKANA LETTER TU
30C5	kata:du	KATAKANA LETTER DU
30C6	kata:te	KATAKANA LETTER TE
30C7	kata:de	KATAKANA LETTER DE
30C8	kata:to	KATAKANA LETTER TO
30C9	kata:do	KATAKANA LETTER DO
30CA	kata:na	KATAKANA LETTER NA
30CB	kata:ni	KATAKANA LETTER NI
30CC	kata:nu	KATAKANA LETTER NU
30CD	kata:ne	KATAKANA LETTER NE
30CE	kata:no	KATAKANA LETTER NO
30CF	kata:ha	KATAKANA LETTER HA
30D0	kata:ba	KATAKANA LETTER BA
30D1	kata:pa	KATAKANA LETTER PA
30D2	kata:hi	KATAKANA LETTER HI
30D3	kata:bi	KATAKANA LETTER BI
30D4	kata:pi	KATAKANA LETTER PI
30D5	kata:hu	KATAKANA LETTER HU
30D6	kata:bu	KATAKANA LETTER BU
30D7	kata:pu	KATAKANA LETTER PU
30D8	kata:he	KATAKANA LETTER HE
30D9	kata:be	KATAKANA LETTER BE
30DA	kata:pe	KATAKANA LETTER PE
30DB	kata:ho	KATAKANA LETTER HO
30DC	kata:bo	KATAKANA LETTER BO
30DD	kata:po	KATAKANA LETTER PO
30DE	kata:ma	KATAKANA LETTER MA
30DF	kata:mi	KATAKANA LETTER MI
30E0	kata:mu	KATAKANA LETTER MU
30E1	kata:me	KATAKANA LETTER ME
30E2	kata:mo	KATAKANA LETTER MO
30E3	kata:yasmall	KATAKANA LETTER SMALL YA
30E4	kata:ya	KATAKANA LETTER YA
30E5	kata:yusmall	KATAKANA LETTER SMALL YU
30E6	kata:yu	KATAKANA LETTER YU
30E7	kata:yosmall	KATAKANA LETTER SMALL YO
30E8	kata:yo	KATAKANA LETTER YO
30E9	kata:ra	KATAKANA LETTER RA
30EA	kata:ri	KATAKANA LETTER RI
30EB	kata:ru	KATAKANA LETTER RU
30EC	kata:re	KATAKANA LETTER RE
30ED	kata:ro	KATAKANA LETTER RO
30EE	kata:wasmall	KATAKANA LETTER SMALL WA
30EF	kata:wa	KATAKANA LETTER WA
30F0	kata:wi	KATAKANA LETTER WI
30F1	kata:we	KATAKANA LETTER WE
30F2	kata:wo	KATAKANA LETTER WO
30F3	kata:n	KATAKANA LETTER N
30F4	kata:vu	KATAKANA LETTER VU
30F5	kata:kasmall	KATAKANA LETTER SMALL KA
30F6	kata:kesmall	KATAKANA LETTER SMALL KE
30F7	kata:va	KATAKANA LETTER VA
30F8	kata:vi	KATAKANA LETTER VI
30F9	kata:ve	KATAKANA LETTER VE
30FA	kata:vo	KATAKANA LETTER VO
30FB	kata:middledot	KATAKANA MIDDLE DOT
30FC	kata:prolongedkana	KATAKANA-HIRAGANA PROLONGED SOUND MARK
30FD	kata:iteration	KATAKANA ITERATION MARK
30FE	kata:voicediteration	KATAKANA VOICED ITERATION MARK
30FF	kata:digraphkoto	KATAKANA DIGRAPH KOTO
