# Bopomofo 03100 - 0312F
3105	bopo:b	BOPOMOFO LETTER B
3106	bopo:p	BOPOMOFO LETTER P
3107	bopo:m	BOPOMOFO LETTER M
3108	bopo:f	BOPOMOFO LETTER F
3109	bopo:d	BOPOMOFO LETTER D
310A	bopo:t	BOPOMOFO LETTER T
310B	bopo:n	BOPOMOFO LETTER N
310C	bopo:l	BOPOMOFO LETTER L
310D	bopo:g	BOPOMOFO LETTER G
310E	bopo:k	BOPOMOFO LETTER K
310F	bopo:h	BOPOMOFO LETTER H
3110	bopo:j	BOPOMOFO LETTER J
3111	bopo:q	BOPOMOFO LETTER Q
3112	bopo:x	BOPOMOFO LETTER X
3113	bopo:zh	BOPOMOFO LETTER ZH
3114	bopo:ch	BOPOMOFO LETTER CH
3115	bopo:sh	BOPOMOFO LETTER SH
3116	bopo:r	BOPOMOFO LETTER R
3117	bopo:z	BOPOMOFO LETTER Z
3118	bopo:c	BOPOMOFO LETTER C
3119	bopo:s	BOPOMOFO LETTER S
311A	bopo:a	BOPOMOFO LETTER A
311B	bopo:o	BOPOMOFO LETTER O
311C	bopo:e	BOPOMOFO LETTER E
311D	bopo:eh	BOPOMOFO LETTER EH
311E	bopo:ai	BOPOMOFO LETTER AI
311F	bopo:ei	BOPOMOFO LETTER EI
3120	bopo:au	BOPOMOFO LETTER AU
3121	bopo:ou	BOPOMOFO LETTER OU
3122	bopo:an	BOPOMOFO LETTER AN
3123	bopo:en	BOPOMOFO LETTER EN
3124	bopo:ang	BOPOMOFO LETTER ANG
3125	bopo:eng	BOPOMOFO LETTER ENG
3126	bopo:er	BOPOMOFO LETTER ER
3127	bopo:i	BOPOMOFO LETTER I
3128	bopo:u	BOPOMOFO LETTER U
3129	bopo:iu	BOPOMOFO LETTER IU
312A	bopo:v	BOPOMOFO LETTER V
312B	bopo:ng	BOPOMOFO LETTER NG
312C	bopo:gn	BOPOMOFO LETTER GN
312D	bopo:ih	BOPOMOFO LETTER IH
312E	bopo:owithdotabove	BOPOMOFO LETTER O WITH DOT ABOVE
312F	bopo:nn	BOPOMOFO LETTER NN
