# Hangul Compatibility Jamo 03130 - 0318F
3131	ko:kiyeok	HANGUL LETTER KIYEOK
3132	ko:ssangkiyeok	HANGUL LETTER SSANGKIYEOK
3133	ko:kiyeoksios	HANGUL LETTER KIYEOK-SIOS
3134	ko:nieun	HANGUL LETTER NIEUN
3135	ko:nieuncieuc	HANGUL LETTER NIEUN-CIEUC
3136	ko:nieunhieuh	HANGUL LETTER NIEUN-HIEUH
3137	ko:tikeut	HANGUL LETTER TIKEUT
3138	ko:ssangtikeut	HANGUL LETTER SSANGTIKEUT
3139	ko:rieul	HANGUL LETTER RIEUL
313A	ko:rieulkiyeok	HANGUL LETTER RIEUL-KIYEOK
313B	ko:rieulmieum	HANGUL LETTER RIEUL-MIEUM
313C	ko:rieulpieup	HANGUL LETTER RIEUL-PIEUP
313D	ko:rieulsios	HANGUL LETTER RIEUL-SIOS
313E	ko:rieulthieuth	HANGUL LETTER RIEUL-THIEUTH
313F	ko:rieulphieuph	HANGUL LETTER RIEUL-PHIEUPH
3140	ko:rieulhieuh	HANGUL LETTER RIEUL-HIEUH
3141	ko:mieum	HANGUL LETTER MIEUM
3142	ko:pieup	HANGUL LETTER PIEUP
3143	ko:ssangpieup	HANGUL LETTER SSANGPIEUP
3144	ko:pieupsios	HANGUL LETTER PIEUP-SIOS
3145	ko:sios	HANGUL LETTER SIOS
3146	ko:ssangsios	HANGUL LETTER SSANGSIOS
3147	ko:ieung	HANGUL LETTER IEUNG
3148	ko:cieuc	HANGUL LETTER CIEUC
3149	ko:ssangcieuc	HANGUL LETTER SSANGCIEUC
314A	ko:chieuch	HANGUL LETTER CHIEUCH
314B	ko:khieukh	HANGUL LETTER KHIEUKH
314C	ko:thieuth	HANGUL LETTER THIEUTH
314D	ko:phieuph	HANGUL LETTER PHIEUPH
314E	ko:hieuh	HANGUL LETTER HIEUH
314F	ko:a	HANGUL LETTER A
3150	ko:ae	HANGUL LETTER AE
3151	ko:ya	HANGUL LETTER YA
3152	ko:yae	HANGUL LETTER YAE
3153	ko:eo	HANGUL LETTER EO
3154	ko:e	HANGUL LETTER E
3155	ko:yeo	HANGUL LETTER YEO
3156	ko:ye	HANGUL LETTER YE
3157	ko:o	HANGUL LETTER O
3158	ko:wa	HANGUL LETTER WA
3159	ko:wae	HANGUL LETTER WAE
315A	ko:oe	HANGUL LETTER OE
315B	ko:yo	HANGUL LETTER YO
315C	ko:u	HANGUL LETTER U
315D	ko:weo	HANGUL LETTER WEO
315E	ko:we	HANGUL LETTER WE
315F	ko:wi	HANGUL LETTER WI
3160	ko:yu	HANGUL LETTER YU
3161	ko:eu	HANGUL LETTER EU
3162	ko:yi	HANGUL LETTER YI
3163	ko:i	HANGUL LETTER I
3164	ko:filler	HANGUL FILLER
3165	ko:ssangnieun	HANGUL LETTER SSANGNIEUN
3166	ko:nieuntikeut	HANGUL LETTER NIEUN-TIKEUT
3167	ko:nieunsios	HANGUL LETTER NIEUN-SIOS
3168	ko:nieunpansios	HANGUL LETTER NIEUN-PANSIOS
3169	ko:rieulkiyeoksios	HANGUL LETTER RIEUL-KIYEOK-SIOS
316A	ko:rieultikeut	HANGUL LETTER RIEUL-TIKEUT
316B	ko:rieulpieupsios	HANGUL LETTER RIEUL-PIEUP-SIOS
316C	ko:rieulpansios	HANGUL LETTER RIEUL-PANSIOS
316D	ko:rieulyeorinhieuh	HANGUL LETTER RIEUL-YEORINHIEUH
316E	ko:mieumpieup	HANGUL LETTER MIEUM-PIEUP
316F	ko:mieumsios	HANGUL LETTER MIEUM-SIOS
3170	ko:mieumpansios	HANGUL LETTER MIEUM-PANSIOS
3171	ko:kapyeounmieum	HANGUL LETTER KAPYEOUNMIEUM
3172	ko:pieupkiyeok	HANGUL LETTER PIEUP-KIYEOK
3173	ko:pieuptikeut	HANGUL LETTER PIEUP-TIKEUT
3174	ko:pieupsioskiyeok	HANGUL LETTER PIEUP-SIOS-KIYEOK
3175	ko:pieupsiostikeut	HANGUL LETTER PIEUP-SIOS-TIKEUT
3176	ko:pieupcieuc	HANGUL LETTER PIEUP-CIEUC
3177	ko:pieupthieuth	HANGUL LETTER PIEUP-THIEUTH
3178	ko:kapyeounpieup	HANGUL LETTER KAPYEOUNPIEUP
3179	ko:kapyeounssangpieup	HANGUL LETTER KAPYEOUNSSANGPIEUP
317A	ko:sioskiyeok	HANGUL LETTER SIOS-KIYEOK
317B	ko:siosnieun	HANGUL LETTER SIOS-NIEUN
317C	ko:siostikeut	HANGUL LETTER SIOS-TIKEUT
317D	ko:siospieup	HANGUL LETTER SIOS-PIEUP
317E	ko:sioscieuc	HANGUL LETTER SIOS-CIEUC
317F	ko:pansios	HANGUL LETTER PANSIOS
3180	ko:ssangieung	HANGUL LETTER SSANGIEUNG
3181	ko:yesieung	HANGUL LETTER YESIEUNG
3182	ko:yesieungsios	HANGUL LETTER YESIEUNG-SIOS
3183	ko:yesieungpansios	HANGUL LETTER YESIEUNG-PANSIOS
3184	ko:kapyeounphieuph	HANGUL LETTER KAPYEOUNPHIEUPH
3185	ko:ssanghieuh	HANGUL LETTER SSANGHIEUH
3186	ko:yeorinhieuh	HANGUL LETTER YEORINHIEUH
3187	ko:yoya	HANGUL LETTER YO-YA
3188	ko:yoyae	HANGUL LETTER YO-YAE
3189	ko:yoi	HANGUL LETTER YO-I
318A	ko:yuyeo	HANGUL LETTER YU-YEO
318B	ko:yuye	HANGUL LETTER YU-YE
318C	ko:yui	HANGUL LETTER YU-I
318D	ko:araea	HANGUL LETTER ARAEA
318E	ko:araeae	HANGUL LETTER ARAEAE
