# Enclosed CJK Letters and Months 03200 - 032FF
3200	hangulkiyeokparen	PARENTHESIZED HANGUL KIYEOK
3201	hangulnieunparen	PARENTHESIZED HANGUL NIEUN
3202	hangultikeutparen	PARENTHESIZED HANGUL TIKEUT
3203	hangulrieulparen	PARENTHESIZED HANGUL RIEUL
3204	hangulmieumparen	PARENTHESIZED HANGUL MIEUM
3205	hangulpieupparen	PARENTHESIZED HANGUL PIEUP
3206	hangulsiosparen	PARENTHESIZED HANGUL SIOS
3207	hangulieungparen	PARENTHESIZED HANGUL IEUNG
3208	hangulcieucparen	PARENTHESIZED HANGUL CIEUC
3209	hangulchieuchparen	PARENTHESIZED HANGUL CHIEUCH
320A	hangulkhieukhparen	PARENTHESIZED HANGUL KHIEUKH
320B	hangulthieuthparen	PARENTHESIZED HANGUL THIEUTH
320C	hangulphieuphparen	PARENTHESIZED HANGUL PHIEUPH
320D	hangulhieuhparen	PARENTHESIZED HANGUL HIEUH
320E	hangulkiyeokaparen	PARENTHESIZED HANGUL KIYEOK A
320F	hangulnieunaparen	PARENTHESIZED HANGUL NIEUN A
3210	hangultikeutaparen	PARENTHESIZED HANGUL TIKEUT A
3211	hangulrieulaparen	PARENTHESIZED HANGUL RIEUL A
3212	hangulmieumaparen	PARENTHESIZED HANGUL MIEUM A
3213	hangulpieupaparen	PARENTHESIZED HANGUL PIEUP A
3214	hangulsiosaparen	PARENTHESIZED HANGUL SIOS A
3215	hangulieungaparen	PARENTHESIZED HANGUL IEUNG A
3216	hangulcieucaparen	PARENTHESIZED HANGUL CIEUC A
3217	hangulchieuchaparen	PARENTHESIZED HANGUL CHIEUCH A
3218	hangulkhieukhaparen	PARENTHESIZED HANGUL KHIEUKH A
3219	hangulthieuthaparen	PARENTHESIZED HANGUL THIEUTH A
321A	hangulphieuphaparen	PARENTHESIZED HANGUL PHIEUPH A
321B	hangulhieuhaparen	PARENTHESIZED HANGUL HIEUH A
321C	hangulcieucuparen	PARENTHESIZED HANGUL CIEUC U
321D	ojeonparen	PARENTHESIZED KOREAN CHARACTER OJEON
321E	ohuparen	PARENTHESIZED KOREAN CHARACTER O HU
3220	oneideographicparen	PARENTHESIZED IDEOGRAPH ONE
3221	twoideographicparen	PARENTHESIZED IDEOGRAPH TWO
3222	threeideographicparen	PARENTHESIZED IDEOGRAPH THREE
3223	fourideographicparen	PARENTHESIZED IDEOGRAPH FOUR
3224	fiveideographicparen	PARENTHESIZED IDEOGRAPH FIVE
3225	sixideographicparen	PARENTHESIZED IDEOGRAPH SIX
3226	sevenideographicparen	PARENTHESIZED IDEOGRAPH SEVEN
3227	eightideographicparen	PARENTHESIZED IDEOGRAPH EIGHT
