# CJK Compatibility 03300 - 033FF
3300	apaatosquare	SQUARE APAATO
3301	aruhuasquare	SQUARE ARUHUA
3302	anpeasquare	SQUARE ANPEA
3303	aarusquare	SQUARE AARU
3304	iningusquare	SQUARE ININGU
3305	intisquare	SQUARE INTI
3306	uonsquare	SQUARE UON
3307	esukuudosquare	SQUARE ESUKUUDO
3308	eekaasquare	SQUARE EEKAA
3309	onsusquare	SQUARE ONSU
330A	oomusquare	SQUARE OOMU
330B	kairisquare	SQUARE KAIRI
330C	karattosquare	SQUARE KARATTO
330D	karoriisquare	SQUARE KARORII
330E	garonsquare	SQUARE GARON
330F	ganmasquare	SQUARE GANMA
3310	gigasquare	SQUARE GIGA
3311	giniisquare	SQUARE GINII
3312	kyuriisquare	SQUARE KYURII
3313	girudaasquare	SQUARE GIRUDAA
3314	kirosquare	SQUARE KIRO
3315	kiroguramusquare	SQUARE KIROGURAMU
3316	kiromeetorusquare	SQUARE KIROMEETORU
3317	kirowattosquare	SQUARE KIROWATTO
3318	guramusquare	SQUARE GURAMU
3319	guramutonsquare	SQUARE GURAMUTON
331A	kuruzeirosquare	SQUARE KURUZEIRO
331B	kuroonesquare	SQUARE KUROONE
331C	keesusquare	SQUARE KEESU
331D	korunasquare	SQUARE KORUNA
331E	kooposquare	SQUARE KOOPO
331F	saikurusquare	SQUARE SAIKURU
3320	santiimusquare	SQUARE SANTIIMU
3321	siringusquare	SQUARE SIRINGU
3322	sentisquare	SQUARE SENTI
3323	sentosquare	SQUARE SENTO
3324	daasusquare	SQUARE DAASU
3325	desisquare	SQUARE DESI
3326	dorusquare	SQUARE DORU
3327	tonsquare	SQUARE TON
3328	nanosquare	SQUARE NANO
3329	nottosquare	SQUARE NOTTO
332A	haitusquare	SQUARE HAITU
332B	paasentosquare	SQUARE PAASENTO
332C	paatusquare	SQUARE PAATU
332D	baarerusquare	SQUARE BAARERU
332E	piasutorusquare	SQUARE PIASUTORU
332F	pikurusquare	SQUARE PIKURU
3330	pikosquare	SQUARE PIKO
3331	birusquare	SQUARE BIRU
3332	huaraddosquare	SQUARE HUARADDO
3333	huiitosquare	SQUARE HUIITO
3334	bussyerusquare	SQUARE BUSSYERU
3335	huransquare	SQUARE HURAN
3336	hekutaarusquare	SQUARE HEKUTAARU
3337	pesosquare	SQUARE PESO
3338	penihisquare	SQUARE PENIHI
3339	herutusquare	SQUARE HERUTU
333A	pensusquare	SQUARE PENSU
333B	peezisquare	SQUARE PEEZI
333C	beetasquare	SQUARE BEETA
333D	pointosquare	SQUARE POINTO
333E	borutosquare	SQUARE BORUTO
333F	honsquare	SQUARE HON
3340	pondosquare	SQUARE PONDO
3341	hoorusquare	SQUARE HOORU
3342	hoonsquare	SQUARE HOON
3343	maikurosquare	SQUARE MAIKURO
3344	mairusquare	SQUARE MAIRU
3345	mahhasquare	SQUARE MAHHA
3346	marukusquare	SQUARE MARUKU
3347	mansyonsquare	SQUARE MANSYON
3348	mikuronsquare	SQUARE MIKURON
3349	mirisquare	SQUARE MIRI
334A	miribaarusquare	SQUARE MIRIBAARU
334B	megasquare	SQUARE MEGA
334C	megatonsquare	SQUARE MEGATON
334D	meetorusquare	SQUARE MEETORU
334E	yaadosquare	SQUARE YAADO
334F	yaarusquare	SQUARE YAARU
3350	yuansquare	SQUARE YUAN
3351	rittorusquare	SQUARE RITTORU
3352	rirasquare	SQUARE RIRA
3353	rupiisquare	SQUARE RUPII
3354	ruuburusquare	SQUARE RUUBURU
3355	remusquare	SQUARE REMU
3356	rentogensquare	SQUARE RENTOGEN
3357	wattosquare	SQUARE WATTO
3358	ideographictelegraphsymbolforhourzero	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ZERO
3359	ideographictelegraphsymbolforhourone	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ONE
335A	ideographictelegraphsymbolforhourtwo	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO
335B	ideographictelegraphsymbolforhourthree	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE
335C	ideographictelegraphsymbolforhourfour	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOUR
335D	ideographictelegraphsymbolforhourfive	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIVE
335E	ideographictelegraphsymbolforhoursix	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIX
335F	ideographictelegraphsymbolforhourseven	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVEN
3360	ideographictelegraphsymbolforhoureight	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHT
3361	ideographictelegraphsymbolforhournine	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINE
3362	ideographictelegraphsymbolforhourten	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TEN
3363	ideographictelegraphsymbolforhoureleven	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ELEVEN
3364	ideographictelegraphsymbolforhourtwelve	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWELVE
3365	ideographictelegraphsymbolforhourthirteen	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THIRTEEN
3366	ideographictelegraphsymbolforhourfourteen	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOURTEEN
3367	ideographictelegraphsymbolforhourfifteen	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIFTEEN
3368	ideographictelegraphsymbolforhoursixteen	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIXTEEN
3369	ideographictelegraphsymbolforhourseventeen	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVENTEEN
336A	ideographictelegraphsymbolforhoureighteen	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHTEEN
336B	ideographictelegraphsymbolforhournineteen	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINETEEN
336C	ideographictelegraphsymbolforhourtwenty	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY
336D	ideographictelegraphsymbolforhourtwentyone	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-ONE
336E	ideographictelegraphsymbolforhourtwentytwo	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-TWO
336F	ideographictelegraphsymbolforhourtwentythree	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE
3370	ideographictelegraphsymbolforhourtwentyfour	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR
3371	hpafullwidth	SQUARE HPA
3372	dafullwidth	SQUARE DA
3373	aufullwidth	SQUARE AU
3374	barfullwidth	SQUARE BAR
3375	ovfullwidth	SQUARE OV
3376	pcfullwidth	SQUARE PC
3377	dmfullwidth	SQUARE DM
3378	dm2fullwidth	SQUARE DM SQUARED
3379	dm3fullwidth	SQUARE DM CUBED
337A	iufullwidth	SQUARE IU
337B	eranameheiseisquare	SQUARE ERA NAME HEISEI
337C	eranamesyouwasquare	SQUARE ERA NAME SYOUWA
337D	eranametaisyousquare	SQUARE ERA NAME TAISYOU
337E	eranamemeizisquare	SQUARE ERA NAME MEIZI
337F	corporationsquare	SQUARE CORPORATION
3380	paampsfullwidth	SQUARE PA AMPS
3381	nafullwidth	SQUARE NA
3382	muafullwidth	SQUARE MU A
3383	mafullwidth	SQUARE MA
3384	kafullwidth	SQUARE KA
3385	kbfullwidth	SQUARE KB
3386	mbfullwidth	SQUARE MB
3387	gbfullwidth	SQUARE GB
3388	calfullwidth	SQUARE CAL
3389	kcalfullwidth	SQUARE KCAL
338A	pffullwidth	SQUARE PF
338B	nffullwidth	SQUARE NF
338C	muffullwidth	SQUARE MU F
338D	mugfullwidth	SQUARE MU G
338E	mgfullwidth	SQUARE MG
338F	kgfullwidth	SQUARE KG
3390	hzfullwidth	SQUARE HZ
3391	khzfullwidth	SQUARE KHZ
3392	mhzfullwidth	SQUARE MHZ
