# Javanese 0A980 - 0A9DF
A980	panyangga	JAVANESE SIGN PANYANGGA
A981	cecak	JAVANESE SIGN CECAK
A982	layar	JAVANESE SIGN LAYAR
A983	wignyan	JAVANESE SIGN WIGNYAN
A984	java:a	JAVANESE LETTER A
A985	ikawi	JAVANESE LETTER I KAWI
A986	java:i	JAVANESE LETTER I
A987	ii	JAVANESE LETTER II
A988	java:u	JAVANESE LETTER U
A989	pacerek	JAVANESE LETTER PA CEREK
A98A	ngalelet	JAVANESE LETTER NGA LELET
A98B	ngaleletraswadi	JAVANESE LETTER NGA LELET RASWADI
A98C	java:e	JAVANESE LETTER E
A98D	ai	JAVANESE LETTER AI
A98E	java:o	JAVANESE LETTER O
A98F	ka	JAVANESE LETTER KA
A990	kasasak	JAVANESE LETTER KA SASAK
A991	kamurda	JAVANESE LETTER KA MURDA
A992	ga	JAVANESE LETTER GA
A993	gamurda	JAVANESE LETTER GA MURDA
A994	nga	JAVANESE LETTER NGA
A995	ca	JAVANESE LETTER CA
A996	camurda	JAVANESE LETTER CA MURDA
A997	ja	JAVANESE LETTER JA
A998	nyamurda	JAVANESE LETTER NYA MURDA
A999	jamahaprana	JAVANESE LETTER JA MAHAPRANA
A99A	nya	JAVANESE LETTER NYA
A99B	tta	JAVANESE LETTER TTA
A99C	ttamahaprana	JAVANESE LETTER TTA MAHAPRANA
A99D	dda	JAVANESE LETTER DDA
A99E	ddamahaprana	JAVANESE LETTER DDA MAHAPRANA
A99F	namurda	JAVANESE LETTER NA MURDA
A9A0	ta	JAVANESE LETTER TA
A9A1	tamurda	JAVANESE LETTER TA MURDA
A9A2	da	JAVANESE LETTER DA
A9A3	damahaprana	JAVANESE LETTER DA MAHAPRANA
A9A4	na	JAVANESE LETTER NA
A9A5	pa	JAVANESE LETTER PA
A9A6	pamurda	JAVANESE LETTER PA MURDA
A9A7	ba	JAVANESE LETTER BA
A9A8	bamurda	JAVANESE LETTER BA MURDA
A9A9	ma	JAVANESE LETTER MA
A9AA	ya	JAVANESE LETTER YA
A9AB	ra	JAVANESE LETTER RA
A9AC	raagung	JAVANESE LETTER RA AGUNG
A9AD	la	JAVANESE LETTER LA
A9AE	wa	JAVANESE LETTER WA
A9AF	samurda	JAVANESE LETTER SA MURDA
A9B0	samahaprana	JAVANESE LETTER SA MAHAPRANA
A9B1	sa	JAVANESE LETTER SA
A9B2	ha	JAVANESE LETTER HA
A9B3	cecaktelu	JAVANESE SIGN CECAK TELU
A9B4	tarungvowel	JAVANESE VOWEL SIGN TARUNG
A9B5	tolongvowel	JAVANESE VOWEL SIGN TOLONG
A9B6	wuluvowel	JAVANESE VOWEL SIGN WULU
A9B7	wulumelikvowel	JAVANESE VOWEL SIGN WULU MELIK
A9B8	sukuvowel	JAVANESE VOWEL SIGN SUKU
A9B9	sukumendutvowel	JAVANESE VOWEL SIGN SUKU MENDUT
A9BA	talingvowel	JAVANESE VOWEL SIGN TALING
A9BB	dirgamurevowel	JAVANESE VOWEL SIGN DIRGA MURE
A9BC	pepetvowel	JAVANESE VOWEL SIGN PEPET
A9BD	keretconsonant	JAVANESE CONSONANT SIGN KERET
A9BE	pengkalconsonant	JAVANESE CONSONANT SIGN PENGKAL
A9BF	cakraconsonant	JAVANESE CONSONANT SIGN CAKRA
A9C0	pangkon	JAVANESE PANGKON
A9C1	rerengganleft	JAVANESE LEFT RERENGGAN
A9C2	rerengganright	JAVANESE RIGHT RERENGGAN
A9C3	andappada	JAVANESE PADA ANDAP
A9C4	madyapada	JAVANESE PADA MADYA
A9C5	luhurpada	JAVANESE PADA LUHUR
A9C6	windupada	JAVANESE PADA WINDU
A9C7	pangkatpada	JAVANESE PADA PANGKAT
A9C8	lingsapada	JAVANESE PADA LINGSA
A9C9	lungsipada	JAVANESE PADA LUNGSI
A9CA	adegpada	JAVANESE PADA ADEG
A9CB	adegadegpada	JAVANESE PADA ADEG ADEG
A9CC	piselehpada	JAVANESE PADA PISELEH
A9CD	turnedpiselehpada	JAVANESE TURNED PADA PISELEH
A9CF	pangrangkep	JAVANESE PANGRANGKEP
A9D0	java:zero	JAVANESE DIGIT ZERO
A9D1	java:one	JAVANESE DIGIT ONE
A9D2	java:two	JAVANESE DIGIT TWO
A9D3	java:three	JAVANESE DIGIT THREE
A9D4	java:four	JAVANESE DIGIT FOUR
A9D5	java:five	JAVANESE DIGIT FIVE
A9D6	java:six	JAVANESE DIGIT SIX
A9D7	java:seven	JAVANESE DIGIT SEVEN
A9D8	java:eight	JAVANESE DIGIT EIGHT
A9D9	java:nine	JAVANESE DIGIT NINE
A9DE	tirtatumetespada	JAVANESE PADA TIRTA TUMETES
A9DF	isen-isenpada	JAVANESE PADA ISEN-ISEN
