# Cherokee Supplement 0AB70 - 0ABBF
AB70	chrk:asmall	CHEROKEE SMALL LETTER A
AB71	chrk:esmall	CHEROKEE SMALL LETTER E
AB72	chrk:ismall	CHEROKEE SMALL LETTER I
AB73	chrk:osmall	CHEROKEE SMALL LETTER O
AB74	chrk:usmall	CHEROKEE SMALL LETTER U
AB75	chrk:vsmall	CHEROKEE SMALL LETTER V
AB76	chrk:gasmall	CHEROKEE SMALL LETTER GA
AB77	chrk:kasmall	CHEROKEE SMALL LETTER KA
AB78	chrk:gesmall	CHEROKEE SMALL LETTER GE
AB79	chrk:gismall	CHEROKEE SMALL LETTER GI
AB7A	chrk:gosmall	CHEROKEE SMALL LETTER GO
AB7B	chrk:gusmall	CHEROKEE SMALL LETTER GU
AB7C	chrk:gvsmall	CHEROKEE SMALL LETTER GV
AB7D	chrk:hasmall	CHEROKEE SMALL LETTER HA
AB7E	chrk:hesmall	CHEROKEE SMALL LETTER HE
AB7F	chrk:hismall	CHEROKEE SMALL LETTER HI
AB80	chrk:hosmall	CHEROKEE SMALL LETTER HO
AB81	chrk:husmall	CHEROKEE SMALL LETTER HU
AB82	chrk:hvsmall	CHEROKEE SMALL LETTER HV
AB83	chrk:lasmall	CHEROKEE SMALL LETTER LA
AB84	chrk:lesmall	CHEROKEE SMALL LETTER LE
AB85	chrk:lismall	CHEROKEE SMALL LETTER LI
AB86	chrk:losmall	CHEROKEE SMALL LETTER LO
AB87	chrk:lusmall	CHEROKEE SMALL LETTER LU
AB88	chrk:lvsmall	CHEROKEE SMALL LETTER LV
AB89	chrk:masmall	CHEROKEE SMALL LETTER MA
AB8A	chrk:mesmall	CHEROKEE SMALL LETTER ME
AB8B	chrk:mismall	CHEROKEE SMALL LETTER MI
AB8C	chrk:mosmall	CHEROKEE SMALL LETTER MO
AB8D	chrk:musmall	CHEROKEE SMALL LETTER MU
AB8E	chrk:nasmall	CHEROKEE SMALL LETTER NA
AB8F	chrk:hnasmall	CHEROKEE SMALL LETTER HNA
AB90	chrk:nahsmall	CHEROKEE SMALL LETTER NAH
AB91	chrk:nesmall	CHEROKEE SMALL LETTER NE
AB92	chrk:nismall	CHEROKEE SMALL LETTER NI
AB93	chrk:nosmall	CHEROKEE SMALL LETTER NO
AB94	chrk:nusmall	CHEROKEE SMALL LETTER NU
AB95	chrk:nvsmall	CHEROKEE SMALL LETTER NV
AB96	chrk:quasmall	CHEROKEE SMALL LETTER QUA
AB97	chrk:quesmall	CHEROKEE SMALL LETTER QUE
AB98	chrk:quismall	CHEROKEE SMALL LETTER QUI
AB99	chrk:quosmall	CHEROKEE SMALL LETTER QUO
AB9A	chrk:quusmall	CHEROKEE SMALL LETTER QUU
AB9B	chrk:quvsmall	CHEROKEE SMALL LETTER QUV
AB9C	chrk:sasmall	CHEROKEE SMALL LETTER SA
AB9D	chrk:ssmall	CHEROKEE SMALL LETTER S
AB9E	chrk:sesmall	CHEROKEE SMALL LETTER SE
AB9F	chrk:sismall	CHEROKEE SMALL LETTER SI
ABA0	chrk:sosmall	CHEROKEE SMALL LETTER SO
ABA1	chrk:susmall	CHEROKEE SMALL LETTER SU
ABA2	chrk:svsmall	CHEROKEE SMALL LETTER SV
ABA3	chrk:dasmall	CHEROKEE SMALL LETTER DA
ABA4	chrk:tasmall	CHEROKEE SMALL LETTER TA
ABA5	chrk:desmall	CHEROKEE SMALL LETTER DE
ABA6	chrk:tesmall	CHEROKEE SMALL LETTER TE
ABA7	chrk:dismall	CHEROKEE SMALL LETTER DI
ABA8	chrk:tismall	CHEROKEE SMALL LETTER TI
ABA9	chrk:dosmall	CHEROKEE SMALL LETTER DO
ABAA	chrk:dusmall	CHEROKEE SMALL LETTER DU
ABAB	chrk:dvsmall	CHEROKEE SMALL LETTER DV
ABAC	chrk:dlasmall	CHEROKEE SMALL LETTER DLA
ABAD	chrk:tlasmall	CHEROKEE SMALL LETTER TLA
ABAE	chrk:tlesmall	CHEROKEE SMALL LETTER TLE
ABAF	chrk:tlismall	CHEROKEE SMALL LETTER TLI
ABB0	chrk:tlosmall	CHEROKEE SMALL LETTER TLO
ABB1	chrk:tlusmall	CHEROKEE SMALL LETTER TLU
ABB2	chrk:tlvsmall	CHEROKEE SMALL LETTER TLV
ABB3	chrk:tsasmall	CHEROKEE SMALL LETTER TSA
ABB4	chrk:tsesmall	CHEROKEE SMALL LETTER TSE
ABB5	chrk:tsismall	CHEROKEE SMALL LETTER TSI
ABB6	chrk:tsosmall	CHEROKEE SMALL LETTER TSO
ABB7	chrk:tsusmall	CHEROKEE SMALL LETTER TSU
ABB8	chrk:tsvsmall	CHEROKEE SMALL LETTER TSV
ABB9	chrk:wasmall	CHEROKEE SMALL LETTER WA
ABBA	chrk:wesmall	CHEROKEE SMALL LETTER WE
ABBB	chrk:wismall	CHEROKEE SMALL LETTER WI
ABBC	chrk:wosmall	CHEROKEE SMALL LETTER WO
ABBD	chrk:wusmall	CHEROKEE SMALL LETTER WU
ABBE	chrk:wvsmall	CHEROKEE SMALL LETTER WV
ABBF	chrk:yasmall	CHEROKEE SMALL LETTER YA
