# Alphabetic Presentation Forms 0FB00 - 0FB4F
FB00	f_f	LATIN SMALL LIGATURE FF
FB01	fi	LATIN SMALL LIGATURE FI
FB02	fl	LATIN SMALL LIGATURE FL
FB03	f_f_i	LATIN SMALL LIGATURE FFI
FB04	f_f_l	LATIN SMALL LIGATURE FFL
FB05	longs_t	LATIN SMALL LIGATURE LONG S T
FB06	s_t	LATIN SMALL LIGATURE ST
FB13	men_nowarmn	ARMENIAN SMALL LIGATURE MEN NOW
FB14	men_echarmn	ARMENIAN SMALL LIGATURE MEN ECH
FB15	men_iniarmn	ARMENIAN SMALL LIGATURE MEN INI
FB16	vew_nowarmn	ARMENIAN SMALL LIGATURE VEW NOW
FB17	men_xeharmn	ARMENIAN SMALL LIGATURE MEN XEH
FB1D	yodwithhiriq:hb	HEBREW LETTER YOD WITH HIRIQ
FB1E	varikajudeospanish:hb	HEBREW POINT JUDEO-SPANISH VARIKA
FB1F	yod_yod_patah:hb	HEBREW LIGATURE YIDDISH YOD YOD PATAH
FB20	ayinalt:hb	HEBREW LETTER ALTERNATIVE AYIN
FB21	alefwide:hb	HEBREW LETTER WIDE ALEF
FB22	daletwide:hb	HEBREW LETTER WIDE DALET
FB23	hewide:hb	HEBREW LETTER WIDE HE
FB24	kafwide:hb	HEBREW LETTER WIDE KAF
FB25	lamedwide:hb	HEBREW LETTER WIDE LAMED
FB26	finalmemwide:hb	HEBREW LETTER WIDE FINAL MEM
FB27	reshwide:hb	HEBREW LETTER WIDE RESH
FB28	tavwide:hb	HEBREW LETTER WIDE TAV
FB29	plussignalt:hb	HEBREW LETTER ALTERNATIVE PLUS SIGN
FB2A	shinwithshinDot:hb	HEBREW LETTER SHIN WITH SHIN DOT
FB2B	shinwithsinDot:hb	HEBREW LETTER SHIN WITH SIN DOT
FB2C	shinwithdageshandshinDot:hb	HEBREW LETTER SHIN WITH DAGESH AND SHIN DOT
FB2D	shinwithdageshandsinDot:hb	HEBREW LETTER SHIN WITH DAGESH AND SIN DOT
FB2E	alefwithpatah:hb	HEBREW LETTER ALEF WITH PATAH
FB2F	alefwithqamats:hb	HEBREW LETTER ALEF WITH QAMATS
FB30	alefwithmapiq:hb	HEBREW LETTER ALEF WITH MAPIQ
FB31	betwithdagesh:hb	HEBREW LETTER BET WITH DAGESH
FB32	gimelwithdagesh:hb	HEBREW LETTER GIMEL WITH DAGESH
FB33	daletwithdagesh:hb	HEBREW LETTER DALET WITH DAGESH
FB34	hewithmapiq:hb	HEBREW LETTER HE WITH MAPIQ
FB35	vavwithdagesh:hb	HEBREW LETTER VAV WITH DAGESH
FB36	zayinwithdagesh:hb	HEBREW LETTER ZAYIN WITH DAGESH
FB38	tetwithdagesh:hb	HEBREW LETTER TET WITH DAGESH
FB39	yodwithdagesh:hb	HEBREW LETTER YOD WITH DAGESH
FB3A	finalkafwithdagesh:hb	HEBREW LETTER FINAL KAF WITH DAGESH
FB3B	kafwithdagesh:hb	HEBREW LETTER KAF WITH DAGESH
FB3C	lamedwithdagesh:hb	HEBREW LETTER LAMED WITH DAGESH
FB3E	memwithdagesh:hb	HEBREW LETTER MEM WITH DAGESH
FB40	nunwithdagesh:hb	HEBREW LETTER NUN WITH DAGESH
FB41	samekhwithdagesh:hb	HEBREW LETTER SAMEKH WITH DAGESH
FB43	finalpewithdagesh:hb	HEBREW LETTER FINAL PE WITH DAGESH
FB44	pewithdagesh:hb	HEBREW LETTER PE WITH DAGESH
FB46	tsadiwithdagesh:hb	HEBREW LETTER TSADI WITH DAGESH
FB47	qofwithdagesh:hb	HEBREW LETTER QOF WITH DAGESH
FB48	reshwithdagesh:hb	HEBREW LETTER RESH WITH DAGESH
FB49	shinwithdagesh:hb	HEBREW LETTER SHIN WITH DAGESH
FB4A	tavwithdagesh:hb	HEBREW LETTER TAV WITH DAGESH
FB4B	vavwithholam:hb	HEBREW LETTER VAV WITH HOLAM
FB4C	betwithrafe:hb	HEBREW LETTER BET WITH RAFE
FB4D	kafwithrafe:hb	HEBREW LETTER KAF WITH RAFE
FB4E	pewithrafe:hb	HEBREW LETTER PE WITH RAFE
FB4F	ligaturealeflamed:hb	HEBREW LIGATURE ALEF LAMED
