# Arabic Presentation Forms-B 0FE70 - 0FEFF
FE70	fathatanIsol	ARABIC FATHATAN ISOLATED FORM
FE71	tatweelFathatanAbove	ARABIC TATWEEL WITH FATHATAN ABOVE
FE72	dammatanIsol	ARABIC DAMMATAN ISOLATED FORM
FE73	kashidaFina	ARABIC TAIL FRAGMENT
FE74	kasratanIsol	ARABIC KASRATAN ISOLATED FORM
FE76	fathaIsol	ARABIC FATHA ISOLATED FORM
FE77	fathaMedi	ARABIC FATHA MEDIAL FORM
FE78	dammaIsol	ARABIC DAMMA ISOLATED FORM
FE79	dammaMedi	ARABIC DAMMA MEDIAL FORM
FE7A	kasraIsol	ARABIC KASRA ISOLATED FORM
FE7B	kasraMedi	ARABIC KASRA MEDIAL FORM
FE7C	shaddaIsol	ARABIC SHADDA ISOLATED FORM
FE7D	shaddaMedi	ARABIC SHADDA MEDIAL FORM
FE7E	sukunIsol	ARABIC SUKUN ISOLATED FORM
FE7F	sukunMedi	ARABIC SUKUN MEDIAL FORM
FE80	hamzaIsol	ARABIC LETTER HAMZA ISOLATED FORM
FE81	alefmadda.isol	ARABIC LETTER ALEF WITH MADDA ABOVE ISOLATED FORM
FE82	alefmadda.fina	ARABIC LETTER ALEF WITH MADDA ABOVE FINAL FORM
FE83	alefhamza.isol	ARABIC LETTER ALEF WITH HAMZA ABOVE ISOLATED FORM
FE84	alefhamza.fina	ARABIC LETTER ALEF WITH HAMZA ABOVE FINAL FORM
FE85	wawhamza.isol	ARABIC LETTER WAW WITH HAMZA ABOVE ISOLATED FORM
FE86	wawhamza.fina	ARABIC LETTER WAW WITH HAMZA ABOVE FINAL FORM
FE87	alefhamzabelow.isol	ARABIC LETTER ALEF WITH HAMZA BELOW ISOLATED FORM
FE88	alefhamzabelow.fina	ARABIC LETTER ALEF WITH HAMZA BELOW FINAL FORM
FE89	yehhamza.isol	ARABIC LETTER YEH WITH HAMZA ABOVE ISOLATED FORM
FE8A	yehhamza.fina	ARABIC LETTER YEH WITH HAMZA ABOVE FINAL FORM
FE8B	yehhamza.init	ARABIC LETTER YEH WITH HAMZA ABOVE INITIAL FORM
FE8C	yehhamza.medi	ARABIC LETTER YEH WITH HAMZA ABOVE MEDIAL FORM
FE8D	alef.isol	ARABIC LETTER ALEF ISOLATED FORM
FE8E	alef.fina	ARABIC LETTER ALEF FINAL FORM
FE8F	beh.isol	ARABIC LETTER BEH ISOLATED FORM
FE90	beh.fina	ARABIC LETTER BEH FINAL FORM
FE91	beh.init	ARABIC LETTER BEH INITIAL FORM
FE92	beh.medi	ARABIC LETTER BEH MEDIAL FORM
FE93	tehmarbuta.isol	ARABIC LETTER TEH MARBUTA ISOLATED FORM
FE94	tehmarbuta.fina	ARABIC LETTER TEH MARBUTA FINAL FORM
FE95	teh.isol	ARABIC LETTER TEH ISOLATED FORM
FE96	teh.fina	ARABIC LETTER TEH FINAL FORM
FE97	teh.init	ARABIC LETTER TEH INITIAL FORM
FE98	teh.medi	ARABIC LETTER TEH MEDIAL FORM
FE99	theh.isol	ARABIC LETTER THEH ISOLATED FORM
FE9A	theh.fina	ARABIC LETTER THEH FINAL FORM
FE9B	theh.init	ARABIC LETTER THEH INITIAL FORM
FE9C	theh.medi	ARABIC LETTER THEH MEDIAL FORM
FE9D	jeem.isol	ARABIC LETTER JEEM ISOLATED FORM
FE9E	jeem.fina	ARABIC LETTER JEEM FINAL FORM
FE9F	jeem.init	ARABIC LETTER JEEM INITIAL FORM
FEA0	jeem.medi	ARABIC LETTER JEEM MEDIAL FORM
FEA1	hah.isol	ARABIC LETTER HAH ISOLATED FORM
FEA2	hah.fina	ARABIC LETTER HAH FINAL FORM
FEA3	hah.init	ARABIC LETTER HAH INITIAL FORM
FEA4	hah.medi	ARABIC LETTER HAH MEDIAL FORM
FEA5	khah.isol	ARABIC LETTER KHAH ISOLATED FORM
FEA6	khah.fina	ARABIC LETTER KHAH FINAL FORM
FEA7	khah.init	ARABIC LETTER KHAH INITIAL FORM
FEA8	khah.medi	ARABIC LETTER KHAH MEDIAL FORM
