# Halfwidth and Fullwidth Forms 0FF00 - 0FFEF
FF01	fwd:exclam	FULLWIDTH EXCLAMATION MARK
FF02	fwd:quotedbl	FULLWIDTH QUOTATION MARK
FF03	fwd:numbersign	FULLWIDTH NUMBER SIGN
FF04	fwd:dollar	FULLWIDTH DOLLAR SIGN
FF05	fwd:percent	FULLWIDTH PERCENT SIGN
FF06	fwd:ampersand	FULLWIDTH AMPERSAND
FF07	fwd:quotesingle	FULLWIDTH APOSTROPHE
FF08	fwd:parenthesisleft	FULLWIDTH LEFT PARENTHESIS
FF09	fwd:parenthesisright	FULLWIDTH RIGHT PARENTHESIS
FF0A	fwd:asterisk	FULLWIDTH ASTERISK
FF0B	fwd:plus	FULLWIDTH PLUS SIGN
FF0C	fwd:comma	FULLWIDTH COMMA
FF0D	fwd:hyphen	FULLWIDTH HYPHEN-MINUS
FF0E	fwd:period	FULLWIDTH FULL STOP
FF0F	fwd:slash	FULLWIDTH SOLIDUS
FF10	fwd:zero	FULLWIDTH DIGIT ZERO
FF11	fwd:one	FULLWIDTH DIGIT ONE
FF12	fwd:two	FULLWIDTH DIGIT TWO
FF13	fwd:three	FULLWIDTH DIGIT THREE
FF14	fwd:four	FULLWIDTH DIGIT FOUR
FF15	fwd:five	FULLWIDTH DIGIT FIVE
FF16	fwd:six	FULLWIDTH DIGIT SIX
FF17	fwd:seven	FULLWIDTH DIGIT SEVEN
FF18	fwd:eight	FULLWIDTH DIGIT EIGHT
FF19	fwd:nine	FULLWIDTH DIGIT NINE
FF1A	fwd:colon	FULLWIDTH COLON
FF1B	fwd:semicolon	FULLWIDTH SEMICOLON
FF1C	fwd:less	FULLWIDTH LESS-THAN SIGN
FF1D	fwd:equal	FULLWIDTH EQUALS SIGN
FF1E	fwd:greater	FULLWIDTH GREATER-THAN SIGN
FF1F	fwd:question	FULLWIDTH QUESTION MARK
FF20	fwd:at	FULLWIDTH COMMERCIAL AT
FF21	fwd:A	FULLWIDTH LATIN CAPITAL LETTER A
FF22	fwd:B	FULLWIDTH LATIN CAPITAL LETTER B
FF23	fwd:C	FULLWIDTH LATIN CAPITAL LETTER C
FF24	fwd:D	FULLWIDTH LATIN CAPITAL LETTER D
FF25	fwd:E	FULLWIDTH LATIN CAPITAL LETTER E
FF26	fwd:F	FULLWIDTH LATIN CAPITAL LETTER F
FF27	fwd:G	FULLWIDTH LATIN CAPITAL LETTER G
FF28	fwd:H	FULLWIDTH LATIN CAPITAL LETTER H
FF29	fwd:I	FULLWIDTH LATIN CAPITAL LETTER I
FF2A	fwd:J	FULLWIDTH LATIN CAPITAL LETTER J
FF2B	fwd:K	FULLWIDTH LATIN CAPITAL LETTER K
FF2C	fwd:L	FULLWIDTH LATIN CAPITAL LETTER L
FF2D	fwd:M	FULLWIDTH LATIN CAPITAL LETTER M
FF2E	fwd:N	FULLWIDTH LATIN CAPITAL LETTER N
FF2F	fwd:O	FULLWIDTH LATIN CAPITAL LETTER O
FF30	fwd:P	FULLWIDTH LATIN CAPITAL LETTER P
FF31	fwd:Q	FULLWIDTH LATIN CAPITAL LETTER Q
FF32	fwd:R	FULLWIDTH LATIN CAPITAL LETTER R
FF33	fwd:S	FULLWIDTH LATIN CAPITAL LETTER S
FF34	fwd:T	FULLWIDTH LATIN CAPITAL LETTER T
FF35	fwd:U	FULLWIDTH LATIN CAPITAL LETTER U
FF36	fwd:V	FULLWIDTH LATIN CAPITAL LETTER V
FF37	fwd:W	FULLWIDTH LATIN CAPITAL LETTER W
FF38	fwd:X	FULLWIDTH LATIN CAPITAL LETTER X
FF39	fwd:Y	FULLWIDTH LATIN CAPITAL LETTER Y
FF3A	fwd:Z	FULLWIDTH LATIN CAPITAL LETTER Z
FF3B	fwd:bracketleft	FULLWIDTH LEFT SQUARE BRACKET
FF3C	fwd:backslash	FULLWIDTH REVERSE SOLIDUS
FF3D	fwd:bracketright	FULLWIDTH RIGHT SQUARE BRACKET
FF3E	fwd:asciicircum	FULLWIDTH CIRCUMFLEX ACCENT
FF3F	fwd:underscore	FULLWIDTH LOW LINE
FF40	fwd:grave	FULLWIDTH GRAVE ACCENT
FF41	fwd:a	FULLWIDTH LATIN SMALL LETTER A
FF42	fwd:b	FULLWIDTH LATIN SMALL LETTER B
FF43	fwd:c	FULLWIDTH LATIN SMALL LETTER C
FF44	fwd:d	FULLWIDTH LATIN SMALL LETTER D
FF45	fwd:e	FULLWIDTH LATIN SMALL LETTER E
FF46	fwd:f	FULLWIDTH LATIN SMALL LETTER F
FF47	fwd:g	FULLWIDTH LATIN SMALL LETTER G
FF48	fwd:h	FULLWIDTH LATIN SMALL LETTER H
FF49	fwd:i	FULLWIDTH LATIN SMALL LETTER I
FF4A	fwd:j	FULLWIDTH LATIN SMALL LETTER J
FF4B	fwd:k	FULLWIDTH LATIN SMALL LETTER K
FF4C	fwd:l	FULLWIDTH LATIN SMALL LETTER L
FF4D	fwd:m	FULLWIDTH LATIN SMALL LETTER M
FF4E	fwd:n	FULLWIDTH LATIN SMALL LETTER N
FF4F	fwd:o	FULLWIDTH LATIN SMALL LETTER O
FF50	fwd:p	FULLWIDTH LATIN SMALL LETTER P
FF51	fwd:q	FULLWIDTH LATIN SMALL LETTER Q
FF52	fwd:r	FULLWIDTH LATIN SMALL LETTER R
FF53	fwd:s	FULLWIDTH LATIN SMALL LETTER S
FF54	fwd:t	FULLWIDTH LATIN SMALL LETTER T
FF55	fwd:u	FULLWIDTH LATIN SMALL LETTER U
FF56	fwd:v	FULLWIDTH LATIN SMALL LETTER V
FF57	fwd:w	FULLWIDTH LATIN SMALL LETTER W
FF58	fwd:x	FULLWIDTH LATIN SMALL LETTER X
FF59	fwd:y	FULLWIDTH LATIN SMALL LETTER Y
FF5A	fwd:z	FULLWIDTH LATIN SMALL LETTER Z
FF5B	fwd:braceleft	FULLWIDTH LEFT CURLY BRACKET
FF5C	fwd:bar	FULLWIDTH VERTICAL LINE
FF5D	fwd:braceright	FULLWIDTH RIGHT CURLY BRACKET
FF5E	fwd:asciitilde	FULLWIDTH TILDE
FF5F	fwd:leftwhiteparenthesis	FULLWIDTH LEFT WHITE PARENTHESIS
FF60	fwd:rightwhiteparenthesis	FULLWIDTH RIGHT WHITE PARENTHESIS
FF61	hwd:ideographicfullstop	HALFWIDTH IDEOGRAPHIC FULL STOP
FF62	hwd:leftcornerbracket	HALFWIDTH LEFT CORNER BRACKET
FF63	hwd:rightcornerbracket	HALFWIDTH RIGHT CORNER BRACKET
FF64	hwd:ideographiccomma	HALFWIDTH IDEOGRAPHIC COMMA
FF65	hwd:kata:middledot	HALFWIDTH KATAKANA MIDDLE DOT
FF66	hwd:kata:wo	HALFWIDTH KATAKANA LETTER WO
FF67	hwd:kata:asmall	HALFWIDTH KATAKANA LETTER SMALL A
FF68	hwd:kata:ismall	HALFWIDTH KATAKANA LETTER SMALL I
FF69	hwd:kata:usmall	HALFWIDTH KATAKANA LETTER SMALL U
FF6A	hwd:kata:esmall	HALFWIDTH KATAKANA LETTER SMALL E
FF6B	hwd:kata:osmall	HALFWIDTH KATAKANA LETTER SMALL O
FF6C	hwd:kata:yasmall	HALFWIDTH KATAKANA LETTER SMALL YA
FF6D	hwd:kata:yusmall	HALFWIDTH KATAKANA LETTER SMALL YU
FF6E	hwd:kata:yosmall	HALFWIDTH KATAKANA LETTER SMALL YO
FF6F	hwd:kata:tusmall	HALFWIDTH KATAKANA LETTER SMALL TU
FF70	hwd:kata:prolongedkana	HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
FF71	hwd:kata:a	HALFWIDTH KATAKANA LETTER A
FF72	hwd:kata:i	HALFWIDTH KATAKANA LETTER I
FF73	hwd:kata:u	HALFWIDTH KATAKANA LETTER U
FF74	hwd:kata:e	HALFWIDTH KATAKANA LETTER E
FF75	hwd:kata:o	HALFWIDTH KATAKANA LETTER O
FF76	hwd:kata:ka	HALFWIDTH KATAKANA LETTER KA
FF77	hwd:kata:ki	HALFWIDTH KATAKANA LETTER KI
FF78	hwd:kata:ku	HALFWIDTH KATAKANA LETTER KU
FF79	hwd:kata:ke	HALFWIDTH KATAKANA LETTER KE
FF7A	hwd:kata:ko	HALFWIDTH KATAKANA LETTER KO
FF7B	hwd:kata:sa	HALFWIDTH KATAKANA LETTER SA
FF7C	hwd:kata:si	HALFWIDTH KATAKANA LETTER SI
FF7D	hwd:kata:su	HALFWIDTH KATAKANA LETTER SU
FF7E	hwd:kata:se	HALFWIDTH KATAKANA LETTER SE
FF7F	hwd:kata:so	HALFWIDTH KATAKANA LETTER SO
FF80	hwd:kata:ta	HALFWIDTH KATAKANA LETTER TA
FF81	hwd:kata:ti	HALFWIDTH KATAKANA LETTER TI
FF82	hwd:kata:tu	HALFWIDTH KATAKANA LETTER TU
FF83	hwd:kata:te	HALFWIDTH KATAKANA LETTER TE
FF84	hwd:kata:to	HALFWIDTH KATAKANA LETTER TO
FF85	hwd:kata:na	HALFWIDTH KATAKANA LETTER NA
FF86	hwd:kata:ni	HALFWIDTH KATAKANA LETTER NI
FF87	hwd:kata:nu	HALFWIDTH KATAKANA LETTER NU
FF88	hwd:kata:ne	HALFWIDTH KATAKANA LETTER NE
FF89	hwd:kata:no	HALFWIDTH KATAKANA LETTER NO
FF8A	hwd:kata:ha	HALFWIDTH KATAKANA LETTER HA
FF8B	hwd:kata:hi	HALFWIDTH KATAKANA LETTER HI
FF8C	hwd:kata:hu	HALFWIDTH KATAKANA LETTER HU
FF8D	hwd:kata:he	HALFWIDTH KATAKANA LETTER HE
FF8E	hwd:kata:ho	HALFWIDTH KATAKANA LETTER HO
FF8F	hwd:kata:ma	HALFWIDTH KATAKANA LETTER MA
FF90	hwd:kata:mi	HALFWIDTH KATAKANA LETTER MI
FF91	hwd:kata:mu	HALFWIDTH KATAKANA LETTER MU
FF92	hwd:kata:me	HALFWIDTH KATAKANA LETTER ME
FF93	hwd:kata:mo	HALFWIDTH KATAKANA LETTER MO
FF94	hwd:kata:ya	HALFWIDTH KATAKANA LETTER YA
FF95	hwd:kata:yu	HALFWIDTH KATAKANA LETTER YU
FF96	hwd:kata:yo	HALFWIDTH KATAKANA LETTER YO
FF97	hwd:kata:ra	HALFWIDTH KATAKANA LETTER RA
FF98	hwd:kata:ri	HALFWIDTH KATAKANA LETTER RI
FF99	hwd:kata:ru	HALFWIDTH KATAKANA LETTER RU
FF9A	hwd:kata:re	HALFWIDTH KATAKANA LETTER RE
FF9B	hwd:kata:ro	HALFWIDTH KATAKANA LETTER RO
FF9C	hwd:kata:wa	HALFWIDTH KATAKANA LETTER WA
FF9D	hwd:kata:n	HALFWIDTH KATAKANA LETTER N
FF9E	hwd:kata:voiced	HALFWIDTH KATAKANA VOICED SOUND MARK
FF9F	hwd:kata:semi-voiced	HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
FFA0	hwd:hangulfiller	HALFWIDTH HANGUL FILLER
FFA1	hwd:kiyeok	HALFWIDTH HANGUL LETTER KIYEOK
FFA2	hwd:ssangkiyeok	HALFWIDTH HANGUL LETTER SSANGKIYEOK
FFA3	hwd:kiyeoksios	HALFWIDTH HANGUL LETTER KIYEOK-SIOS
FFA4	hwd:nieun	HALFWIDTH HANGUL LETTER NIEUN
FFA5	hwd:nieuncieuc	HALFWIDTH HANGUL LETTER NIEUN-CIEUC
FFA6	hwd:nieunhieuh	HALFWIDTH HANGUL LETTER NIEUN-HIEUH
FFA7	hwd:tikeut	HALFWIDTH HANGUL LETTER TIKEUT
FFA8	hwd:ssangtikeut	HALFWIDTH HANGUL LETTER SSANGTIKEUT
FFA9	hwd:rieul	HALFWIDTH HANGUL LETTER RIEUL
FFAA	hwd:rieulkiyeok	HALFWIDTH HANGUL LETTER RIEUL-KIYEOK
FFAB	hwd:rieulmieum	HALFWIDTH HANGUL LETTER RIEUL-MIEUM
FFAC	hwd:rieulpieup	HALFWIDTH HANGUL LETTER RIEUL-PIEUP
FFAD	hwd:rieulsios	HALFWIDTH HANGUL LETTER RIEUL-SIOS
FFAE	hwd:rieulthieuth	HALFWIDTH HANGUL LETTER RIEUL-THIEUTH
FFAF	hwd:rieulphieuph	HALFWIDTH HANGUL LETTER RIEUL-PHIEUPH
FFB0	hwd:rieulhieuh	HALFWIDTH HANGUL LETTER RIEUL-HIEUH
FFB1	hwd:mieum	HALFWIDTH HANGUL LETTER MIEUM
FFB2	hwd:pieup	HALFWIDTH HANGUL LETTER PIEUP
FFB3	hwd:ssangpieup	HALFWIDTH HANGUL LETTER SSANGPIEUP
FFB4	hwd:pieupsios	HALFWIDTH HANGUL LETTER PIEUP-SIOS
FFB5	hwd:sios	HALFWIDTH HANGUL LETTER SIOS
FFB6	hwd:ssangsios	HALFWIDTH HANGUL LETTER SSANGSIOS
FFB7	hwd:ieung	HALFWIDTH HANGUL LETTER IEUNG
FFB8	hwd:cieuc	HALFWIDTH HANGUL LETTER CIEUC
FFB9	hwd:ssangcieuc	HALFWIDTH HANGUL LETTER SSANGCIEUC
FFBA	hwd:chieuch	HALFWIDTH HANGUL LETTER CHIEUCH
FFBB	hwd:khieukh	HALFWIDTH HANGUL LETTER KHIEUKH
FFBC	hwd:thieuth	HALFWIDTH HANGUL LETTER THIEUTH
FFBD	hwd:phieuph	HALFWIDTH HANGUL LETTER PHIEUPH
FFBE	hwd:hieuh	HALFWIDTH HANGUL LETTER HIEUH
FFC2	hwd:a	HALFWIDTH HANGUL LETTER A
FFC3	hwd:ae	HALFWIDTH HANGUL LETTER AE
FFC4	hwd:ya	HALFWIDTH HANGUL LETTER YA
FFC5	hwd:yae	HALFWIDTH HANGUL LETTER YAE
