# Zanabazar Square 11A00 - 11A4F
11A00	zanb:a	ZANABAZAR SQUARE LETTER A
11A01	zanb:vowelsigni	ZANABAZAR SQUARE VOWEL SIGN I
11A02	zanb:vowelsignue	ZANABAZAR SQUARE VOWEL SIGN UE
11A03	zanb:vowelsignu	ZANABAZAR SQUARE VOWEL SIGN U
11A04	zanb:vowelsigne	ZANABAZAR SQUARE VOWEL SIGN E
11A05	zanb:vowelsignoe	ZANABAZAR SQUARE VOWEL SIGN OE
11A06	zanb:vowelsigno	ZANABAZAR SQUARE VOWEL SIGN O
11A07	zanb:vowelsignai	ZANABAZAR SQUARE VOWEL SIGN AI
11A08	zanb:vowelsignau	ZANABAZAR SQUARE VOWEL SIGN AU
11A09	zanb:vowelsignreversedi	ZANABAZAR SQUARE VOWEL SIGN REVERSED I
11A0A	zanb:vowellengthmark	ZANABAZAR SQUARE VOWEL LENGTH MARK
11A0B	zanb:ka	ZANABAZAR SQUARE LETTER KA
11A0C	zanb:kha	ZANABAZAR SQUARE LETTER KHA
11A0D	zanb:ga	ZANABAZAR SQUARE LETTER GA
11A0E	zanb:gha	ZANABAZAR SQUARE LETTER GHA
11A0F	zanb:nga	ZANABAZAR SQUARE LETTER NGA
11A10	zanb:ca	ZANABAZAR SQUARE LETTER CA
11A11	zanb:cha	ZANABAZAR SQUARE LETTER CHA
11A12	zanb:ja	ZANABAZAR SQUARE LETTER JA
11A13	zanb:nya	ZANABAZAR SQUARE LETTER NYA
11A14	zanb:tta	ZANABAZAR SQUARE LETTER TTA
11A15	zanb:ttha	ZANABAZAR SQUARE LETTER TTHA
11A16	zanb:dda	ZANABAZAR SQUARE LETTER DDA
11A17	zanb:ddha	ZANABAZAR SQUARE LETTER DDHA
11A18	zanb:nna	ZANABAZAR SQUARE LETTER NNA
11A19	zanb:ta	ZANABAZAR SQUARE LETTER TA
11A1A	zanb:tha	ZANABAZAR SQUARE LETTER THA
11A1B	zanb:da	ZANABAZAR SQUARE LETTER DA
11A1C	zanb:dha	ZANABAZAR SQUARE LETTER DHA
11A1D	zanb:na	ZANABAZAR SQUARE LETTER NA
11A1E	zanb:pa	ZANABAZAR SQUARE LETTER PA
11A1F	zanb:pha	ZANABAZAR SQUARE LETTER PHA
11A20	zanb:ba	ZANABAZAR SQUARE LETTER BA
11A21	zanb:bha	ZANABAZAR SQUARE LETTER BHA
11A22	zanb:ma	ZANABAZAR SQUARE LETTER MA
11A23	zanb:tsa	ZANABAZAR SQUARE LETTER TSA
11A24	zanb:tsha	ZANABAZAR SQUARE LETTER TSHA
11A25	zanb:dza	ZANABAZAR SQUARE LETTER DZA
11A26	zanb:dzha	ZANABAZAR SQUARE LETTER DZHA
11A27	zanb:zha	ZANABAZAR SQUARE LETTER ZHA
11A28	zanb:za	ZANABAZAR SQUARE LETTER ZA
11A29	zanb:dashA	ZANABAZAR SQUARE LETTER -A
11A2A	zanb:ya	ZANABAZAR SQUARE LETTER YA
11A2B	zanb:ra	ZANABAZAR SQUARE LETTER RA
11A2C	zanb:la	ZANABAZAR SQUARE LETTER LA
11A2D	zanb:va	ZANABAZAR SQUARE LETTER VA
11A2E	zanb:sha	ZANABAZAR SQUARE LETTER SHA
11A2F	zanb:ssa	ZANABAZAR SQUARE LETTER SSA
11A30	zanb:sa	ZANABAZAR SQUARE LETTER SA
11A31	zanb:ha	ZANABAZAR SQUARE LETTER HA
11A32	zanb:kssa	ZANABAZAR SQUARE LETTER KSSA
11A33	zanb:finalconsonantmark	ZANABAZAR SQUARE FINAL CONSONANT MARK
11A34	zanb:signvirama	ZANABAZAR SQUARE SIGN VIRAMA
11A35	zanb:signcandrabindu	ZANABAZAR SQUARE SIGN CANDRABINDU
11A36	zanb:signcandrabinduwithornament	ZANABAZAR SQUARE SIGN CANDRABINDU WITH ORNAMENT
11A37	zanb:signcandrawithornament	ZANABAZAR SQUARE SIGN CANDRA WITH ORNAMENT
11A38	zanb:signanusvara	ZANABAZAR SQUARE SIGN ANUSVARA
11A39	zanb:signvisarga	ZANABAZAR SQUARE SIGN VISARGA
11A3A	zanb:raclusterinit	ZANABAZAR SQUARE CLUSTER-INITIAL LETTER RA
11A3B	zanb:yaclusterfina	ZANABAZAR SQUARE CLUSTER-FINAL LETTER YA
11A3C	zanb:raclusterfina	ZANABAZAR SQUARE CLUSTER-FINAL LETTER RA
11A3D	zanb:laclusterfina	ZANABAZAR SQUARE CLUSTER-FINAL LETTER LA
11A3E	zanb:vaclusterfina	ZANABAZAR SQUARE CLUSTER-FINAL LETTER VA
11A3F	zanb:initialheadmark	ZANABAZAR SQUARE INITIAL HEAD MARK
11A40	zanb:closingheadmark	ZANABAZAR SQUARE CLOSING HEAD MARK
11A41	zanb:marktsheg	ZANABAZAR SQUARE MARK TSHEG
11A42	zanb:markshad	ZANABAZAR SQUARE MARK SHAD
11A43	zanb:markdoubleshad	ZANABAZAR SQUARE MARK DOUBLE SHAD
11A44	zanb:marklongtsheg	ZANABAZAR SQUARE MARK LONG TSHEG
11A45	zanb:initialheadmarkdbllined	ZANABAZAR SQUARE INITIAL DOUBLE-LINED HEAD MARK
11A46	zanb:closingheadmarkdbllined	ZANABAZAR SQUARE CLOSING DOUBLE-LINED HEAD MARK
11A47	zanb:subjoiner	ZANABAZAR SQUARE SUBJOINER
