# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D400	Abold	MATHEMATICAL BOLD CAPITAL A
1D401	Bbold	MATHEMATICAL BOLD CAPITAL B
1D402	Cbold	MATHEMATICAL BOLD CAPITAL C
1D403	Dbold	MATHEMATICAL BOLD CAPITAL D
1D404	Ebold	MATHEMATICAL BOLD CAPITAL E
1D405	Fbold	MATHEMATICAL BOLD CAPITAL F
1D406	Gbold	MATHEMATICAL BOLD CAPITAL G
1D407	Hbold	MATHEMATICAL BOLD CAPITAL H
1D408	Ibold	MATHEMATICAL BOLD CAPITAL I
1D409	Jbold	MATHEMATICAL BOLD CAPITAL J
1D40A	Kbold	MATHEMATICAL BOLD CAPITAL K
1D40B	Lbold	MATHEMATICAL BOLD CAPITAL L
1D40C	Mbold	MATHEMATICAL BOLD CAPITAL M
1D40D	Nbold	MATHEMATICAL BOLD CAPITAL N
1D40E	Obold	MATHEMATICAL BOLD CAPITAL O
1D40F	Pbold	MATHEMATICAL BOLD CAPITAL P
1D410	Qbold	MATHEMATICAL BOLD CAPITAL Q
1D411	Rbold	MATHEMATICAL BOLD CAPITAL R
1D412	Sbold	MATHEMATICAL BOLD CAPITAL S
1D413	Tbold	MATHEMATICAL BOLD CAPITAL T
1D414	Ubold	MATHEMATICAL BOLD CAPITAL U
1D415	Vbold	MATHEMATICAL BOLD CAPITAL V
1D416	Wbold	MATHEMATICAL BOLD CAPITAL W
1D417	Xbold	MATHEMATICAL BOLD CAPITAL X
1D418	Ybold	MATHEMATICAL BOLD CAPITAL Y
1D419	Zbold	MATHEMATICAL BOLD CAPITAL Z
1D41A	abold	MATHEMATICAL BOLD SMALL A
1D41B	bbold	MATHEMATICAL BOLD SMALL B
1D41C	cbold	MATHEMATICAL BOLD SMALL C
1D41D	dbold	MATHEMATICAL BOLD SMALL D
1D41E	ebold	MATHEMATICAL BOLD SMALL E
1D41F	fbold	MATHEMATICAL BOLD SMALL F
1D420	gbold	MATHEMATICAL BOLD SMALL G
1D421	hbold	MATHEMATICAL BOLD SMALL H
1D422	ibold	MATHEMATICAL BOLD SMALL I
1D423	jbold	MATHEMATICAL BOLD SMALL J
1D424	kbold	MATHEMATICAL BOLD SMALL K
1D425	lbold	MATHEMATICAL BOLD SMALL L
1D426	mbold	MATHEMATICAL BOLD SMALL M
1D427	nbold	MATHEMATICAL BOLD SMALL N
1D428	obold	MATHEMATICAL BOLD SMALL O
1D429	pbold	MATHEMATICAL BOLD SMALL P
1D42A	qbold	MATHEMATICAL BOLD SMALL Q
1D42B	rbold	MATHEMATICAL BOLD SMALL R
1D42C	sbold	MATHEMATICAL BOLD SMALL S
1D42D	tbold	MATHEMATICAL BOLD SMALL T
1D42E	ubold	MATHEMATICAL BOLD SMALL U
1D42F	vbold	MATHEMATICAL BOLD SMALL V
1D430	wbold	MATHEMATICAL BOLD SMALL W
