# Playing Cards 1F0A0 - 1F0FF
1F0A0	cards:back	PLAYING CARD BACK
1F0A1	cards:aceofspades	PLAYING CARD ACE OF SPADES
1F0A2	cards:twoofspades	PLAYING CARD TWO OF SPADES
1F0A3	cards:threeofspades	PLAYING CARD THREE OF SPADES
1F0A4	cards:fourofspades	PLAYING CARD FOUR OF SPADES
1F0A5	cards:fiveofspades	PLAYING CARD FIVE OF SPADES
1F0A6	cards:sixofspades	PLAYING CARD SIX OF SPADES
1F0A7	cards:sevenofspades	PLAYING CARD SEVEN OF SPADES
1F0A8	cards:eightofspades	PLAYING CARD EIGHT OF SPADES
1F0A9	cards:nineofspades	PLAYING CARD NINE OF SPADES
1F0AA	cards:tenofspades	PLAYING CARD TEN OF SPADES
1F0AB	cards:jackofspades	PLAYING CARD JACK OF SPADES
1F0AC	cards:knightofspades	PLAYING CARD KNIGHT OF SPADES
1F0AD	cards:queenofspades	PLAYING CARD QUEEN OF SPADES
1F0AE	cards:kingofspades	PLAYING CARD KING OF SPADES
1F0B1	cards:aceofhearts	PLAYING CARD ACE OF HEARTS
1F0B2	cards:twoofhearts	PLAYING CARD TWO OF HEARTS
1F0B3	cards:threeofhearts	PLAYING CARD THREE OF HEARTS
1F0B4	cards:fourofhearts	PLAYING CARD FOUR OF HEARTS
1F0B5	cards:fiveofhearts	PLAYING CARD FIVE OF HEARTS
1F0B6	cards:sixofhearts	PLAYING CARD SIX OF HEARTS
1F0B7	cards:sevenofhearts	PLAYING CARD SEVEN OF HEARTS
1F0B8	cards:eightofhearts	PLAYING CARD EIGHT OF HEARTS
1F0B9	cards:nineofhearts	PLAYING CARD NINE OF HEARTS
1F0BA	cards:tenofhearts	PLAYING CARD TEN OF HEARTS
1F0BB	cards:jackofhearts	PLAYING CARD JACK OF HEARTS
1F0BC	cards:knightofhearts	PLAYING CARD KNIGHT OF HEARTS
1F0BD	cards:queenofhearts	PLAYING CARD QUEEN OF HEARTS
1F0BE	cards:kingofhearts	PLAYING CARD KING OF HEARTS
1F0BF	cards:redjoker	PLAYING CARD RED JOKER
1F0C1	cards:aceofdiamonds	PLAYING CARD ACE OF DIAMONDS
1F0C2	cards:twoofdiamonds	PLAYING CARD TWO OF DIAMONDS
1F0C3	cards:threeofdiamonds	PLAYING CARD THREE OF DIAMONDS
1F0C4	cards:fourofdiamonds	PLAYING CARD FOUR OF DIAMONDS
1F0C5	cards:fiveofdiamonds	PLAYING CARD FIVE OF DIAMONDS
1F0C6	cards:sixofdiamonds	PLAYING CARD SIX OF DIAMONDS
1F0C7	cards:sevenofdiamonds	PLAYING CARD SEVEN OF DIAMONDS
1F0C8	cards:eightofdiamonds	PLAYING CARD EIGHT OF DIAMONDS
1F0C9	cards:nineofdiamonds	PLAYING CARD NINE OF DIAMONDS
1F0CA	cards:tenofdiamonds	PLAYING CARD TEN OF DIAMONDS
1F0CB	cards:jackofdiamonds	PLAYING CARD JACK OF DIAMONDS
1F0CC	cards:knightofdiamonds	PLAYING CARD KNIGHT OF DIAMONDS
1F0CD	cards:queenofdiamonds	PLAYING CARD QUEEN OF DIAMONDS
1F0CE	cards:kingofdiamonds	PLAYING CARD KING OF DIAMONDS
1F0CF	cards:blackjoker	PLAYING CARD BLACK JOKER
1F0D1	cards:aceofclubs	PLAYING CARD ACE OF CLUBS
1F0D2	cards:twoofclubs	PLAYING CARD TWO OF CLUBS
1F0D3	cards:threeofclubs	PLAYING CARD THREE OF CLUBS
1F0D4	cards:fourofclubs	PLAYING CARD FOUR OF CLUBS
1F0D5	cards:fiveofclubs	PLAYING CARD FIVE OF CLUBS
1F0D6	cards:sixofclubs	PLAYING CARD SIX OF CLUBS
1F0D7	cards:sevenofclubs	PLAYING CARD SEVEN OF CLUBS
1F0D8	cards:eightofclubs	PLAYING CARD EIGHT OF CLUBS
1F0D9	cards:nineofclubs	PLAYING CARD NINE OF CLUBS
1F0DA	cards:tenofclubs	PLAYING CARD TEN OF CLUBS
1F0DB	cards:jackofclubs	PLAYING CARD JACK OF CLUBS
1F0DC	cards:knightofclubs	PLAYING CARD KNIGHT OF CLUBS
1F0DD	cards:queenofclubs	PLAYING CARD QUEEN OF CLUBS
1F0DE	cards:kingofclubs	PLAYING CARD KING OF CLUBS
1F0DF	cards:whitejoker	PLAYING CARD WHITE JOKER
1F0E0	cards:fool	PLAYING CARD FOOL
1F0E1	cards:trump1	PLAYING CARD TRUMP-1
1F0E2	cards:trump2	PLAYING CARD TRUMP-2
1F0E3	cards:trump3	PLAYING CARD TRUMP-3
1F0E4	cards:trump4	PLAYING CARD TRUMP-4
1F0E5	cards:trump5	PLAYING CARD TRUMP-5
1F0E6	cards:trump6	PLAYING CARD TRUMP-6
1F0E7	cards:trump7	PLAYING CARD TRUMP-7
1F0E8	cards:trump8	PLAYING CARD TRUMP-8
1F0E9	cards:trump9	PLAYING CARD TRUMP-9
1F0EA	cards:trump10	PLAYING CARD TRUMP-10
1F0EB	cards:trump11	PLAYING CARD TRUMP-11
1F0EC	cards:trump12	PLAYING CARD TRUMP-12
1F0ED	cards:trump13	PLAYING CARD TRUMP-13
1F0EE	cards:trump14	PLAYING CARD TRUMP-14
