# Miscellaneous Symbols and Pictographs 1F300 - 1F5FF
1F300	cyclone	CYCLONE
1F301	foggy	FOGGY
1F302	closedUmbrella	CLOSED UMBRELLA
1F303	nightStars	NIGHT WITH STARS
1F304	sunriseOverMountains	SUNRISE OVER MOUNTAINS
1F305	sunrise	SUNRISE
1F306	cityscapeAtDusk	CITYSCAPE AT DUSK
1F307	sunsetOverBuildings	SUNSET OVER BUILDINGS
1F308	rainbow	RAINBOW
1F309	bridgeAtNight	BRIDGE AT NIGHT
1F30A	waterWave	WATER WAVE
1F30B	volcano	VOLCANO
1F30C	milkyWay	MILKY WAY
1F30D	earthGlobeEuropeAfrica	EARTH GLOBE EUROPE-AFRICA
1F30E	earthGlobeAmericas	EARTH GLOBE AMERICAS
1F30F	earthGlobeAsiaAustralia	EARTH GLOBE ASIA-AUSTRALIA
1F310	globeMeridians	GLOBE WITH MERIDIANS
1F311	newMoon	NEW MOON SYMBOL
1F312	waxingCrescentMoon	WAXING CRESCENT MOON SYMBOL
1F313	firstQuarterMoon	FIRST QUARTER MOON SYMBOL
1F314	waxingGibbousMoon	WAXING GIBBOUS MOON SYMBOL
1F315	fullMoon	FULL MOON SYMBOL
1F316	waningGibbousMoon	WANING GIBBOUS MOON SYMBOL
1F317	lastQuarterMoon	LAST QUARTER MOON SYMBOL
1F318	waningCrescentMoon	WANING CRESCENT MOON SYMBOL
1F319	crescentMoon	CRESCENT MOON
1F31A	newMoonFace	NEW MOON WITH FACE
1F31B	firstQuarterMoonFace	FIRST QUARTER MOON WITH FACE
1F31C	lastQuarterMoonFace	LAST QUARTER MOON WITH FACE
1F31D	fullMoonFace	FULL MOON WITH FACE
1F31E	sunFace	SUN WITH FACE
1F31F	glowingStar	GLOWING STAR
1F320	shootingStar	SHOOTING STAR
1F321	thermometer	THERMOMETER
1F322	blackDroplet	BLACK DROPLET
1F323	whiteSun	WHITE SUN
1F324	whiteSunSmallCloud	WHITE SUN WITH SMALL CLOUD
1F325	whiteSunBehindCloud	WHITE SUN BEHIND CLOUD
1F326	whiteSunBehindCloudRain	WHITE SUN BEHIND CLOUD WITH RAIN
1F327	cloudRain	CLOUD WITH RAIN
1F328	cloudSnow	CLOUD WITH SNOW
1F329	cloudLightning	CLOUD WITH LIGHTNING
1F32A	cloudTornado	CLOUD WITH TORNADO
1F32B	fog	FOG
1F32C	windBlowingFace	WIND BLOWING FACE
1F32D	hotDog	HOT DOG
1F32E	taco	TACO
1F32F	burrito	BURRITO
1F330	chestnut	CHESTNUT
1F331	seedling	SEEDLING
1F332	evergreenTree	EVERGREEN TREE
1F333	deciduousTree	DECIDUOUS TREE
1F334	palmTree	PALM TREE
1F335	cactus	CACTUS
1F336	hotPepper	HOT PEPPER
1F337	tulip	TULIP
1F338	cherryBlossom	CHERRY BLOSSOM
1F339	rose	ROSE
1F33A	hibiscus	HIBISCUS
1F33B	sunflower	SUNFLOWER
1F33C	blossom	BLOSSOM
1F33D	earOfMaize	EAR OF MAIZE
1F33E	earOfRice	EAR OF RICE
1F33F	herb	HERB
1F340	fourLeafClover	FOUR LEAF CLOVER
1F341	mapleLeaf	MAPLE LEAF
1F342	fallenLeaf	FALLEN LEAF
1F343	leafFlutteringInWind	LEAF FLUTTERING IN WIND
1F344	mushroom	MUSHROOM
1F345	tomato	TOMATO
1F346	aubergine	AUBERGINE
1F347	grapes	GRAPES
1F348	melon	MELON
1F349	watermelon	WATERMELON
1F34A	tangerine	TANGERINE
1F34B	lemon	LEMON
1F34C	banana	BANANA
1F34D	pineapple	PINEAPPLE
1F34E	redApple	RED APPLE
1F34F	greenApple	GREEN APPLE
1F350	pear	PEAR
1F351	peach	PEACH
1F352	cherries	CHERRIES
1F353	strawberry	STRAWBERRY
1F354	hamburger	HAMBURGER
1F355	sliceOfPizza	SLICE OF PIZZA
1F356	meatOnBone	MEAT ON BONE
1F357	poultryLeg	POULTRY LEG
1F358	riceCracker	RICE CRACKER
1F359	riceBall	RICE BALL
1F35A	cookedRice	COOKED RICE
1F35B	curryAndRice	CURRY AND RICE
1F35C	steamingBowl	STEAMING BOWL
1F35D	spaghetti	SPAGHETTI
1F35E	bread	BREAD
1F35F	frenchFries	FRENCH FRIES
1F360	roastedSweetPotato	ROASTED SWEET POTATO
1F361	dango	DANGO
1F362	oden	ODEN
1F363	sushi	SUSHI
1F364	friedShrimp	FRIED SHRIMP
1F365	fishCakeSwirlDesign	FISH CAKE WITH SWIRL DESIGN
1F366	softIceCream	SOFT ICE CREAM
1F367	shavedIce	SHAVED ICE
1F368	iceCream	ICE CREAM
1F369	doughnut	DOUGHNUT
1F36A	cookie	COOKIE
1F36B	chocolateBar	CHOCOLATE BAR
1F36C	candy	CANDY
1F36D	lollipop	LOLLIPOP
1F36E	custard	CUSTARD
1F36F	honeyPot	HONEY POT
1F370	shortcake	SHORTCAKE
1F371	bentoBox	BENTO BOX
1F372	potOfFood	POT OF FOOD
1F373	cooking	COOKING
1F374	forkKnife	FORK AND KNIFE
1F375	teacupOutHandle	TEACUP WITHOUT HANDLE
1F376	sakeBottleAndCup	SAKE BOTTLE AND CUP
1F377	wineGlass	WINE GLASS
1F378	cocktailGlass	COCKTAIL GLASS
1F379	tropicalDrink	TROPICAL DRINK
1F37A	beerMug	BEER MUG
1F37B	clinkingBeerMugs	CLINKING BEER MUGS
1F37C	babyBottle	BABY BOTTLE
1F37D	forkKnifePlate	FORK AND KNIFE WITH PLATE
1F37E	bottlePoppingCork	BOTTLE WITH POPPING CORK
1F37F	popcorn	POPCORN
1F380	ribbon	RIBBON
1F381	wrappedPresent	WRAPPED PRESENT
1F382	birthdayCake	BIRTHDAY CAKE
1F383	jackOLantern	JACK-O-LANTERN
1F384	christmasTree	CHRISTMAS TREE
1F385	fatherChristmas	FATHER CHRISTMAS
1F386	fireworks	FIREWORKS
1F387	fireworkSparkler	FIREWORK SPARKLER
1F388	balloon	BALLOON
1F389	partyPopper	PARTY POPPER
1F38A	confettiBall	CONFETTI BALL
1F38B	tanabataTree	TANABATA TREE
1F38C	crossedFlags	CROSSED FLAGS
1F38D	pineDecoration	PINE DECORATION
1F38E	japaneseDolls	JAPANESE DOLLS
1F38F	carpStreamer	CARP STREAMER
1F390	windChime	WIND CHIME
1F391	moonViewingCeremony	MOON VIEWING CEREMONY
1F392	schoolSatchel	SCHOOL SATCHEL
1F393	graduationCap	GRADUATION CAP
1F394	heartTipOnTheLeft	HEART WITH TIP ON THE LEFT
1F395	bouquetOfFlowers	BOUQUET OF FLOWERS
1F396	militaryMedal	MILITARY MEDAL
1F397	reminderRibbon	REMINDER RIBBON
1F398	musicalKeyboardJacks	MUSICAL KEYBOARD WITH JACKS
1F399	studioMicrophone	STUDIO MICROPHONE
1F39A	levelSlider	LEVEL SLIDER
1F39B	controlKnobs	CONTROL KNOBS
