# Emoticons 1F600 - 1F64F
1F600	grinningFace	GRINNING FACE
1F601	grinningFaceWithSmilingEyes	GRINNING FACE WITH SMILING EYES
1F602	faceWithTearsOfJoy	FACE WITH TEARS OF JOY
1F603	smilingFaceWithOpenMouth	SMILING FACE WITH OPEN MOUTH
1F604	smilingFaceWithOpenMouthAndSmilingEyes	SMILING FACE WITH OPEN MOUTH AND SMILING EYES
1F605	smilingFaceWithOpenMouthAndColdSweat	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
1F606	smilingFaceWithOpenMouthAndTightlyClosedEyes	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
1F607	smilingFaceWithHalo	SMILING FACE WITH HALO
1F608	smilingFaceWithHorns	SMILING FACE WITH HORNS
1F609	winkingFace	WINKING FACE
1F60A	smilingFaceWithSmilingEyes	SMILING FACE WITH SMILING EYES
1F60B	faceSavouringDeliciousFood	FACE SAVOURING DELICIOUS FOOD
1F60C	relievedFace	RELIEVED FACE
1F60D	smilingFaceWithHeartShapedEyes	SMILING FACE WITH HEART-SHAPED EYES
1F60E	smilingFaceWithSunglasses	SMILING FACE WITH SUNGLASSES
1F60F	smirkingFace	SMIRKING FACE
1F610	neutralFace	NEUTRAL FACE
1F611	expressionlessFace	EXPRESSIONLESS FACE
1F612	unamusedFace	UNAMUSED FACE
1F613	faceWithColdSweat	FACE WITH COLD SWEAT
1F614	pensiveFace	PENSIVE FACE
1F615	confusedFace	CONFUSED FACE
1F616	confoundedFace	CONFOUNDED FACE
1F617	kissingFace	KISSING FACE
1F618	faceThrowingAKiss	FACE THROWING A KISS
1F619	kissingFaceWithSmilingEyes	KISSING FACE WITH SMILING EYES
1F61A	kissingFaceWithClosedEyes	KISSING FACE WITH CLOSED EYES
1F61B	faceWithStuckOutTongue	FACE WITH STUCK-OUT TONGUE
1F61C	faceWithStuckOutTongueAndWinkingEye	FACE WITH STUCK-OUT TONGUE AND WINKING EYE
1F61D	faceWithStuckOutTongueAndTightlyClosedEyes	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
1F61E	disappointedFace	DISAPPOINTED FACE
1F61F	worriedFace	WORRIED FACE
1F620	angryFace	ANGRY FACE
1F621	poutingFace	POUTING FACE
1F622	cryingFace	CRYING FACE
1F623	perseveringFace	PERSEVERING FACE
1F624	faceWithLookOfTriumph	FACE WITH LOOK OF TRIUMPH
1F625	disappointedButRelievedFace	DISAPPOINTED BUT RELIEVED FACE
1F626	frowningFaceWithOpenMouth	FROWNING FACE WITH OPEN MOUTH
1F627	anguishedFace	ANGUISHED FACE
1F628	fearfulFace	FEARFUL FACE
1F629	wearyFace	WEARY FACE
1F62A	sleepyFace	SLEEPY FACE
1F62B	tiredFace	TIRED FACE
1F62C	grimacingFace	GRIMACING FACE
1F62D	loudlyCryingFace	LOUDLY CRYING FACE
1F62E	faceWithOpenMouth	FACE WITH OPEN MOUTH
1F62F	hushedFace	HUSHED FACE
1F630	faceWithOpenMouthAndColdSweat	FACE WITH OPEN MOUTH AND COLD SWEAT
1F631	faceScreamingInFear	FACE SCREAMING IN FEAR
1F632	astonishedFace	ASTONISHED FACE
1F633	flushedFace	FLUSHED FACE
1F634	sleepingFace	SLEEPING FACE
1F635	dizzyFace	DIZZY FACE
1F636	faceWithoutMouth	FACE WITHOUT MOUTH
1F637	faceWithMedicalMask	FACE WITH MEDICAL MASK
1F638	grinningCatFaceWithSmilingEyes	GRINNING CAT FACE WITH SMILING EYES
1F639	catFaceWithTearsOfJoy	CAT FACE WITH TEARS OF JOY
1F63A	smilingCatFaceWithOpenMouth	SMILING CAT FACE WITH OPEN MOUTH
1F63B	smilingCatFaceWithHeartShapedEyes	SMILING CAT FACE WITH HEART-SHAPED EYES
1F63C	catFaceWithWrySmile	CAT FACE WITH WRY SMILE
1F63D	kissingCatFaceWithClosedEyes	KISSING CAT FACE WITH CLOSED EYES
1F63E	poutingCatFace	POUTING CAT FACE
1F63F	cryingCatFace	CRYING CAT FACE
1F640	wearyCatFace	WEARY CAT FACE
1F641	slightlyFrowningFace	SLIGHTLY FROWNING FACE
1F642	slightlySmilingFace	SLIGHTLY SMILING FACE
1F643	upsideDownFace	UPSIDE-DOWN FACE
1F644	faceWithRollingEyes	FACE WITH ROLLING EYES
1F645	faceWithNoGoodGesture	FACE WITH NO GOOD GESTURE
1F646	faceWithOkGesture	FACE WITH OK GESTURE
1F647	personBowingDeeply	PERSON BOWING DEEPLY
1F648	seeNoEvilMonkey	SEE-NO-EVIL MONKEY
1F649	hearNoEvilMonkey	HEAR-NO-EVIL MONKEY
1F64A	speakNoEvilMonkey	SPEAK-NO-EVIL MONKEY
1F64B	happyPersonRaisingOneHand	HAPPY PERSON RAISING ONE HAND
1F64C	personRaisingBothHandsInCelebration	PERSON RAISING BOTH HANDS IN CELEBRATION
1F64D	personFrowning	PERSON FROWNING
1F64E	personWithPoutingFace	PERSON WITH POUTING FACE
1F64F	personWithFoldedHands	PERSON WITH FOLDED HANDS
