   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
------ + --------------------------------------------------+------------------------+---------------------------------------+---------------------------------------+-------------------

    41 : A                                                 A                        A                                       Basic Latin                             LATIN CAPITAL LETTER A
   410 : Acyr                                              Acyr                     Acyr                                    Cyrillic                                CYRILLIC CAPITAL LETTER A
  FF21 : fwd-A                                             Afullwidth               fwd-A                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER A

   F60 : tibt-AA                                           -                        tibt-AA                                 Tibetan                                 TIBETAN LETTER -A   
  A732 : AA                                                -                        AA                                      Latin Extended-D                        LATIN CAPITAL LETTER AA

   102 : Abreve                                            Abreve                   Abreve                                  Latin Extended-A                        LATIN CAPITAL LETTER A WITH BREVE
   4D0 : Abrevecyr                                         Abrevecyr                Abrevecyr                               Cyrillic                                CYRILLIC CAPITAL LETTER A WITH BREVE

    C4 : Adieresis                                         Adieresis                Adieresis                               Latin-1 Supplement                      LATIN CAPITAL LETTER A WITH DIAERESIS
   4D2 : Adieresiscyr                                      Adieresiscyr             Adieresiscyr                            Cyrillic                                CYRILLIC CAPITAL LETTER A WITH DIAERESIS

    42 : B                                                 B                        B                                       Basic Latin                             LATIN CAPITAL LETTER B
  FF22 : fwd-B                                             Bfullwidth               fwd-B                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER B

    43 : C                                                 C                        C                                       Basic Latin                             LATIN CAPITAL LETTER C
  FF23 : fwd-C                                             Cfullwidth               fwd-C                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER C

    44 : D                                                 D                        D                                       Basic Latin                             LATIN CAPITAL LETTER D
  FF24 : fwd-D                                             Dfullwidth               fwd-D                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER D

    45 : E                                                 E                        E                                       Basic Latin                             LATIN CAPITAL LETTER E
  FF25 : fwd-E                                             Efullwidth               fwd-E                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER E

   512 : Elhookcyr                                         -                        Elhookcyr                               Cyrillic Supplement                     CYRILLIC CAPITAL LETTER EL WITH HOOK
   520 : Elhookcyr                                         -                        Elhookcyr                               Cyrillic Supplement                     CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK

   4C7 : Enhookcyr                                         Enhookcyrillic           Enhookcyr                               Cyrillic                                CYRILLIC CAPITAL LETTER EN WITH HOOK
   522 : Enhookcyr                                         -                        Enhookcyr                               Cyrillic Supplement                     CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK

   18E : Ereversed                                         Eturned                  Ereversed                               Latin Extended-B                        LATIN CAPITAL LETTER REVERSED E
   42D : Ereversedcyr                                      Ecyr                     Ereversedcyr                            Cyrillic                                CYRILLIC CAPITAL LETTER E

   538 : armn-Et                                           Etarmenian               armn-Et                                 Armenian                                ARMENIAN CAPITAL LETTER ET
  A76A : Et                                                -                        Et                                      Latin Extended-D                        LATIN CAPITAL LETTER ET

    46 : F                                                 F                        F                                       Basic Latin                             LATIN CAPITAL LETTER F
