# Ancient Greek Musical Notation 1D200 - 1D24F
1D200	greekvocalnotationsymbol1	GREEK VOCAL NOTATION SYMBOL-1
1D201	greekvocalnotationsymbol2	GREEK VOCAL NOTATION SYMBOL-2
1D202	greekvocalnotationsymbol3	GREEK VOCAL NOTATION SYMBOL-3
1D203	greekvocalnotationsymbol4	GREEK VOCAL NOTATION SYMBOL-4
1D204	greekvocalnotationsymbol5	GREEK VOCAL NOTATION SYMBOL-5
1D205	greekvocalnotationsymbol6	GREEK VOCAL NOTATION SYMBOL-6
1D206	greekvocalnotationsymbol7	GREEK VOCAL NOTATION SYMBOL-7
1D207	greekvocalnotationsymbol8	GREEK VOCAL NOTATION SYMBOL-8
1D208	greekvocalnotationsymbol9	GREEK VOCAL NOTATION SYMBOL-9
1D209	greekvocalnotationsymbol10	GREEK VOCAL NOTATION SYMBOL-10
1D20A	greekvocalnotationsymbol11	GREEK VOCAL NOTATION SYMBOL-11
1D20B	greekvocalnotationsymbol12	GREEK VOCAL NOTATION SYMBOL-12
1D20C	greekvocalnotationsymbol13	GREEK VOCAL NOTATION SYMBOL-13
1D20D	greekvocalnotationsymbol14	GREEK VOCAL NOTATION SYMBOL-14
1D20E	greekvocalnotationsymbol15	GREEK VOCAL NOTATION SYMBOL-15
1D20F	greekvocalnotationsymbol16	GREEK VOCAL NOTATION SYMBOL-16
1D210	greekvocalnotationsymbol17	GREEK VOCAL NOTATION SYMBOL-17
1D211	greekvocalnotationsymbol18	GREEK VOCAL NOTATION SYMBOL-18
1D212	greekvocalnotationsymbol19	GREEK VOCAL NOTATION SYMBOL-19
1D213	greekvocalnotationsymbol20	GREEK VOCAL NOTATION SYMBOL-20
1D214	greekvocalnotationsymbol21	GREEK VOCAL NOTATION SYMBOL-21
1D215	greekvocalnotationsymbol22	GREEK VOCAL NOTATION SYMBOL-22
1D216	greekvocalnotationsymbol23	GREEK VOCAL NOTATION SYMBOL-23
1D217	greekvocalnotationsymbol24	GREEK VOCAL NOTATION SYMBOL-24
