# Armenian 0530 - 058F
0531	armn-Ayb	ARMENIAN CAPITAL LETTER AYB
0532	armn-Ben	ARMENIAN CAPITAL LETTER BEN
0533	armn-Gim	ARMENIAN CAPITAL LETTER GIM
0534	armn-Da	ARMENIAN CAPITAL LETTER DA
0535	armn-Ech	ARMENIAN CAPITAL LETTER ECH
0536	armn-Za	ARMENIAN CAPITAL LETTER ZA
0537	armn-Eh	ARMENIAN CAPITAL LETTER EH
0538	armn-Et	ARMENIAN CAPITAL LETTER ET
0539	armn-To	ARMENIAN CAPITAL LETTER TO
053A	armn-Zhe	ARMENIAN CAPITAL LETTER ZHE
053B	armn-Ini	ARMENIAN CAPITAL LETTER INI
053C	armn-Liwn	ARMENIAN CAPITAL LETTER LIWN
053D	armn-Xeh	ARMENIAN CAPITAL LETTER XEH
053E	armn-Ca	ARMENIAN CAPITAL LETTER CA
053F	armn-Ken	ARMENIAN CAPITAL LETTER KEN
0540	armn-Ho	ARMENIAN CAPITAL LETTER HO
0541	armn-Ja	ARMENIAN CAPITAL LETTER JA
0542	armn-Ghad	ARMENIAN CAPITAL LETTER GHAD
0543	armn-Cheh	ARMENIAN CAPITAL LETTER CHEH
0544	armn-Men	ARMENIAN CAPITAL LETTER MEN
0545	armn-Yi	ARMENIAN CAPITAL LETTER YI
0546	armn-Now	ARMENIAN CAPITAL LETTER NOW
0547	armn-Sha	ARMENIAN CAPITAL LETTER SHA
0548	armn-Vo	ARMENIAN CAPITAL LETTER VO
0549	armn-Cha	ARMENIAN CAPITAL LETTER CHA
054A	armn-Peh	ARMENIAN CAPITAL LETTER PEH
054B	armn-Jheh	ARMENIAN CAPITAL LETTER JHEH
054C	armn-Ra	ARMENIAN CAPITAL LETTER RA
054D	armn-Seh	ARMENIAN CAPITAL LETTER SEH
054E	armn-Vew	ARMENIAN CAPITAL LETTER VEW
054F	armn-Tiwn	ARMENIAN CAPITAL LETTER TIWN
0550	armn-Reh	ARMENIAN CAPITAL LETTER REH
0551	armn-Co	ARMENIAN CAPITAL LETTER CO
0552	armn-Yiwn	ARMENIAN CAPITAL LETTER YIWN
0553	armn-Piwr	ARMENIAN CAPITAL LETTER PIWR
0554	armn-Keh	ARMENIAN CAPITAL LETTER KEH
0555	armn-Oh	ARMENIAN CAPITAL LETTER OH
0556	armn-Feh	ARMENIAN CAPITAL LETTER FEH
0559	armn-ringhalfleft	ARMENIAN MODIFIER LETTER LEFT HALF RING
055A	armn-apostrophe	ARMENIAN APOSTROPHE
055B	armn-emphasismark	ARMENIAN EMPHASIS MARK
055C	armn-exclam	ARMENIAN EXCLAMATION MARK
055D	armn-comma	ARMENIAN COMMA
055E	armn-question	ARMENIAN QUESTION MARK
055F	armn-abbreviationmark	ARMENIAN ABBREVIATION MARK
0561	armn-ayb	ARMENIAN SMALL LETTER AYB
0562	armn-ben	ARMENIAN SMALL LETTER BEN
0563	armn-gim	ARMENIAN SMALL LETTER GIM
0564	armn-da	ARMENIAN SMALL LETTER DA
0565	armn-ech	ARMENIAN SMALL LETTER ECH
0566	armn-za	ARMENIAN SMALL LETTER ZA
0567	armn-eh	ARMENIAN SMALL LETTER EH
0568	armn-et	ARMENIAN SMALL LETTER ET
0569	armn-to	ARMENIAN SMALL LETTER TO
056A	armn-zhe	ARMENIAN SMALL LETTER ZHE
056B	armn-ini	ARMENIAN SMALL LETTER INI
056C	armn-liwn	ARMENIAN SMALL LETTER LIWN
056D	armn-xeh	ARMENIAN SMALL LETTER XEH
056E	armn-ca	ARMENIAN SMALL LETTER CA
056F	armn-ken	ARMENIAN SMALL LETTER KEN
0570	armn-ho	ARMENIAN SMALL LETTER HO
0571	armn-ja	ARMENIAN SMALL LETTER JA
0572	armn-ghad	ARMENIAN SMALL LETTER GHAD
0573	armn-cheh	ARMENIAN SMALL LETTER CHEH
0574	armn-men	ARMENIAN SMALL LETTER MEN
0575	armn-yi	ARMENIAN SMALL LETTER YI
0576	armn-now	ARMENIAN SMALL LETTER NOW
0577	armn-sha	ARMENIAN SMALL LETTER SHA
0578	armn-vo	ARMENIAN SMALL LETTER VO
0579	armn-cha	ARMENIAN SMALL LETTER CHA
057A	armn-peh	ARMENIAN SMALL LETTER PEH
057B	armn-jheh	ARMENIAN SMALL LETTER JHEH
057C	armn-ra	ARMENIAN SMALL LETTER RA
057D	armn-seh	ARMENIAN SMALL LETTER SEH
057E	armn-vew	ARMENIAN SMALL LETTER VEW
057F	armn-tiwn	ARMENIAN SMALL LETTER TIWN
0580	armn-reh	ARMENIAN SMALL LETTER REH
0581	armn-co	ARMENIAN SMALL LETTER CO
0582	armn-yiwn	ARMENIAN SMALL LETTER YIWN
0583	armn-piwr	ARMENIAN SMALL LETTER PIWR
0584	armn-keh	ARMENIAN SMALL LETTER KEH
0585	armn-oh	ARMENIAN SMALL LETTER OH
0586	armn-feh	ARMENIAN SMALL LETTER FEH
0587	armn-ech_yiwn	ARMENIAN SMALL LIGATURE ECH YIWN
0589	armn-period	ARMENIAN FULL STOP
058A	armn-hyphen	ARMENIAN HYPHEN
