# Bamum A6A0 - A6FF
A6A0	bamumlettera	BAMUM LETTER A
A6A1	bamumletterka	BAMUM LETTER KA
A6A2	bamumletteru	BAMUM LETTER U
A6A3	bamumletterku	BAMUM LETTER KU
A6A4	bamumletteree	BAMUM LETTER EE
A6A5	bamumletterree	BAMUM LETTER REE
A6A6	bamumlettertae	BAMUM LETTER TAE
A6A7	bamumlettero	BAMUM LETTER O
A6A8	bamumletternyi	BAMUM LETTER NYI
A6A9	bamumletteri	BAMUM LETTER I
A6AA	bamumletterla	BAMUM LETTER LA
A6AB	bamumletterpa	BAMUM LETTER PA
A6AC	bamumletterrii	BAMUM LETTER RII
A6AD	bamumletterriee	BAMUM LETTER RIEE
A6AE	bamumletterleeee	BAMUM LETTER LEEEE
A6AF	bamumlettermeeee	BAMUM LETTER MEEEE
A6B0	bamumlettertaa	BAMUM LETTER TAA
A6B1	bamumletterndaa	BAMUM LETTER NDAA
A6B2	bamumletternjaem	BAMUM LETTER NJAEM
A6B3	bamumletterm	BAMUM LETTER M
A6B4	bamumlettersuu	BAMUM LETTER SUU
A6B5	bamumlettermu	BAMUM LETTER MU
A6B6	bamumlettershii	BAMUM LETTER SHII
A6B7	bamumlettersi	BAMUM LETTER SI
A6B8	bamumlettersheux	BAMUM LETTER SHEUX
A6B9	bamumletterseux	BAMUM LETTER SEUX
A6BA	bamumletterkyee	BAMUM LETTER KYEE
A6BB	bamumletterket	BAMUM LETTER KET
A6BC	bamumletternuae	BAMUM LETTER NUAE
A6BD	bamumletternu	BAMUM LETTER NU
A6BE	bamumletternjuae	BAMUM LETTER NJUAE
A6BF	bamumletteryoq	BAMUM LETTER YOQ
A6C0	bamumlettershu	BAMUM LETTER SHU
A6C1	bamumletteryuq	BAMUM LETTER YUQ
A6C2	bamumletterya	BAMUM LETTER YA
A6C3	bamumletternsha	BAMUM LETTER NSHA
A6C4	bamumletterkeux	BAMUM LETTER KEUX
A6C5	bamumletterpeux	BAMUM LETTER PEUX
A6C6	bamumletternjee	BAMUM LETTER NJEE
A6C7	bamumletterntee	BAMUM LETTER NTEE
A6C8	bamumletterpue	BAMUM LETTER PUE
A6C9	bamumletterwue	BAMUM LETTER WUE
A6CA	bamumletterpee	BAMUM LETTER PEE
A6CB	bamumletterfee	BAMUM LETTER FEE
A6CC	bamumletterru	BAMUM LETTER RU
A6CD	bamumletterlu	BAMUM LETTER LU
A6CE	bamumlettermi	BAMUM LETTER MI
A6CF	bamumletterni	BAMUM LETTER NI
A6D0	bamumletterreux	BAMUM LETTER REUX
A6D1	bamumletterrae	BAMUM LETTER RAE
A6D2	bamumletterken	BAMUM LETTER KEN
A6D3	bamumletterngkwaen	BAMUM LETTER NGKWAEN
A6D4	bamumletterngga	BAMUM LETTER NGGA
A6D5	bamumletternga	BAMUM LETTER NGA
A6D6	bamumlettersho	BAMUM LETTER SHO
A6D7	bamumletterpuae	BAMUM LETTER PUAE
A6D8	bamumletterfu	BAMUM LETTER FU
A6D9	bamumletterfom	BAMUM LETTER FOM
A6DA	bamumletterwa	BAMUM LETTER WA
A6DB	bamumletterna	BAMUM LETTER NA
A6DC	bamumletterli	BAMUM LETTER LI
A6DD	bamumletterpi	BAMUM LETTER PI
A6DE	bamumletterloq	BAMUM LETTER LOQ
A6DF	bamumletterko	BAMUM LETTER KO
A6E0	bamumlettermben	BAMUM LETTER MBEN
A6E1	bamumletterren	BAMUM LETTER REN
A6E2	bamumlettermen	BAMUM LETTER MEN
A6E3	bamumletterma	BAMUM LETTER MA
A6E4	bamumletterti	BAMUM LETTER TI
A6E5	bamumletterki	BAMUM LETTER KI
A6E6	bamumlettermo	BAMUM LETTER MO
A6E7	bamumlettermbaa	BAMUM LETTER MBAA
A6E8	bamumlettertet	BAMUM LETTER TET
A6E9	bamumletterkpa	BAMUM LETTER KPA
A6EA	bamumletterten	BAMUM LETTER TEN
A6EB	bamumletterntuu	BAMUM LETTER NTUU
A6EC	bamumlettersamba	BAMUM LETTER SAMBA
A6ED	bamumletterfaamae	BAMUM LETTER FAAMAE
A6EE	bamumletterkovuu	BAMUM LETTER KOVUU
A6EF	bamumletterkoghom	BAMUM LETTER KOGHOM
A6F0	bamumcombiningmarkkoqndon	BAMUM COMBINING MARK KOQNDON
A6F1	bamumcombiningmarktukwentis	BAMUM COMBINING MARK TUKWENTIS
A6F2	bamumnjaemli	BAMUM NJAEMLI
A6F3	bamumfullstop	BAMUM FULL STOP
A6F4	bamumcolon	BAMUM COLON
A6F5	bamumcomma	BAMUM COMMA
A6F6	bamumsemicolon	BAMUM SEMICOLON
A6F7	bamumquestionmark	BAMUM QUESTION MARK
