# Braille Patterns 2800 - 28FF
2800	braillepatternblank	BRAILLE PATTERN BLANK
2801	braillepatterndots1	BRAILLE PATTERN DOTS-1
2802	braillepatterndots2	BRAILLE PATTERN DOTS-2
2803	braillepatterndots12	BRAILLE PATTERN DOTS-12
2804	braillepatterndots3	BRAILLE PATTERN DOTS-3
2805	braillepatterndots13	BRAILLE PATTERN DOTS-13
2806	braillepatterndots23	BRAILLE PATTERN DOTS-23
2807	braillepatterndots123	BRAILLE PATTERN DOTS-123
2808	braillepatterndots4	BRAILLE PATTERN DOTS-4
2809	braillepatterndots14	BRAILLE PATTERN DOTS-14
280A	braillepatterndots24	BRAILLE PATTERN DOTS-24
280B	braillepatterndots124	BRAILLE PATTERN DOTS-124
280C	braillepatterndots34	BRAILLE PATTERN DOTS-34
280D	braillepatterndots134	BRAILLE PATTERN DOTS-134
280E	braillepatterndots234	BRAILLE PATTERN DOTS-234
280F	braillepatterndots1234	BRAILLE PATTERN DOTS-1234
2810	braillepatterndots5	BRAILLE PATTERN DOTS-5
2811	braillepatterndots15	BRAILLE PATTERN DOTS-15
2812	braillepatterndots25	BRAILLE PATTERN DOTS-25
2813	braillepatterndots125	BRAILLE PATTERN DOTS-125
2814	braillepatterndots35	BRAILLE PATTERN DOTS-35
2815	braillepatterndots135	BRAILLE PATTERN DOTS-135
2816	braillepatterndots235	BRAILLE PATTERN DOTS-235
2817	braillepatterndots1235	BRAILLE PATTERN DOTS-1235
2818	braillepatterndots45	BRAILLE PATTERN DOTS-45
2819	braillepatterndots145	BRAILLE PATTERN DOTS-145
281A	braillepatterndots245	BRAILLE PATTERN DOTS-245
281B	braillepatterndots1245	BRAILLE PATTERN DOTS-1245
281C	braillepatterndots345	BRAILLE PATTERN DOTS-345
281D	braillepatterndots1345	BRAILLE PATTERN DOTS-1345
281E	braillepatterndots2345	BRAILLE PATTERN DOTS-2345
281F	braillepatterndots12345	BRAILLE PATTERN DOTS-12345
2820	braillepatterndots6	BRAILLE PATTERN DOTS-6
2821	braillepatterndots16	BRAILLE PATTERN DOTS-16
2822	braillepatterndots26	BRAILLE PATTERN DOTS-26
2823	braillepatterndots126	BRAILLE PATTERN DOTS-126
2824	braillepatterndots36	BRAILLE PATTERN DOTS-36
2825	braillepatterndots136	BRAILLE PATTERN DOTS-136
2826	braillepatterndots236	BRAILLE PATTERN DOTS-236
2827	braillepatterndots1236	BRAILLE PATTERN DOTS-1236
2828	braillepatterndots46	BRAILLE PATTERN DOTS-46
2829	braillepatterndots146	BRAILLE PATTERN DOTS-146
282A	braillepatterndots246	BRAILLE PATTERN DOTS-246
282B	braillepatterndots1246	BRAILLE PATTERN DOTS-1246
282C	braillepatterndots346	BRAILLE PATTERN DOTS-346
282D	braillepatterndots1346	BRAILLE PATTERN DOTS-1346
282E	braillepatterndots2346	BRAILLE PATTERN DOTS-2346
282F	braillepatterndots12346	BRAILLE PATTERN DOTS-12346
2830	braillepatterndots56	BRAILLE PATTERN DOTS-56
2831	braillepatterndots156	BRAILLE PATTERN DOTS-156
2832	braillepatterndots256	BRAILLE PATTERN DOTS-256
2833	braillepatterndots1256	BRAILLE PATTERN DOTS-1256
2834	braillepatterndots356	BRAILLE PATTERN DOTS-356
2835	braillepatterndots1356	BRAILLE PATTERN DOTS-1356
2836	braillepatterndots2356	BRAILLE PATTERN DOTS-2356
2837	braillepatterndots12356	BRAILLE PATTERN DOTS-12356
2838	braillepatterndots456	BRAILLE PATTERN DOTS-456
2839	braillepatterndots1456	BRAILLE PATTERN DOTS-1456
283A	braillepatterndots2456	BRAILLE PATTERN DOTS-2456
283B	braillepatterndots12456	BRAILLE PATTERN DOTS-12456
283C	braillepatterndots3456	BRAILLE PATTERN DOTS-3456
283D	braillepatterndots13456	BRAILLE PATTERN DOTS-13456
283E	braillepatterndots23456	BRAILLE PATTERN DOTS-23456
283F	braillepatterndots123456	BRAILLE PATTERN DOTS-123456
2840	braillepatterndots7	BRAILLE PATTERN DOTS-7
2841	braillepatterndots17	BRAILLE PATTERN DOTS-17
2842	braillepatterndots27	BRAILLE PATTERN DOTS-27
2843	braillepatterndots127	BRAILLE PATTERN DOTS-127
2844	braillepatterndots37	BRAILLE PATTERN DOTS-37
2845	braillepatterndots137	BRAILLE PATTERN DOTS-137
2846	braillepatterndots237	BRAILLE PATTERN DOTS-237
2847	braillepatterndots1237	BRAILLE PATTERN DOTS-1237
