# Byzantine Musical Symbols 1D000 - 1D0FF
1D000	byzantinemusicalsymbolpsili	BYZANTINE MUSICAL SYMBOL PSILI
1D001	byzantinemusicalsymboldaseia	BYZANTINE MUSICAL SYMBOL DASEIA
1D002	byzantinemusicalsymbolperispomeni	BYZANTINE MUSICAL SYMBOL PERISPOMENI
1D003	byzantinemusicalsymboloxeiaekfonitikon	BYZANTINE MUSICAL SYMBOL OXEIA EKFONITIKON
1D004	byzantinemusicalsymboloxeiadipli	BYZANTINE MUSICAL SYMBOL OXEIA DIPLI
1D005	byzantinemusicalsymbolvareiaekfonitikon	BYZANTINE MUSICAL SYMBOL VAREIA EKFONITIKON
1D006	byzantinemusicalsymbolvareiadipli	BYZANTINE MUSICAL SYMBOL VAREIA DIPLI
1D007	byzantinemusicalsymbolkathisti	BYZANTINE MUSICAL SYMBOL KATHISTI
1D008	byzantinemusicalsymbolsyrmatiki	BYZANTINE MUSICAL SYMBOL SYRMATIKI
1D009	byzantinemusicalsymbolparaklitiki	BYZANTINE MUSICAL SYMBOL PARAKLITIKI
1D00A	byzantinemusicalsymbolypokrisis	BYZANTINE MUSICAL SYMBOL YPOKRISIS
1D00B	byzantinemusicalsymbolypokrisisdipli	BYZANTINE MUSICAL SYMBOL YPOKRISIS DIPLI
1D00C	byzantinemusicalsymbolkremasti	BYZANTINE MUSICAL SYMBOL KREMASTI
1D00D	byzantinemusicalsymbolapesoekfonitikon	BYZANTINE MUSICAL SYMBOL APESO EKFONITIKON
1D00E	byzantinemusicalsymbolexoekfonitikon	BYZANTINE MUSICAL SYMBOL EXO EKFONITIKON
1D00F	byzantinemusicalsymbolteleia	BYZANTINE MUSICAL SYMBOL TELEIA
1D010	byzantinemusicalsymbolkentimata	BYZANTINE MUSICAL SYMBOL KENTIMATA
1D011	byzantinemusicalsymbolapostrofos	BYZANTINE MUSICAL SYMBOL APOSTROFOS
1D012	byzantinemusicalsymbolapostrofosdipli	BYZANTINE MUSICAL SYMBOL APOSTROFOS DIPLI
1D013	byzantinemusicalsymbolsynevma	BYZANTINE MUSICAL SYMBOL SYNEVMA
1D014	byzantinemusicalsymbolthita	BYZANTINE MUSICAL SYMBOL THITA
1D015	byzantinemusicalsymbololigonarchaion	BYZANTINE MUSICAL SYMBOL OLIGON ARCHAION
1D016	byzantinemusicalsymbolgorgonarchaion	BYZANTINE MUSICAL SYMBOL GORGON ARCHAION
1D017	byzantinemusicalsymbolpsilon	BYZANTINE MUSICAL SYMBOL PSILON
1D018	byzantinemusicalsymbolchamilon	BYZANTINE MUSICAL SYMBOL CHAMILON
