# CJK Compatibility Ideographs F900 - FAFF
F900	cjkcompatibilityideographf900	CJK COMPATIBILITY IDEOGRAPH-F900
F901	cjkcompatibilityideographf901	CJK COMPATIBILITY IDEOGRAPH-F901
F902	cjkcompatibilityideographf902	CJK COMPATIBILITY IDEOGRAPH-F902
F903	cjkcompatibilityideographf903	CJK COMPATIBILITY IDEOGRAPH-F903
F904	cjkcompatibilityideographf904	CJK COMPATIBILITY IDEOGRAPH-F904
F905	cjkcompatibilityideographf905	CJK COMPATIBILITY IDEOGRAPH-F905
F906	cjkcompatibilityideographf906	CJK COMPATIBILITY IDEOGRAPH-F906
F907	cjkcompatibilityideographf907	CJK COMPATIBILITY IDEOGRAPH-F907
F908	cjkcompatibilityideographf908	CJK COMPATIBILITY IDEOGRAPH-F908
F909	cjkcompatibilityideographf909	CJK COMPATIBILITY IDEOGRAPH-F909
F90A	cjkcompatibilityideographf90a	CJK COMPATIBILITY IDEOGRAPH-F90A
F90B	cjkcompatibilityideographf90b	CJK COMPATIBILITY IDEOGRAPH-F90B
F90C	cjkcompatibilityideographf90c	CJK COMPATIBILITY IDEOGRAPH-F90C
F90D	cjkcompatibilityideographf90d	CJK COMPATIBILITY IDEOGRAPH-F90D
F90E	cjkcompatibilityideographf90e	CJK COMPATIBILITY IDEOGRAPH-F90E
F90F	cjkcompatibilityideographf90f	CJK COMPATIBILITY IDEOGRAPH-F90F
F910	cjkcompatibilityideographf910	CJK COMPATIBILITY IDEOGRAPH-F910
F911	cjkcompatibilityideographf911	CJK COMPATIBILITY IDEOGRAPH-F911
F912	cjkcompatibilityideographf912	CJK COMPATIBILITY IDEOGRAPH-F912
F913	cjkcompatibilityideographf913	CJK COMPATIBILITY IDEOGRAPH-F913
F914	cjkcompatibilityideographf914	CJK COMPATIBILITY IDEOGRAPH-F914
F915	cjkcompatibilityideographf915	CJK COMPATIBILITY IDEOGRAPH-F915
F916	cjkcompatibilityideographf916	CJK COMPATIBILITY IDEOGRAPH-F916
F917	cjkcompatibilityideographf917	CJK COMPATIBILITY IDEOGRAPH-F917
F918	cjkcompatibilityideographf918	CJK COMPATIBILITY IDEOGRAPH-F918
F919	cjkcompatibilityideographf919	CJK COMPATIBILITY IDEOGRAPH-F919
F91A	cjkcompatibilityideographf91a	CJK COMPATIBILITY IDEOGRAPH-F91A
F91B	cjkcompatibilityideographf91b	CJK COMPATIBILITY IDEOGRAPH-F91B
F91C	cjkcompatibilityideographf91c	CJK COMPATIBILITY IDEOGRAPH-F91C
F91D	cjkcompatibilityideographf91d	CJK COMPATIBILITY IDEOGRAPH-F91D
