# CJK Strokes 31C0 - 31EF
31C0	cjkstroket	CJK STROKE T
31C1	cjkstrokewg	CJK STROKE WG
31C2	cjkstrokexg	CJK STROKE XG
31C3	cjkstrokebxg	CJK STROKE BXG
31C4	cjkstrokesw	CJK STROKE SW
31C5	cjkstrokehzz	CJK STROKE HZZ
31C6	cjkstrokehzg	CJK STROKE HZG
31C7	cjkstrokehp	CJK STROKE HP
31C8	cjkstrokehzwg	CJK STROKE HZWG
31C9	cjkstrokeszwg	CJK STROKE SZWG
31CA	cjkstrokehzt	CJK STROKE HZT
31CB	cjkstrokehzzp	CJK STROKE HZZP
31CC	cjkstrokehpwg	CJK STROKE HPWG
31CD	cjkstrokehzw	CJK STROKE HZW
31CE	cjkstrokehzzz	CJK STROKE HZZZ
31CF	cjkstroken	CJK STROKE N
31D0	cjkstrokeh	CJK STROKE H
31D1	cjkstrokes	CJK STROKE S
31D2	cjkstrokep	CJK STROKE P
31D3	cjkstrokesp	CJK STROKE SP
31D4	cjkstroked	CJK STROKE D
31D5	cjkstrokehz	CJK STROKE HZ
31D6	cjkstrokehg	CJK STROKE HG
31D7	cjkstrokesz	CJK STROKE SZ
31D8	cjkstrokeswz	CJK STROKE SWZ
31D9	cjkstrokest	CJK STROKE ST
31DA	cjkstrokesg	CJK STROKE SG
31DB	cjkstrokepd	CJK STROKE PD
31DC	cjkstrokepz	CJK STROKE PZ
31DD	cjkstroketn	CJK STROKE TN
31DE	cjkstrokeszz	CJK STROKE SZZ
31DF	cjkstrokeswg	CJK STROKE SWG
31E0	cjkstrokehxwg	CJK STROKE HXWG
31E1	cjkstrokehzzzg	CJK STROKE HZZZG
31E2	cjkstrokepg	CJK STROKE PG
31E3	cjkstrokeq	CJK STROKE Q
