# CJK Unified Ideographs Extension A 3400 - 4DBF
3400	cjkunifiedideograph3400	CJK UNIFIED IDEOGRAPH-3400
3401	cjkunifiedideograph3401	CJK UNIFIED IDEOGRAPH-3401
3402	cjkunifiedideograph3402	CJK UNIFIED IDEOGRAPH-3402
3403	cjkunifiedideograph3403	CJK UNIFIED IDEOGRAPH-3403
3404	cjkunifiedideograph3404	CJK UNIFIED IDEOGRAPH-3404
3405	cjkunifiedideograph3405	CJK UNIFIED IDEOGRAPH-3405
3406	cjkunifiedideograph3406	CJK UNIFIED IDEOGRAPH-3406
3407	cjkunifiedideograph3407	CJK UNIFIED IDEOGRAPH-3407
3408	cjkunifiedideograph3408	CJK UNIFIED IDEOGRAPH-3408
3409	cjkunifiedideograph3409	CJK UNIFIED IDEOGRAPH-3409
340A	cjkunifiedideograph340a	CJK UNIFIED IDEOGRAPH-340A
340B	cjkunifiedideograph340b	CJK UNIFIED IDEOGRAPH-340B
340C	cjkunifiedideograph340c	CJK UNIFIED IDEOGRAPH-340C
340D	cjkunifiedideograph340d	CJK UNIFIED IDEOGRAPH-340D
340E	cjkunifiedideograph340e	CJK UNIFIED IDEOGRAPH-340E
340F	cjkunifiedideograph340f	CJK UNIFIED IDEOGRAPH-340F
3410	cjkunifiedideograph3410	CJK UNIFIED IDEOGRAPH-3410
3411	cjkunifiedideograph3411	CJK UNIFIED IDEOGRAPH-3411
3412	cjkunifiedideograph3412	CJK UNIFIED IDEOGRAPH-3412
3413	cjkunifiedideograph3413	CJK UNIFIED IDEOGRAPH-3413
3414	cjkunifiedideograph3414	CJK UNIFIED IDEOGRAPH-3414
3415	cjkunifiedideograph3415	CJK UNIFIED IDEOGRAPH-3415
3416	cjkunifiedideograph3416	CJK UNIFIED IDEOGRAPH-3416
3417	cjkunifiedideograph3417	CJK UNIFIED IDEOGRAPH-3417
3418	cjkunifiedideograph3418	CJK UNIFIED IDEOGRAPH-3418
3419	cjkunifiedideograph3419	CJK UNIFIED IDEOGRAPH-3419
341A	cjkunifiedideograph341a	CJK UNIFIED IDEOGRAPH-341A
341B	cjkunifiedideograph341b	CJK UNIFIED IDEOGRAPH-341B
341C	cjkunifiedideograph341c	CJK UNIFIED IDEOGRAPH-341C
341D	cjkunifiedideograph341d	CJK UNIFIED IDEOGRAPH-341D
341E	cjkunifiedideograph341e	CJK UNIFIED IDEOGRAPH-341E
341F	cjkunifiedideograph341f	CJK UNIFIED IDEOGRAPH-341F
3420	cjkunifiedideograph3420	CJK UNIFIED IDEOGRAPH-3420
3421	cjkunifiedideograph3421	CJK UNIFIED IDEOGRAPH-3421
3422	cjkunifiedideograph3422	CJK UNIFIED IDEOGRAPH-3422
3423	cjkunifiedideograph3423	CJK UNIFIED IDEOGRAPH-3423
3424	cjkunifiedideograph3424	CJK UNIFIED IDEOGRAPH-3424
3425	cjkunifiedideograph3425	CJK UNIFIED IDEOGRAPH-3425
3426	cjkunifiedideograph3426	CJK UNIFIED IDEOGRAPH-3426
3427	cjkunifiedideograph3427	CJK UNIFIED IDEOGRAPH-3427
3428	cjkunifiedideograph3428	CJK UNIFIED IDEOGRAPH-3428
3429	cjkunifiedideograph3429	CJK UNIFIED IDEOGRAPH-3429
342A	cjkunifiedideograph342a	CJK UNIFIED IDEOGRAPH-342A
342B	cjkunifiedideograph342b	CJK UNIFIED IDEOGRAPH-342B
342C	cjkunifiedideograph342c	CJK UNIFIED IDEOGRAPH-342C
342D	cjkunifiedideograph342d	CJK UNIFIED IDEOGRAPH-342D
342E	cjkunifiedideograph342e	CJK UNIFIED IDEOGRAPH-342E
342F	cjkunifiedideograph342f	CJK UNIFIED IDEOGRAPH-342F
3430	cjkunifiedideograph3430	CJK UNIFIED IDEOGRAPH-3430
3431	cjkunifiedideograph3431	CJK UNIFIED IDEOGRAPH-3431
3432	cjkunifiedideograph3432	CJK UNIFIED IDEOGRAPH-3432
3433	cjkunifiedideograph3433	CJK UNIFIED IDEOGRAPH-3433
3434	cjkunifiedideograph3434	CJK UNIFIED IDEOGRAPH-3434
3435	cjkunifiedideograph3435	CJK UNIFIED IDEOGRAPH-3435
3436	cjkunifiedideograph3436	CJK UNIFIED IDEOGRAPH-3436
3437	cjkunifiedideograph3437	CJK UNIFIED IDEOGRAPH-3437
3438	cjkunifiedideograph3438	CJK UNIFIED IDEOGRAPH-3438
3439	cjkunifiedideograph3439	CJK UNIFIED IDEOGRAPH-3439
343A	cjkunifiedideograph343a	CJK UNIFIED IDEOGRAPH-343A
343B	cjkunifiedideograph343b	CJK UNIFIED IDEOGRAPH-343B
343C	cjkunifiedideograph343c	CJK UNIFIED IDEOGRAPH-343C
343D	cjkunifiedideograph343d	CJK UNIFIED IDEOGRAPH-343D
343E	cjkunifiedideograph343e	CJK UNIFIED IDEOGRAPH-343E
343F	cjkunifiedideograph343f	CJK UNIFIED IDEOGRAPH-343F
3440	cjkunifiedideograph3440	CJK UNIFIED IDEOGRAPH-3440
3441	cjkunifiedideograph3441	CJK UNIFIED IDEOGRAPH-3441
3442	cjkunifiedideograph3442	CJK UNIFIED IDEOGRAPH-3442
3443	cjkunifiedideograph3443	CJK UNIFIED IDEOGRAPH-3443
3444	cjkunifiedideograph3444	CJK UNIFIED IDEOGRAPH-3444
3445	cjkunifiedideograph3445	CJK UNIFIED IDEOGRAPH-3445
3446	cjkunifiedideograph3446	CJK UNIFIED IDEOGRAPH-3446
3447	cjkunifiedideograph3447	CJK UNIFIED IDEOGRAPH-3447
3448	cjkunifiedideograph3448	CJK UNIFIED IDEOGRAPH-3448
3449	cjkunifiedideograph3449	CJK UNIFIED IDEOGRAPH-3449
344A	cjkunifiedideograph344a	CJK UNIFIED IDEOGRAPH-344A
344B	cjkunifiedideograph344b	CJK UNIFIED IDEOGRAPH-344B
344C	cjkunifiedideograph344c	CJK UNIFIED IDEOGRAPH-344C
344D	cjkunifiedideograph344d	CJK UNIFIED IDEOGRAPH-344D
344E	cjkunifiedideograph344e	CJK UNIFIED IDEOGRAPH-344E
344F	cjkunifiedideograph344f	CJK UNIFIED IDEOGRAPH-344F
3450	cjkunifiedideograph3450	CJK UNIFIED IDEOGRAPH-3450
3451	cjkunifiedideograph3451	CJK UNIFIED IDEOGRAPH-3451
3452	cjkunifiedideograph3452	CJK UNIFIED IDEOGRAPH-3452
3453	cjkunifiedideograph3453	CJK UNIFIED IDEOGRAPH-3453
3454	cjkunifiedideograph3454	CJK UNIFIED IDEOGRAPH-3454
3455	cjkunifiedideograph3455	CJK UNIFIED IDEOGRAPH-3455
3456	cjkunifiedideograph3456	CJK UNIFIED IDEOGRAPH-3456
3457	cjkunifiedideograph3457	CJK UNIFIED IDEOGRAPH-3457
3458	cjkunifiedideograph3458	CJK UNIFIED IDEOGRAPH-3458
3459	cjkunifiedideograph3459	CJK UNIFIED IDEOGRAPH-3459
345A	cjkunifiedideograph345a	CJK UNIFIED IDEOGRAPH-345A
345B	cjkunifiedideograph345b	CJK UNIFIED IDEOGRAPH-345B
345C	cjkunifiedideograph345c	CJK UNIFIED IDEOGRAPH-345C
345D	cjkunifiedideograph345d	CJK UNIFIED IDEOGRAPH-345D
345E	cjkunifiedideograph345e	CJK UNIFIED IDEOGRAPH-345E
345F	cjkunifiedideograph345f	CJK UNIFIED IDEOGRAPH-345F
3460	cjkunifiedideograph3460	CJK UNIFIED IDEOGRAPH-3460
3461	cjkunifiedideograph3461	CJK UNIFIED IDEOGRAPH-3461
3462	cjkunifiedideograph3462	CJK UNIFIED IDEOGRAPH-3462
3463	cjkunifiedideograph3463	CJK UNIFIED IDEOGRAPH-3463
3464	cjkunifiedideograph3464	CJK UNIFIED IDEOGRAPH-3464
3465	cjkunifiedideograph3465	CJK UNIFIED IDEOGRAPH-3465
3466	cjkunifiedideograph3466	CJK UNIFIED IDEOGRAPH-3466
3467	cjkunifiedideograph3467	CJK UNIFIED IDEOGRAPH-3467
3468	cjkunifiedideograph3468	CJK UNIFIED IDEOGRAPH-3468
3469	cjkunifiedideograph3469	CJK UNIFIED IDEOGRAPH-3469
346A	cjkunifiedideograph346a	CJK UNIFIED IDEOGRAPH-346A
346B	cjkunifiedideograph346b	CJK UNIFIED IDEOGRAPH-346B
346C	cjkunifiedideograph346c	CJK UNIFIED IDEOGRAPH-346C
346D	cjkunifiedideograph346d	CJK UNIFIED IDEOGRAPH-346D
346E	cjkunifiedideograph346e	CJK UNIFIED IDEOGRAPH-346E
346F	cjkunifiedideograph346f	CJK UNIFIED IDEOGRAPH-346F
3470	cjkunifiedideograph3470	CJK UNIFIED IDEOGRAPH-3470
3471	cjkunifiedideograph3471	CJK UNIFIED IDEOGRAPH-3471
3472	cjkunifiedideograph3472	CJK UNIFIED IDEOGRAPH-3472
3473	cjkunifiedideograph3473	CJK UNIFIED IDEOGRAPH-3473
3474	cjkunifiedideograph3474	CJK UNIFIED IDEOGRAPH-3474
3475	cjkunifiedideograph3475	CJK UNIFIED IDEOGRAPH-3475
3476	cjkunifiedideograph3476	CJK UNIFIED IDEOGRAPH-3476
3477	cjkunifiedideograph3477	CJK UNIFIED IDEOGRAPH-3477
3478	cjkunifiedideograph3478	CJK UNIFIED IDEOGRAPH-3478
3479	cjkunifiedideograph3479	CJK UNIFIED IDEOGRAPH-3479
347A	cjkunifiedideograph347a	CJK UNIFIED IDEOGRAPH-347A
347B	cjkunifiedideograph347b	CJK UNIFIED IDEOGRAPH-347B
347C	cjkunifiedideograph347c	CJK UNIFIED IDEOGRAPH-347C
347D	cjkunifiedideograph347d	CJK UNIFIED IDEOGRAPH-347D
347E	cjkunifiedideograph347e	CJK UNIFIED IDEOGRAPH-347E
347F	cjkunifiedideograph347f	CJK UNIFIED IDEOGRAPH-347F
3480	cjkunifiedideograph3480	CJK UNIFIED IDEOGRAPH-3480
3481	cjkunifiedideograph3481	CJK UNIFIED IDEOGRAPH-3481
3482	cjkunifiedideograph3482	CJK UNIFIED IDEOGRAPH-3482
3483	cjkunifiedideograph3483	CJK UNIFIED IDEOGRAPH-3483
3484	cjkunifiedideograph3484	CJK UNIFIED IDEOGRAPH-3484
3485	cjkunifiedideograph3485	CJK UNIFIED IDEOGRAPH-3485
3486	cjkunifiedideograph3486	CJK UNIFIED IDEOGRAPH-3486
3487	cjkunifiedideograph3487	CJK UNIFIED IDEOGRAPH-3487
3488	cjkunifiedideograph3488	CJK UNIFIED IDEOGRAPH-3488
3489	cjkunifiedideograph3489	CJK UNIFIED IDEOGRAPH-3489
348A	cjkunifiedideograph348a	CJK UNIFIED IDEOGRAPH-348A
348B	cjkunifiedideograph348b	CJK UNIFIED IDEOGRAPH-348B
348C	cjkunifiedideograph348c	CJK UNIFIED IDEOGRAPH-348C
348D	cjkunifiedideograph348d	CJK UNIFIED IDEOGRAPH-348D
348E	cjkunifiedideograph348e	CJK UNIFIED IDEOGRAPH-348E
348F	cjkunifiedideograph348f	CJK UNIFIED IDEOGRAPH-348F
3490	cjkunifiedideograph3490	CJK UNIFIED IDEOGRAPH-3490
3491	cjkunifiedideograph3491	CJK UNIFIED IDEOGRAPH-3491
3492	cjkunifiedideograph3492	CJK UNIFIED IDEOGRAPH-3492
3493	cjkunifiedideograph3493	CJK UNIFIED IDEOGRAPH-3493
3494	cjkunifiedideograph3494	CJK UNIFIED IDEOGRAPH-3494
3495	cjkunifiedideograph3495	CJK UNIFIED IDEOGRAPH-3495
3496	cjkunifiedideograph3496	CJK UNIFIED IDEOGRAPH-3496
3497	cjkunifiedideograph3497	CJK UNIFIED IDEOGRAPH-3497
3498	cjkunifiedideograph3498	CJK UNIFIED IDEOGRAPH-3498
3499	cjkunifiedideograph3499	CJK UNIFIED IDEOGRAPH-3499
349A	cjkunifiedideograph349a	CJK UNIFIED IDEOGRAPH-349A
349B	cjkunifiedideograph349b	CJK UNIFIED IDEOGRAPH-349B
349C	cjkunifiedideograph349c	CJK UNIFIED IDEOGRAPH-349C
349D	cjkunifiedideograph349d	CJK UNIFIED IDEOGRAPH-349D
349E	cjkunifiedideograph349e	CJK UNIFIED IDEOGRAPH-349E
349F	cjkunifiedideograph349f	CJK UNIFIED IDEOGRAPH-349F
34A0	cjkunifiedideograph34a0	CJK UNIFIED IDEOGRAPH-34A0
34A1	cjkunifiedideograph34a1	CJK UNIFIED IDEOGRAPH-34A1
