# CJK Unified Ideographs Extension B 20000 - 2A6DF
20000	cjkunifiedideograph20000	CJK UNIFIED IDEOGRAPH-20000
20001	cjkunifiedideograph20001	CJK UNIFIED IDEOGRAPH-20001
20002	cjkunifiedideograph20002	CJK UNIFIED IDEOGRAPH-20002
20003	cjkunifiedideograph20003	CJK UNIFIED IDEOGRAPH-20003
20004	cjkunifiedideograph20004	CJK UNIFIED IDEOGRAPH-20004
20005	cjkunifiedideograph20005	CJK UNIFIED IDEOGRAPH-20005
20006	cjkunifiedideograph20006	CJK UNIFIED IDEOGRAPH-20006
20007	cjkunifiedideograph20007	CJK UNIFIED IDEOGRAPH-20007
20008	cjkunifiedideograph20008	CJK UNIFIED IDEOGRAPH-20008
20009	cjkunifiedideograph20009	CJK UNIFIED IDEOGRAPH-20009
2000A	cjkunifiedideograph2000a	CJK UNIFIED IDEOGRAPH-2000A
2000B	cjkunifiedideograph2000b	CJK UNIFIED IDEOGRAPH-2000B
2000C	cjkunifiedideograph2000c	CJK UNIFIED IDEOGRAPH-2000C
2000D	cjkunifiedideograph2000d	CJK UNIFIED IDEOGRAPH-2000D
2000E	cjkunifiedideograph2000e	CJK UNIFIED IDEOGRAPH-2000E
2000F	cjkunifiedideograph2000f	CJK UNIFIED IDEOGRAPH-2000F
20010	cjkunifiedideograph20010	CJK UNIFIED IDEOGRAPH-20010
20011	cjkunifiedideograph20011	CJK UNIFIED IDEOGRAPH-20011
20012	cjkunifiedideograph20012	CJK UNIFIED IDEOGRAPH-20012
20013	cjkunifiedideograph20013	CJK UNIFIED IDEOGRAPH-20013
20014	cjkunifiedideograph20014	CJK UNIFIED IDEOGRAPH-20014
20015	cjkunifiedideograph20015	CJK UNIFIED IDEOGRAPH-20015
20016	cjkunifiedideograph20016	CJK UNIFIED IDEOGRAPH-20016
20017	cjkunifiedideograph20017	CJK UNIFIED IDEOGRAPH-20017
20018	cjkunifiedideograph20018	CJK UNIFIED IDEOGRAPH-20018
20019	cjkunifiedideograph20019	CJK UNIFIED IDEOGRAPH-20019
2001A	cjkunifiedideograph2001a	CJK UNIFIED IDEOGRAPH-2001A
2001B	cjkunifiedideograph2001b	CJK UNIFIED IDEOGRAPH-2001B
2001C	cjkunifiedideograph2001c	CJK UNIFIED IDEOGRAPH-2001C
2001D	cjkunifiedideograph2001d	CJK UNIFIED IDEOGRAPH-2001D
2001E	cjkunifiedideograph2001e	CJK UNIFIED IDEOGRAPH-2001E
2001F	cjkunifiedideograph2001f	CJK UNIFIED IDEOGRAPH-2001F
20020	cjkunifiedideograph20020	CJK UNIFIED IDEOGRAPH-20020
20021	cjkunifiedideograph20021	CJK UNIFIED IDEOGRAPH-20021
20022	cjkunifiedideograph20022	CJK UNIFIED IDEOGRAPH-20022
20023	cjkunifiedideograph20023	CJK UNIFIED IDEOGRAPH-20023
20024	cjkunifiedideograph20024	CJK UNIFIED IDEOGRAPH-20024
20025	cjkunifiedideograph20025	CJK UNIFIED IDEOGRAPH-20025
20026	cjkunifiedideograph20026	CJK UNIFIED IDEOGRAPH-20026
20027	cjkunifiedideograph20027	CJK UNIFIED IDEOGRAPH-20027
20028	cjkunifiedideograph20028	CJK UNIFIED IDEOGRAPH-20028
20029	cjkunifiedideograph20029	CJK UNIFIED IDEOGRAPH-20029
2002A	cjkunifiedideograph2002a	CJK UNIFIED IDEOGRAPH-2002A
2002B	cjkunifiedideograph2002b	CJK UNIFIED IDEOGRAPH-2002B
2002C	cjkunifiedideograph2002c	CJK UNIFIED IDEOGRAPH-2002C
2002D	cjkunifiedideograph2002d	CJK UNIFIED IDEOGRAPH-2002D
2002E	cjkunifiedideograph2002e	CJK UNIFIED IDEOGRAPH-2002E
2002F	cjkunifiedideograph2002f	CJK UNIFIED IDEOGRAPH-2002F
20030	cjkunifiedideograph20030	CJK UNIFIED IDEOGRAPH-20030
20031	cjkunifiedideograph20031	CJK UNIFIED IDEOGRAPH-20031
20032	cjkunifiedideograph20032	CJK UNIFIED IDEOGRAPH-20032
20033	cjkunifiedideograph20033	CJK UNIFIED IDEOGRAPH-20033
20034	cjkunifiedideograph20034	CJK UNIFIED IDEOGRAPH-20034
20035	cjkunifiedideograph20035	CJK UNIFIED IDEOGRAPH-20035
20036	cjkunifiedideograph20036	CJK UNIFIED IDEOGRAPH-20036
20037	cjkunifiedideograph20037	CJK UNIFIED IDEOGRAPH-20037
20038	cjkunifiedideograph20038	CJK UNIFIED IDEOGRAPH-20038
20039	cjkunifiedideograph20039	CJK UNIFIED IDEOGRAPH-20039
2003A	cjkunifiedideograph2003a	CJK UNIFIED IDEOGRAPH-2003A
2003B	cjkunifiedideograph2003b	CJK UNIFIED IDEOGRAPH-2003B
2003C	cjkunifiedideograph2003c	CJK UNIFIED IDEOGRAPH-2003C
2003D	cjkunifiedideograph2003d	CJK UNIFIED IDEOGRAPH-2003D
2003E	cjkunifiedideograph2003e	CJK UNIFIED IDEOGRAPH-2003E
2003F	cjkunifiedideograph2003f	CJK UNIFIED IDEOGRAPH-2003F
20040	cjkunifiedideograph20040	CJK UNIFIED IDEOGRAPH-20040
20041	cjkunifiedideograph20041	CJK UNIFIED IDEOGRAPH-20041
20042	cjkunifiedideograph20042	CJK UNIFIED IDEOGRAPH-20042
20043	cjkunifiedideograph20043	CJK UNIFIED IDEOGRAPH-20043
20044	cjkunifiedideograph20044	CJK UNIFIED IDEOGRAPH-20044
20045	cjkunifiedideograph20045	CJK UNIFIED IDEOGRAPH-20045
20046	cjkunifiedideograph20046	CJK UNIFIED IDEOGRAPH-20046
20047	cjkunifiedideograph20047	CJK UNIFIED IDEOGRAPH-20047
20048	cjkunifiedideograph20048	CJK UNIFIED IDEOGRAPH-20048
20049	cjkunifiedideograph20049	CJK UNIFIED IDEOGRAPH-20049
2004A	cjkunifiedideograph2004a	CJK UNIFIED IDEOGRAPH-2004A
2004B	cjkunifiedideograph2004b	CJK UNIFIED IDEOGRAPH-2004B
2004C	cjkunifiedideograph2004c	CJK UNIFIED IDEOGRAPH-2004C
2004D	cjkunifiedideograph2004d	CJK UNIFIED IDEOGRAPH-2004D
2004E	cjkunifiedideograph2004e	CJK UNIFIED IDEOGRAPH-2004E
2004F	cjkunifiedideograph2004f	CJK UNIFIED IDEOGRAPH-2004F
20050	cjkunifiedideograph20050	CJK UNIFIED IDEOGRAPH-20050
20051	cjkunifiedideograph20051	CJK UNIFIED IDEOGRAPH-20051
20052	cjkunifiedideograph20052	CJK UNIFIED IDEOGRAPH-20052
20053	cjkunifiedideograph20053	CJK UNIFIED IDEOGRAPH-20053
20054	cjkunifiedideograph20054	CJK UNIFIED IDEOGRAPH-20054
20055	cjkunifiedideograph20055	CJK UNIFIED IDEOGRAPH-20055
20056	cjkunifiedideograph20056	CJK UNIFIED IDEOGRAPH-20056
20057	cjkunifiedideograph20057	CJK UNIFIED IDEOGRAPH-20057
20058	cjkunifiedideograph20058	CJK UNIFIED IDEOGRAPH-20058
20059	cjkunifiedideograph20059	CJK UNIFIED IDEOGRAPH-20059
2005A	cjkunifiedideograph2005a	CJK UNIFIED IDEOGRAPH-2005A
2005B	cjkunifiedideograph2005b	CJK UNIFIED IDEOGRAPH-2005B
2005C	cjkunifiedideograph2005c	CJK UNIFIED IDEOGRAPH-2005C
2005D	cjkunifiedideograph2005d	CJK UNIFIED IDEOGRAPH-2005D
2005E	cjkunifiedideograph2005e	CJK UNIFIED IDEOGRAPH-2005E
2005F	cjkunifiedideograph2005f	CJK UNIFIED IDEOGRAPH-2005F
20060	cjkunifiedideograph20060	CJK UNIFIED IDEOGRAPH-20060
20061	cjkunifiedideograph20061	CJK UNIFIED IDEOGRAPH-20061
20062	cjkunifiedideograph20062	CJK UNIFIED IDEOGRAPH-20062
20063	cjkunifiedideograph20063	CJK UNIFIED IDEOGRAPH-20063
20064	cjkunifiedideograph20064	CJK UNIFIED IDEOGRAPH-20064
